match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2016_160_180_2016-08-13 22:00:00,2016-08-13 22:00:00,True,180,Metz,w,160,Lille,2.31706,7.0,3,315,27,4,1.7306,w,0.796872,1.87778,13.0,2,213,14,4,1.87778,3.65,3.07,2.35
Ligue_1 2016_161_180_2016-08-21 22:45:00,2016-08-21 22:45:00,False,180,Metz,l,161,Paris Saint Germain,0.996438,11.0,0,341,11,3,0.1349,l,0.996438,3.85662,29.0,3,179,35,23,3.85662,28.24,9.63,1.13
Ligue_1 2016_167_180_2016-08-27 22:00:00,2016-08-27 22:00:00,True,180,Metz,w,167,Angers,0.448001,7.0,2,257,13,1,0.7684,w,0.448001,1.10689,23.0,0,162,17,6,1.10689,2.55,2.99,3.35
Ligue_1 2016_168_180_2016-09-11 17:00:00,2016-09-11 17:00:00,False,180,Metz,w,168,Nantes,1.31386,10.0,3,322,32,6,1.8058,w,0.553763,0.853017,13.0,0,185,19,4,0.853017,5.47,3.46,1.81
Ligue_1 2016_180_181_2016-09-17 22:00:00,2016-09-17 22:00:00,False,180,Metz,d,181,Dijon,0.973689,7.0,0,231,24,5,0.6921999999999999,d,0.213594,1.68116,16.0,0,127,26,3,0.921201,4.05,3.28,2.11
Ligue_1 2016_176_180_2016-09-21 21:00:00,2016-09-21 21:00:00,True,180,Metz,l,176,Bordeaux,0.446493,12.0,0,307,26,3,0.267,l,0.446493,2.08591,20.0,3,259,20,6,1.32581,3.33,3.24,2.4
Ligue_1 2016_166_180_2016-09-24 22:00:00,2016-09-24 22:00:00,False,180,Metz,w,166,Montpellier,1.09238,4.0,1,264,30,0,0.9871,w,0.332284,1.55117,16.0,0,90,30,11,1.55117,5.52,3.83,1.71
Ligue_1 2016_171_180_2016-10-01 22:00:00,2016-10-01 22:00:00,True,180,Metz,l,171,Monaco,0.342435,14.0,0,269,18,1,0.0623,l,0.342435,3.13454,14.0,7,170,26,3,2.37445,4.65,3.69,1.85
Ligue_1 2016_164_180_2016-10-16 22:45:00,2016-10-16 22:45:00,False,180,Metz,l,164,Marseille,0.943002,11.0,0,373,22,4,0.5807,l,0.943002,1.96863,16.0,1,210,26,9,1.96863,7.22,4.79,1.48
Ligue_1 2016_170_180_2016-10-23 19:00:00,2016-10-23 19:00:00,True,180,Metz,l,170,Nice,1.35865,9.0,2,583,37,5,0.6933,l,1.35865,2.27838,17.0,4,178,11,6,1.51829,3.81,3.44,2.12
Ligue_1 2016_163_180_2016-10-30 20:00:00,2016-10-30 20:00:00,False,180,Metz,l,163,Rennes,0.745738,8.0,0,274,23,4,1.1862,l,0.745738,0.878057,10.0,1,235,24,5,0.878057,6.81,3.89,1.61
Ligue_1 2016_175_180_2016-11-06 20:00:00,2016-11-06 20:00:00,True,180,Metz,d,175,Saint-Etienne,0.687109,14.0,0,238,23,8,1.4487,d,0.687109,0.521897,8.0,0,224,21,4,0.521897,4.06,3.3,2.1
Ligue_1 2016_174_180_2016-11-19 23:00:00,2016-11-19 23:00:00,False,180,Metz,w,174,Toulouse,1.05651,4.0,2,264,17,0,1.5274,w,0.29641,0.924809,15.0,1,185,37,6,0.924809,8.57,4.16,1.5
Ligue_1 2016_179_180_2016-11-26 23:00:00,2016-11-26 23:00:00,True,180,Metz,d,179,Lorient,1.36754,11.0,3,231,14,4,0.6952,d,1.36754,2.24203,10.0,3,234,26,4,1.48193,2.81,3.14,2.86
Ligue_1 2016_180_182_2016-11-30 22:00:00,2016-11-30 22:00:00,False,180,Metz,l,182,Nancy,0.325539,8.0,0,179,20,3,0.7496,l,0.325539,0.936859,17.0,4,183,37,5,0.936859,4.38,3.38,1.98
Ligue_1 2016_162_180_2016-12-10 23:00:00,2016-12-10 23:00:00,False,180,Metz,l,162,SC Bastia,0.871122,8.0,0,130,22,2,1.2906,l,0.871122,0.947577,16.0,2,170,22,3,0.947577,4.82,3.33,1.93
Ligue_1 2016_165_180_2016-12-18 17:30:00,2016-12-18 17:30:00,False,180,Metz,l,165,Caen,0.610983,16.0,0,276,24,1,0.3888,l,0.610983,2.0381,17.0,3,178,21,4,2.0381,5.02,3.6,1.83
Ligue_1 2016_169_180_2016-12-21 23:50:00,2016-12-21 23:50:00,True,180,Metz,d,169,Guingamp,1.11607,9.0,2,341,28,8,0.923,d,1.11607,1.6707,9.0,2,200,20,6,1.6707,3.23,3.39,2.38
Ligue_1 2016_170_180_2017-01-15 18:00:00,2017-01-15 18:00:00,False,180,Metz,d,170,Nice,0.983495,15.0,0,359,26,4,1.7894,d,0.983495,0.537228,12.0,0,170,29,6,0.537228,7.88,4.55,1.47
Ligue_1 2016_166_180_2017-01-21 22:00:00,2017-01-21 22:00:00,True,180,Metz,w,166,Montpellier,1.25494,6.0,2,211,27,1,1.5333,w,1.25494,1.09603,15.0,0,267,25,4,1.09603,3.23,3.33,2.41
Ligue_1 2016_167_180_2017-01-28 22:00:00,2017-01-28 22:00:00,False,180,Metz,l,167,Angers,0.169215,3.0,1,342,15,0,0.0312,l,0.169215,2.97467,19.0,2,202,28,5,2.97467,4.58,3.18,2.03
Ligue_1 2016_164_180_2017-02-03 19:45:00,2017-02-03 19:45:00,True,180,Metz,w,164,Marseille,0.533257,9.0,1,301,19,1,1.3875,w,0.533257,0.413869,11.0,0,85,24,3,0.413869,4.29,3.72,1.93
Ligue_1 2016_180_181_2017-02-08 21:00:00,2017-02-08 21:00:00,True,180,Metz,w,181,Dijon,1.70583,13.0,2,276,24,8,2.0434,w,0.945733,0.903103,12.0,1,186,22,5,0.903103,2.51,3.34,3.05
Ligue_1 2016_171_180_2017-02-11 19:00:00,2017-02-11 19:00:00,False,180,Metz,l,171,Monaco,0.332997,5.0,0,346,13,0,0.196,l,0.332997,2.37565,26.0,5,183,19,8,2.37565,12.48,6.64,1.26
Ligue_1 2016_168_180_2017-02-18 19:00:00,2017-02-18 19:00:00,True,180,Metz,d,168,Nantes,1.34597,10.0,1,196,26,3,2.2418,d,0.585871,0.469828,9.0,1,151,22,6,0.469828,3.08,3.09,2.66
Ligue_1 2016_178_180_2017-02-26 16:00:00,2017-02-26 16:00:00,False,180,Metz,l,178,Lyon,0.387516,9.0,0,363,15,1,0.0453,l,0.387516,3.37742,27.0,5,201,33,22,3.37742,13.35,7.0,1.24
Ligue_1 2016_163_180_2017-03-04 19:00:00,2017-03-04 19:00:00,True,180,Metz,d,163,Rennes,1.85852,10.0,1,276,22,4,1.5013,d,1.85852,1.69304,17.0,1,188,28,4,1.69304,3.09,3.19,2.58
Ligue_1 2016_175_180_2017-03-12 14:00:00,2017-03-12 14:00:00,False,180,Metz,d,175,Saint-Etienne,1.36591,12.0,2,279,26,1,0.9388,d,1.36591,1.95664,14.0,2,162,17,15,1.95664,6.59,3.88,1.63
Ligue_1 2016_162_180_2017-03-17 18:00:00,2017-03-17 18:00:00,True,180,Metz,w,162,SC Bastia,0.894507,9.0,1,280,22,4,2.1151,w,0.894507,0.157698,6.0,0,279,16,1,0.157698,1.83,3.68,4.97
Ligue_1 2016_178_180_2017-04-05 18:00:00,2017-04-05 18:00:00,True,180,Metz,l,178,Lyon,0.539316,15.0,0,346,36,2,0.2211,l,0.539316,2.62115,18.0,3,182,20,8,2.62115,6.0,4.0,1.57
Ligue_1 2016_176_180_2017-04-08 19:00:00,2017-04-08 19:00:00,False,180,Metz,l,176,Bordeaux,0.711913,9.0,0,273,24,6,0.3697,l,0.711913,2.23832,17.0,3,199,26,9,1.47822,7.99,4.67,1.46
Ligue_1 2016_165_180_2017-04-15 19:00:00,2017-04-15 19:00:00,True,180,Metz,d,165,Caen,0.72674,8.0,2,234,31,6,1.2595,d,0.72674,0.781575,13.0,2,207,12,2,0.781575,2.55,3.22,3.1
Ligue_1 2016_161_180_2017-04-18 17:30:00,2017-04-18 17:30:00,True,180,Metz,l,161,Paris Saint Germain,0.336657,6.0,2,485,25,0,0.1263,l,0.336657,2.67049,18.0,3,104,32,10,2.67049,18.47,8.09,1.18
Ligue_1 2016_179_180_2017-04-22 19:00:00,2017-04-22 19:00:00,False,180,Metz,l,179,Lorient,1.34808,7.0,1,344,15,4,0.3238,l,0.587983,3.32905,19.0,5,142,15,8,3.32905,4.95,3.95,1.75
Ligue_1 2016_180_182_2017-04-29 19:00:00,2017-04-29 19:00:00,True,180,Metz,w,182,Nancy,1.65516,12.0,2,201,24,9,2.1875,w,1.65516,0.682625,8.0,1,120,18,4,0.682625,2.68,3.17,3.0
Ligue_1 2016_160_180_2017-05-06 19:00:00,2017-05-06 19:00:00,False,180,Metz,w,160,Lille,0.684583,7.0,2,344,23,1,1.2305,w,0.684583,0.754808,12.0,0,105,24,8,0.754808,5.49,3.96,1.69
Ligue_1 2016_174_180_2017-05-14 20:00:00,2017-05-14 20:00:00,True,180,Metz,d,174,Toulouse,0.611334,14.0,1,213,20,8,0.2415,d,0.611334,2.33883,17.0,1,309,13,8,1.57874,2.61,3.36,2.91
Ligue_1 2016_169_180_2017-05-20 20:00:00,2017-05-20 20:00:00,False,180,Metz,l,169,Guingamp,0.297072,8.0,0,255,24,6,0.283,l,0.297072,1.74895,21.0,1,245,24,13,1.74895,5.35,4.09,1.68
