match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2017_165_166_2017-08-05 19:00:00,2017-08-05 19:00:00,False,165,Caen,l,166,Montpellier,0.31924,8.0,0,246,21,2,0.3702,l,0.31924,1.46179,10.0,1,252,23,4,1.46179,4.74,3.54,1.88
Ligue_1 2017_165_175_2017-08-12 19:00:00,2017-08-12 19:00:00,True,165,Caen,l,175,Saint-Etienne,0.75531,10.0,0,220,27,1,0.9391,l,0.75531,1.14769,6.0,1,173,25,2,1.14769,3.08,3.08,2.66
Ligue_1 2017_160_165_2017-08-20 14:00:00,2017-08-20 14:00:00,False,165,Caen,w,160,Lille,1.82943,11.0,2,308,34,3,2.5088,w,1.82943,0.511679,15.0,0,137,19,6,0.511679,5.79,4.0,1.66
Ligue_1 2017_165_180_2017-08-26 19:00:00,2017-08-26 19:00:00,True,165,Caen,w,180,Metz,1.71638,16.0,1,185,17,6,2.03,w,1.71638,0.834878,9.0,0,254,21,2,0.834878,1.86,3.54,4.89
Ligue_1 2017_165_181_2017-09-09 19:00:00,2017-09-09 19:00:00,True,165,Caen,w,181,Dijon,1.67506,12.0,2,235,33,1,2.3886,w,0.914961,0.51478,9.0,1,228,23,3,0.51478,2.04,3.41,4.12
Ligue_1 2017_165_168_2017-09-16 19:00:00,2017-09-16 19:00:00,False,165,Caen,l,168,Nantes,0.277685,8.0,0,200,19,2,1.009,l,0.277685,0.464665,8.0,1,303,26,6,0.464665,4.53,3.31,1.99
Ligue_1 2017_165_224_2017-09-23 19:00:00,2017-09-23 19:00:00,True,165,Caen,w,224,Amiens,1.76038,17.0,1,171,23,4,2.8194,w,1.00028,0.0263448,2.0,0,203,21,3,0.0263448,1.92,3.39,4.8
Ligue_1 2017_163_165_2017-09-30 19:00:00,2017-09-30 19:00:00,False,165,Caen,w,163,Rennes,1.40792,10.0,1,293,37,4,1.9705,w,1.40792,0.698792,9.0,0,166,28,4,0.698792,4.66,3.4,1.93
Ligue_1 2017_165_167_2017-10-14 19:00:00,2017-10-14 19:00:00,True,165,Caen,l,167,Angers,1.31459,22.0,0,184,22,4,0.8458000000000001,l,1.31459,2.02926,12.0,2,147,30,3,2.02926,2.5,3.07,3.34
Ligue_1 2017_165_171_2017-10-21 16:00:00,2017-10-21 16:00:00,False,165,Caen,l,171,Monaco,0.382019,8.0,0,162,32,3,0.2283,l,0.382019,2.02602,15.0,2,190,34,2,1.26593,9.55,5.25,1.37
Ligue_1 2017_165_172_2017-10-28 19:00:00,2017-10-28 19:00:00,True,165,Caen,w,172,Troyes,0.58564,16.0,1,175,26,3,0.8073999999999999,w,0.58564,1.13546,8.0,0,204,16,3,1.13546,1.68,3.53,6.67
Ligue_1 2017_164_165_2017-11-05 16:00:00,2017-11-05 16:00:00,False,165,Caen,l,164,Marseille,1.02028,11.0,0,328,32,3,0.1088,l,1.02028,4.03445,28.0,5,104,23,8,4.03445,7.66,4.42,1.5
Ligue_1 2017_165_170_2017-11-19 14:00:00,2017-11-19 14:00:00,True,165,Caen,d,170,Nice,2.16318,18.0,1,397,26,6,1.8347,d,1.40309,1.55288,12.0,1,151,20,2,1.55288,2.66,3.19,2.98
Ligue_1 2017_165_176_2017-11-25 19:00:00,2017-11-25 19:00:00,True,165,Caen,w,176,Bordeaux,1.03943,12.0,1,262,18,4,1.1704,w,1.03943,1.22029,10.0,0,172,28,5,1.22029,3.38,3.24,2.38
Ligue_1 2017_165_225_2017-11-28 18:00:00,2017-11-28 18:00:00,False,165,Caen,d,225,Strasbourg,2.23402,15.0,0,270,30,5,2.7525,d,2.23402,0.223173,6.0,0,153,25,5,0.223173,4.0,3.5,2.06
Ligue_1 2017_165_178_2017-12-03 16:00:00,2017-12-03 16:00:00,True,165,Caen,l,178,Lyon,0.986845,19.0,1,246,38,5,0.6601,l,0.986845,1.98069,11.0,2,167,27,4,1.98069,4.71,3.81,1.82
Ligue_1 2017_165_174_2017-12-09 19:00:00,2017-12-09 19:00:00,False,165,Caen,l,174,Toulouse,1.05035,11.0,0,149,21,5,0.8146,l,1.05035,1.72943,10.0,2,184,38,4,0.96933,3.78,3.12,2.28
Ligue_1 2017_165_169_2017-12-16 19:00:00,2017-12-16 19:00:00,True,165,Caen,d,169,Guingamp,0.820219,11.0,0,266,36,3,1.9348,d,0.820219,0.233712,8.0,0,198,34,0,0.233712,2.18,3.29,3.78
Ligue_1 2017_161_165_2017-12-20 19:50:00,2017-12-20 19:50:00,False,165,Caen,l,161,Paris Saint Germain,1.01868,9.0,1,398,25,1,0.4727,l,0.258584,2.4519,21.0,3,153,23,22,2.4519,37.01,14.45,1.08
Ligue_1 2017_160_165_2018-01-13 19:00:00,2018-01-13 19:00:00,True,165,Caen,l,160,Lille,1.48076,15.0,0,301,22,4,1.6168999999999998,l,1.48076,1.2005,12.0,1,161,13,3,1.2005,2.57,2.97,3.34
Ligue_1 2017_165_176_2018-01-16 18:00:00,2018-01-16 18:00:00,False,165,Caen,w,176,Bordeaux,0.949262,10.0,2,197,33,0,1.8454,w,0.189167,0.550902,13.0,0,298,29,6,0.550902,5.01,3.46,1.86
Ligue_1 2017_164_165_2018-01-19 19:45:00,2018-01-19 19:45:00,True,165,Caen,l,164,Marseille,0.152123,5.0,0,347,35,1,0.0794,l,0.152123,2.29378,12.0,2,183,33,3,1.53368,4.91,3.68,1.82
Ligue_1 2017_165_175_2018-01-27 19:00:00,2018-01-27 19:00:00,False,165,Caen,l,175,Saint-Etienne,1.38281,14.0,1,325,24,3,2.2433000000000005,l,1.38281,0.476107,12.0,2,193,22,3,0.476107,4.33,3.25,2.06
Ligue_1 2017_165_168_2018-02-04 16:00:00,2018-02-04 16:00:00,True,165,Caen,w,168,Nantes,1.88955,16.0,3,221,23,6,2.3207000000000004,w,1.12945,0.696733,14.0,2,244,22,8,0.696733,2.81,3.07,2.91
Ligue_1 2017_165_169_2018-02-10 19:00:00,2018-02-10 19:00:00,False,165,Caen,d,169,Guingamp,0.959241,12.0,0,408,32,4,1.9984,d,0.959241,0.284691,6.0,0,173,19,4,0.284691,4.01,3.31,2.11
Ligue_1 2017_163_165_2018-02-17 19:00:00,2018-02-17 19:00:00,True,165,Caen,d,163,Rennes,3.33664,18.0,2,165,14,4,2.5709000000000004,d,1.81645,1.38594,11.0,2,280,13,5,1.38594,2.49,3.21,3.21
Ligue_1 2017_165_181_2018-02-24 19:00:00,2018-02-24 19:00:00,False,165,Caen,l,181,Dijon,0.61071,13.0,0,196,39,3,0.5678000000000001,l,0.61071,1.53459,13.0,2,216,33,9,0.774491,3.39,3.29,2.35
Ligue_1 2017_165_225_2018-03-04 14:00:00,2018-03-04 14:00:00,True,165,Caen,w,225,Strasbourg,1.08261,7.0,2,349,19,3,1.5707,w,1.08261,0.866851,11.0,0,143,27,4,0.866851,2.2,3.25,3.8
Ligue_1 2017_165_178_2018-03-11 16:00:00,2018-03-11 16:00:00,False,165,Caen,l,178,Lyon,0.245834,6.0,0,403,29,1,0.322,l,0.245834,1.66731,20.0,1,188,24,7,1.66731,7.33,4.68,1.48
