match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2017_169_180_2017-08-05 19:00:00,2017-08-05 19:00:00,False,169,Guingamp,w,180,Metz,1.45737,13.0,3,328,21,5,2.1863,w,0.697272,0.557371,6.0,1,253,21,2,0.557371,2.71,3.2,2.95
Ligue_1 2017_161_169_2017-08-13 20:00:00,2017-08-13 20:00:00,True,169,Guingamp,l,161,Paris Saint Germain,0.0609477,4.0,0,472,15,1,0.0595,l,0.0609477,2.51121,21.0,3,137,23,17,2.51121,12.75,6.0,1.28
Ligue_1 2017_169_170_2017-08-19 19:00:00,2017-08-19 19:00:00,False,169,Guingamp,l,170,Nice,0.455777,13.0,0,438,16,5,0.5206000000000001,l,0.455777,1.41445,14.0,2,286,28,9,1.41445,4.3,3.22,2.07
Ligue_1 2017_169_225_2017-08-27 14:00:00,2017-08-27 14:00:00,True,169,Guingamp,w,225,Strasbourg,1.86165,14.0,2,255,24,2,2.4372000000000003,w,1.86165,0.566048,15.0,0,189,20,3,0.566048,1.91,3.44,4.76
Ligue_1 2017_169_178_2017-09-10 16:00:00,2017-09-10 16:00:00,False,169,Guingamp,l,178,Lyon,0.834402,13.0,1,270,31,6,1.3856,l,0.834402,0.762372,12.0,2,165,23,2,0.762372,8.67,5.37,1.38
Ligue_1 2017_160_169_2017-09-16 19:00:00,2017-09-16 19:00:00,True,169,Guingamp,w,160,Lille,1.49258,20.0,1,320,31,8,2.3013,w,1.49258,0.376469,10.0,0,193,28,4,0.376469,2.14,3.29,3.94
Ligue_1 2017_169_176_2017-09-23 19:00:00,2017-09-23 19:00:00,False,169,Guingamp,l,176,Bordeaux,1.17579,10.0,1,292,18,8,0.2293,l,0.415692,3.22208,21.0,3,215,16,10,2.37953,4.95,3.76,1.79
Ligue_1 2017_169_174_2017-09-30 19:00:00,2017-09-30 19:00:00,True,169,Guingamp,d,174,Toulouse,0.952285,6.0,1,241,25,2,1.7259,d,0.952285,0.569784,11.0,1,139,18,8,0.569784,1.96,3.44,4.44
Ligue_1 2017_163_169_2017-10-14 19:00:00,2017-10-14 19:00:00,True,169,Guingamp,w,163,Rennes,3.83243,16.0,2,149,22,7,2.8854,w,3.83243,0.736792,11.0,0,145,21,3,0.736792,2.16,3.45,3.67
Ligue_1 2017_168_169_2017-10-21 19:00:00,2017-10-21 19:00:00,False,169,Guingamp,l,168,Nantes,0.862897,10.0,1,223,24,3,1.4787,l,0.862897,0.748019,9.0,2,291,22,1,0.748019,4.03,3.15,2.18
