match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2017_171_174_2017-08-04 19:45:00,2017-08-04 19:45:00,False,174,Toulouse,l,171,Monaco,0.248798,6.0,2,252,20,3,0.1774,l,0.248798,2.14636,17.0,3,72,28,4,2.14636,11.12,5.72,1.32
Ligue_1 2017_166_174_2017-08-12 19:00:00,2017-08-12 19:00:00,True,174,Toulouse,w,166,Montpellier,1.72539,8.0,1,186,30,3,2.1691,w,0.965298,0.790815,14.0,0,171,21,3,0.790815,2.28,3.13,3.74
Ligue_1 2017_161_174_2017-08-20 20:00:00,2017-08-20 20:00:00,False,174,Toulouse,l,161,Paris Saint Germain,0.338766,7.0,2,333,23,3,0.0648,l,0.338766,3.19678,24.0,6,102,27,18,2.43668,27.99,12.65,1.1
Ligue_1 2017_163_174_2017-08-26 19:00:00,2017-08-26 19:00:00,True,174,Toulouse,w,163,Rennes,2.39664,11.0,3,173,23,5,2.4788,w,0.876448,0.942755,14.0,2,150,24,5,0.942755,2.32,3.23,3.51
Ligue_1 2017_172_174_2017-09-09 19:00:00,2017-09-09 19:00:00,False,174,Toulouse,d,172,Troyes,0.204017,7.0,0,240,24,0,0.6977,d,0.204017,0.737279,11.0,0,291,18,6,0.737279,2.6,3.28,2.98
Ligue_1 2017_174_176_2017-09-15 19:45:00,2017-09-15 19:45:00,True,174,Toulouse,l,176,Bordeaux,0.909141,16.0,0,269,30,7,1.4759,l,0.909141,0.733308,14.0,1,232,19,10,0.733308,3.15,3.27,2.52
Ligue_1 2017_164_174_2017-09-24 20:00:00,2017-09-24 20:00:00,False,174,Toulouse,l,164,Marseille,0.5552,8.0,0,369,27,2,0.1227,l,0.5552,3.19464,22.0,2,216,30,11,3.19464,6.0,4.15,1.62
Ligue_1 2017_169_174_2017-09-30 19:00:00,2017-09-30 19:00:00,False,174,Toulouse,d,169,Guingamp,0.569784,11.0,1,139,18,8,0.9138,d,0.569784,0.952285,6.0,1,241,25,2,0.952285,4.44,3.44,1.96
Ligue_1 2017_174_224_2017-10-14 19:00:00,2017-10-14 19:00:00,True,174,Toulouse,w,224,Amiens,1.46173,16.0,1,261,23,5,2.4018,w,1.46173,0.240109,7.0,0,287,26,1,0.240109,1.79,3.32,5.98
Ligue_1 2017_167_174_2017-10-21 19:00:00,2017-10-21 19:00:00,False,174,Toulouse,w,167,Angers,0.418413,3.0,1,188,33,4,0.6628000000000001,w,0.418413,1.17702,14.0,0,227,23,7,1.17702,4.43,3.31,2.01
Ligue_1 2017_174_175_2017-10-29 16:00:00,2017-10-29 16:00:00,True,174,Toulouse,d,175,Saint-Etienne,0.663289,11.0,0,205,35,4,0.991,d,0.663289,0.962164,4.0,0,157,29,4,0.962164,2.26,3.2,3.69
Ligue_1 2017_168_174_2017-11-04 19:00:00,2017-11-04 19:00:00,False,174,Toulouse,l,168,Nantes,0.79584,10.0,1,111,24,3,1.1936,l,0.79584,0.990379,11.0,2,208,24,6,0.990379,4.91,3.02,2.04
Ligue_1 2017_174_180_2017-11-18 19:00:00,2017-11-18 19:00:00,True,174,Toulouse,d,180,Metz,2.15719,21.0,0,133,22,9,2.3164,d,2.15719,0.817349,12.0,0,245,10,6,0.817349,1.73,3.72,5.61
Ligue_1 2017_174_181_2017-11-25 19:00:00,2017-11-25 19:00:00,False,174,Toulouse,l,181,Dijon,1.68147,12.0,1,195,24,4,1.9312,l,0.892773,1.06076,13.0,3,154,14,1,1.06076,3.44,3.23,2.35
Ligue_1 2017_170_174_2017-11-29 18:00:00,2017-11-29 18:00:00,True,174,Toulouse,l,170,Nice,1.84921,14.0,1,475,26,6,1.7751,l,1.08912,1.34601,8.0,2,155,10,1,0.585913,2.69,3.1,3.03
Ligue_1 2017_160_174_2017-12-02 19:00:00,2017-12-02 19:00:00,False,174,Toulouse,l,160,Lille,1.23313,10.0,0,189,33,1,1.9329,l,0.473031,0.689741,10.0,1,186,18,6,0.689741,4.19,3.23,2.09
Ligue_1 2017_165_174_2017-12-09 19:00:00,2017-12-09 19:00:00,True,174,Toulouse,w,165,Caen,1.72943,10.0,2,184,38,4,1.9216,w,0.96933,1.05035,11.0,0,149,21,5,1.05035,2.28,3.12,3.78
Ligue_1 2017_174_225_2017-12-16 19:00:00,2017-12-16 19:00:00,False,174,Toulouse,l,225,Strasbourg,1.28316,11.0,1,158,23,3,0.9689,l,1.28316,1.72073,9.0,2,123,19,2,0.960637,3.77,3.34,2.17
Ligue_1 2017_174_178_2017-12-20 19:50:00,2017-12-20 19:50:00,True,174,Toulouse,l,178,Lyon,2.41544,17.0,1,344,45,6,1.5569000000000002,l,1.65535,2.18213,14.0,2,190,14,7,1.42204,4.75,3.81,1.81
Ligue_1 2017_174_175_2018-01-14 14:00:00,2018-01-14 14:00:00,False,174,Toulouse,l,175,Saint-Etienne,1.02467,19.0,0,189,36,4,0.3027,l,1.02467,2.84118,11.0,2,132,28,5,2.08108,3.76,3.17,2.25
Ligue_1 2017_168_174_2018-01-17 18:00:00,2018-01-17 18:00:00,True,174,Toulouse,d,168,Nantes,1.22063,15.0,1,150,33,9,1.9506,d,0.460531,0.641757,11.0,1,269,29,3,0.641757,2.82,2.96,3.01
Ligue_1 2017_166_174_2018-01-20 19:00:00,2018-01-20 19:00:00,False,174,Toulouse,l,166,Montpellier,0.769418,9.0,1,257,23,0,0.4372,l,0.769418,2.10746,22.0,2,175,38,6,2.10746,5.53,3.44,1.81
Ligue_1 2017_172_174_2018-01-27 19:00:00,2018-01-27 19:00:00,True,174,Toulouse,w,172,Troyes,1.48594,20.0,1,230,29,4,2.5787,w,1.48594,0.0469224,1.0,0,334,17,1,0.0469224,2.08,3.31,4.13
Ligue_1 2017_170_174_2018-02-03 19:00:00,2018-02-03 19:00:00,False,174,Toulouse,w,170,Nice,0.278134,6.0,1,482,23,1,0.5913999999999999,w,0.278134,1.07335,14.0,0,129,23,6,1.07335,4.33,3.61,1.93
Ligue_1 2017_161_174_2018-02-10 16:00:00,2018-02-10 16:00:00,True,174,Toulouse,l,161,Paris Saint Germain,0.143229,3.0,0,371,27,0,0.1235999999999999,l,0.143229,2.03292,21.0,1,92,33,14,2.03292,16.96,7.42,1.2
Ligue_1 2017_174_224_2018-02-17 19:00:00,2018-02-17 19:00:00,False,174,Toulouse,d,224,Amiens,0.937757,12.0,0,199,36,4,1.7261,d,0.937757,0.510117,6.0,0,141,19,2,0.510117,2.98,3.12,2.71
Ligue_1 2017_171_174_2018-02-24 16:00:00,2018-02-24 16:00:00,True,174,Toulouse,d,171,Monaco,1.4221,9.0,3,260,22,2,0.6469,d,0.662008,2.21317,9.0,3,195,36,8,2.21317,4.56,3.6,1.89
Ligue_1 2017_174_180_2018-03-03 19:00:00,2018-03-03 19:00:00,False,174,Toulouse,d,180,Metz,1.71105,18.0,1,190,20,5,1.947,d,1.71105,1.00996,12.0,1,213,13,4,1.00996,2.81,3.16,2.85
Ligue_1 2017_164_174_2018-03-11 20:00:00,2018-03-11 20:00:00,True,174,Toulouse,l,164,Marseille,1.09433,9.0,1,240,23,2,0.1508999999999999,l,1.09433,3.66527,23.0,2,146,37,6,3.66527,4.14,3.52,2.0
Ligue_1 2017_174_225_2018-03-17 19:00:00,2018-03-17 19:00:00,True,174,Toulouse,d,225,Strasbourg,1.81322,11.0,2,163,16,6,2.1211,d,1.81322,0.938237,12.0,2,204,20,3,0.938237,2.04,3.3,4.3
Ligue_1 2017_174_178_2018-04-01 20:00:00,2018-04-01 20:00:00,False,174,Toulouse,l,178,Lyon,0.362896,10.0,0,348,14,1,0.1263,l,0.362896,2.74669,20.0,2,214,30,12,1.98659,8.28,5.08,1.41
Ligue_1 2017_174_181_2018-04-07 18:00:00,2018-04-07 18:00:00,True,174,Toulouse,l,181,Dijon,0.783084,20.0,0,207,28,2,1.1995,l,0.783084,0.860692,8.0,1,151,25,7,0.860692,1.92,3.56,4.49
Ligue_1 2017_165_174_2018-04-14 18:00:00,2018-04-14 18:00:00,False,174,Toulouse,d,165,Caen,0.489412,5.0,0,330,25,1,1.5511,d,0.489412,0.259281,9.0,0,155,30,1,0.259281,3.28,2.85,2.64
Ligue_1 2017_167_174_2018-04-21 18:00:00,2018-04-21 18:00:00,True,174,Toulouse,w,167,Angers,2.81666,14.0,2,332,23,4,2.7119,w,2.05656,0.812711,7.0,0,195,18,1,0.812711,2.35,3.23,3.45
Ligue_1 2017_163_174_2018-04-29 00:00:00,2018-04-29 00:00:00,False,174,Toulouse,l,163,Rennes,0.469531,12.0,1,247,19,3,0.2722,l,0.469531,1.74362,6.0,2,182,18,4,1.74362,4.52,3.57,1.91
Ligue_1 2017_160_174_2018-05-06 16:00:00,2018-05-06 16:00:00,True,174,Toulouse,l,160,Lille,1.05844,6.0,2,322,31,8,0.2923,l,1.05844,2.92354,17.0,3,98,19,6,2.92354,2.17,3.37,3.73
Ligue_1 2017_174_176_2018-05-12 20:00:00,2018-05-12 20:00:00,False,174,Toulouse,l,176,Bordeaux,0.851127,10.0,2,262,36,1,0.2619,l,0.851127,2.61552,15.0,4,167,18,5,2.61552,4.72,3.78,1.82
Ligue_1 2017_169_174_2018-05-19 19:00:00,2018-05-19 19:00:00,True,174,Toulouse,w,169,Guingamp,1.92715,17.0,2,158,13,7,2.4589000000000003,w,1.92715,0.481472,13.0,1,209,19,1,0.481472,1.58,4.36,6.24
