match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2018_178_224_2018-08-12 16:00:00,2018-08-12 16:00:00,False,224,Amiens,l,178,Lyon,0.286084,10.0,0,359,23,0,0.4789,l,0.286084,1.30809,15.0,2,147,24,4,1.30809,14.34,6.79,1.24
Ligue_1 2018_166_224_2018-08-18 21:00:00,2018-08-18 21:00:00,True,224,Amiens,l,166,Montpellier,1.11001,11.0,1,185,24,4,2.2502,l,0.349916,0.308208,7.0,2,298,18,3,0.308208,3.19,3.15,2.52
Ligue_1 2018_177_224_2018-08-25 21:00:00,2018-08-25 21:00:00,True,224,Amiens,w,177,Reims,2.18312,14.0,4,251,32,9,2.5158,w,2.18312,0.700141,7.0,1,345,20,1,0.700141,2.74,3.16,2.91
Ligue_1 2018_175_224_2018-09-02 13:00:00,2018-09-02 13:00:00,False,224,Amiens,d,175,Saint-Etienne,0.325126,9.0,0,268,13,3,0.8848,d,0.325126,0.737428,19.0,0,155,26,6,0.737428,6.32,3.85,1.65
Ligue_1 2018_160_224_2018-09-15 18:00:00,2018-09-15 18:00:00,True,224,Amiens,l,160,Lille,1.44867,8.0,2,249,17,4,0.4612,l,0.688578,2.81999,18.0,3,229,25,7,1.2998,3.39,3.19,2.4
Ligue_1 2018_224_225_2018-09-22 18:00:00,2018-09-22 18:00:00,False,224,Amiens,l,225,Strasbourg,0.672883,8.0,1,225,21,2,0.9165,l,0.672883,1.07472,13.0,3,218,27,5,1.07472,5.45,3.42,1.81
Ligue_1 2018_163_224_2018-09-26 17:00:00,2018-09-26 17:00:00,True,224,Amiens,w,163,Rennes,0.730869,12.0,2,189,21,2,0.5589,w,0.730869,1.83024,15.0,1,187,21,3,1.83024,3.25,3.35,2.39
Ligue_1 2018_165_224_2018-09-29 18:00:00,2018-09-29 18:00:00,False,224,Amiens,l,165,Caen,0.247116,7.0,0,229,13,1,0.2835,l,0.247116,1.44696,12.0,1,201,26,3,0.686865,3.92,3.26,2.16
Ligue_1 2018_181_224_2018-10-06 18:00:00,2018-10-06 18:00:00,True,224,Amiens,w,181,Dijon,0.301024,8.0,1,294,37,2,1.1452,w,0.301024,0.371877,10.0,0,211,27,8,0.371877,2.53,3.36,3.01
Ligue_1 2018_161_224_2018-10-20 15:00:00,2018-10-20 15:00:00,False,224,Amiens,l,161,Paris Saint Germain,0.573532,8.0,0,349,22,1,0.2161,l,0.573532,2.50391,16.0,5,225,22,11,2.50391,25.53,10.93,1.11
Ligue_1 2018_168_224_2018-10-27 18:00:00,2018-10-27 18:00:00,True,224,Amiens,l,168,Nantes,1.03691,18.0,1,149,24,6,0.7796000000000001,l,1.03691,1.6779,12.0,2,261,27,2,1.6779,3.07,3.23,2.57
Ligue_1 2018_170_224_2018-11-03 19:00:00,2018-11-03 19:00:00,False,224,Amiens,l,170,Nice,0.702143,13.0,0,337,32,4,0.747,l,0.702143,1.24182,7.0,1,264,18,3,1.24182,5.35,3.89,1.71
Ligue_1 2018_174_224_2018-11-10 19:00:00,2018-11-10 19:00:00,False,224,Amiens,w,174,Toulouse,0.703611,7.0,1,184,21,9,0.7739,w,0.703611,1.46625,23.0,0,241,22,14,1.46625,3.76,3.19,2.24
Ligue_1 2018_164_224_2018-11-25 20:00:00,2018-11-25 20:00:00,True,224,Amiens,l,164,Marseille,0.994152,9.0,1,316,24,4,0.6796000000000001,l,0.994152,1.84765,21.0,3,217,24,12,1.08762,4.54,3.71,1.86
Ligue_1 2018_224_235_2018-12-01 19:00:00,2018-12-01 19:00:00,False,224,Amiens,l,235,Nimes,0.737512,9.0,0,225,24,4,0.4815,l,0.737512,2.01592,13.0,3,215,17,5,2.01592,4.31,3.47,1.97
Ligue_1 2018_171_224_2018-12-04 18:00:00,2018-12-04 18:00:00,True,224,Amiens,l,171,Monaco,0.710707,15.0,0,216,28,4,0.4479,l,0.710707,1.77175,6.0,2,277,19,5,0.251556,3.01,3.2,2.63
Ligue_1 2018_169_224_2018-12-08 19:00:00,2018-12-08 19:00:00,False,224,Amiens,w,169,Guingamp,1.57965,11.0,2,139,19,3,1.7939,w,1.57965,1.12624,16.0,1,120,28,9,1.12624,4.2,3.26,2.08
Ligue_1 2018_176_224_2018-12-23 00:00:00,2018-12-23 00:00:00,False,224,Amiens,d,176,Bordeaux,0.348658,8.0,1,300,34,6,1.0997,d,0.348658,0.477339,9.0,1,254,21,6,0.477339,6.49,3.88,1.62
Ligue_1 2018_167_224_2019-01-08 18:00:00,2019-01-08 18:00:00,True,224,Amiens,d,167,Angers,1.67735,21.0,0,226,25,6,2.5188,d,1.67735,0.225282,7.0,0,328,12,1,0.225282,3.22,3.06,2.59
Ligue_1 2018_161_224_2019-01-12 16:00:00,2019-01-12 16:00:00,True,224,Amiens,l,161,Paris Saint Germain,0.280069,4.0,0,334,15,0,0.1231,l,0.280069,2.45409,20.0,3,128,35,11,1.694,17.41,7.29,1.19
Ligue_1 2018_160_224_2019-01-18 19:45:00,2019-01-18 19:45:00,False,224,Amiens,l,160,Lille,0.372963,2.0,1,293,24,1,0.1321999999999999,l,0.372963,2.42512,17.0,2,188,29,8,1.66503,6.21,3.78,1.66
Ligue_1 2018_178_224_2019-01-27 16:00:00,2019-01-27 16:00:00,True,224,Amiens,l,178,Lyon,0.667387,12.0,0,302,30,6,0.8745,l,0.667387,1.24157,18.0,1,140,26,7,1.24157,5.87,4.5,1.57
Ligue_1 2018_163_224_2019-02-02 19:00:00,2019-02-02 19:00:00,False,224,Amiens,l,163,Rennes,0.681757,8.0,0,260,20,1,0.443,l,0.681757,1.92834,15.0,1,233,18,6,1.92834,6.46,3.98,1.6
Ligue_1 2018_165_224_2019-02-09 19:00:00,2019-02-09 19:00:00,True,224,Amiens,w,165,Caen,0.830006,10.0,1,196,24,5,1.763,w,0.830006,0.385482,11.0,0,248,25,2,0.385482,2.09,3.22,4.23
