match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2018_166_181_2018-08-11 21:00:00,2018-08-11 21:00:00,False,181,Dijon,w,166,Montpellier,1.94817,9.0,2,257,26,2,1.8948,w,1.06657,1.34076,16.0,1,247,25,11,1.34076,5.34,3.79,1.74
Ligue_1 2018_168_181_2018-08-18 21:00:00,2018-08-18 21:00:00,True,181,Dijon,w,168,Nantes,2.95975,14.0,2,341,32,4,2.9270000000000005,w,2.95975,0.228631,7.0,0,135,29,3,0.228631,2.62,3.41,2.88
Ligue_1 2018_170_181_2018-08-25 21:00:00,2018-08-25 21:00:00,False,181,Dijon,w,170,Nice,1.94227,9.0,4,361,34,11,1.5669,w,1.94227,1.7067,16.0,0,240,21,3,1.7067,4.56,3.65,1.88
Ligue_1 2018_165_181_2018-09-01 18:00:00,2018-09-01 18:00:00,True,181,Dijon,l,165,Caen,0.904946,15.0,0,136,16,9,0.9784,l,0.904946,1.24948,9.0,2,256,20,3,1.24948,1.91,3.43,4.59
Ligue_1 2018_167_181_2018-09-15 18:00:00,2018-09-15 18:00:00,True,181,Dijon,l,167,Angers,1.2955,11.0,1,176,26,5,1.1362,l,1.2955,1.54749,13.0,3,292,23,6,1.54749,2.15,3.52,3.61
Ligue_1 2018_177_181_2018-09-22 18:00:00,2018-09-22 18:00:00,False,181,Dijon,d,177,Reims,0.154099,6.0,0,183,28,2,0.4441,d,0.154099,1.06301,11.0,0,324,25,1,1.06301,3.6,3.44,2.17
Ligue_1 2018_178_181_2018-09-26 17:00:00,2018-09-26 17:00:00,True,181,Dijon,l,178,Lyon,1.93189,30.0,0,285,34,12,1.0356999999999998,l,1.93189,2.46562,16.0,3,215,10,2,2.46562,5.56,4.51,1.59
Ligue_1 2018_181_225_2018-09-29 18:00:00,2018-09-29 18:00:00,False,181,Dijon,l,225,Strasbourg,1.0504,14.0,0,248,33,6,1.5931,l,1.0504,0.748818,7.0,3,255,26,2,0.748818,4.05,3.9,1.91
Ligue_1 2018_181_224_2018-10-06 18:00:00,2018-10-06 18:00:00,False,181,Dijon,l,224,Amiens,0.371877,10.0,0,211,27,8,1.2862,l,0.371877,0.301024,8.0,1,294,37,2,0.301024,3.01,3.36,2.53
Ligue_1 2018_160_181_2018-10-20 18:00:00,2018-10-20 18:00:00,True,181,Dijon,l,160,Lille,1.51825,17.0,1,206,28,4,1.0055,l,0.75815,1.94079,8.0,2,318,27,3,1.18082,3.32,3.51,2.27
Ligue_1 2018_171_181_2018-10-27 18:00:00,2018-10-27 18:00:00,False,181,Dijon,d,171,Monaco,0.476065,11.0,2,238,22,3,0.6273,d,0.476065,1.31423,12.0,2,310,26,7,1.31423,4.83,4.24,1.71
Ligue_1 2018_181_235_2018-11-03 19:00:00,2018-11-03 19:00:00,True,181,Dijon,l,235,Nimes,1.27921,23.0,0,99,31,10,0.7935000000000001,l,1.27921,2.02604,11.0,4,320,21,1,2.02604,2.25,3.46,3.44
Ligue_1 2018_164_181_2018-11-11 16:00:00,2018-11-11 16:00:00,False,181,Dijon,l,164,Marseille,0.304655,9.0,0,310,30,1,0.0436,l,0.304655,2.89061,16.0,2,234,23,4,2.89061,8.79,5.32,1.37
Ligue_1 2018_176_181_2018-11-24 19:00:00,2018-11-24 19:00:00,True,181,Dijon,d,176,Bordeaux,0.836819,14.0,0,233,26,1,1.8471,d,0.836819,0.356882,11.0,0,254,22,3,0.356882,2.86,3.41,2.62
Ligue_1 2018_174_181_2018-12-02 14:00:00,2018-12-02 14:00:00,False,181,Dijon,d,174,Toulouse,2.01627,14.0,2,160,32,9,2.3248999999999995,d,2.01627,0.794616,12.0,2,399,17,2,0.794616,3.77,3.47,2.12
Ligue_1 2018_169_181_2018-12-05 18:00:00,2018-12-05 18:00:00,True,181,Dijon,w,169,Guingamp,0.258741,9.0,2,138,30,1,0.6832,w,0.258741,0.901172,21.0,1,272,29,2,0.901172,2.31,3.21,3.57
Ligue_1 2018_163_181_2018-12-08 19:00:00,2018-12-08 19:00:00,False,181,Dijon,l,163,Rennes,0.494817,7.0,0,269,27,1,0.1162,l,0.494817,2.99488,21.0,2,266,11,5,2.99488,6.52,4.42,1.54
Ligue_1 2018_175_181_2018-12-22 19:00:00,2018-12-22 19:00:00,False,181,Dijon,l,175,Saint-Etienne,0.759878,7.0,0,245,32,3,0.3994999999999999,l,0.759878,2.19805,18.0,3,206,34,12,2.19805,6.2,4.58,1.53
Ligue_1 2018_166_181_2019-01-13 16:00:00,2019-01-13 16:00:00,True,181,Dijon,d,166,Montpellier,0.676429,13.0,1,290,27,7,0.6071,d,0.676429,1.54415,13.0,1,153,25,5,1.54415,3.38,3.34,2.32
Ligue_1 2018_176_181_2019-01-20 19:00:00,2019-01-20 19:00:00,False,181,Dijon,l,176,Bordeaux,0.894868,10.0,0,365,11,6,0.7681,l,0.894868,1.56037,13.0,1,131,29,12,1.56037,5.28,3.82,1.73
Ligue_1 2018_171_181_2019-01-26 19:00:00,2019-01-26 19:00:00,True,181,Dijon,w,171,Monaco,1.41651,13.0,2,276,26,6,1.4141,w,1.41651,1.36922,18.0,0,217,22,6,1.36922,3.09,3.46,2.42
Ligue_1 2018_167_181_2019-02-02 19:00:00,2019-02-02 19:00:00,False,181,Dijon,l,167,Angers,0.359499,7.0,0,282,24,7,0.4906999999999999,l,0.359499,1.37192,12.0,1,326,20,4,1.37192,3.96,3.55,2.03
Ligue_1 2018_164_181_2019-02-08 19:45:00,2019-02-08 19:45:00,True,181,Dijon,l,164,Marseille,1.22126,10.0,1,326,19,2,1.3022,l,1.22126,1.26922,18.0,2,156,33,7,1.26922,4.18,3.71,1.93
Ligue_1 2018_181_235_2019-02-15 18:00:00,2019-02-15 18:00:00,False,181,Dijon,l,235,Nimes,0.847362,12.0,0,171,26,5,1.2513,l,0.847362,0.947223,14.0,2,231,23,1,0.947223,4.58,3.96,1.79
Ligue_1 2018_175_181_2019-02-22 18:00:00,2019-02-22 18:00:00,True,181,Dijon,l,175,Saint-Etienne,0.322809,11.0,0,293,30,5,0.6708,l,0.322809,0.990687,16.0,1,188,22,6,0.990687,3.35,3.43,2.3
Ligue_1 2018_160_181_2019-03-03 14:00:00,2019-03-03 14:00:00,False,181,Dijon,l,160,Lille,0.279519,6.0,0,238,25,4,0.7939,l,0.279519,0.755393,14.0,1,156,22,5,0.755393,7.03,4.42,1.51
