match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2019_167_176_2019-08-10 19:00:00,2019-08-10 19:00:00,False,176,Bordeaux,l,167,Angers,1.29511,8.0,1,252,23,3,1.2036,l,1.29511,1.52399,14.0,3,323,34,4,1.52399,3.35,3.29,2.34
Ligue_1 2019_166_176_2019-08-17 19:00:00,2019-08-17 19:00:00,True,176,Bordeaux,d,166,Montpellier,0.785876,13.0,1,134,20,1,1.3793,d,0.785876,0.683431,10.0,1,381,37,5,0.683431,2.79,3.0,2.96
Ligue_1 2019_176_181_2019-08-24 19:00:00,2019-08-24 19:00:00,False,176,Bordeaux,w,181,Dijon,0.626181,10.0,2,277,32,3,1.6810999999999998,w,0.626181,0.234901,10.0,0,345,35,3,0.234901,2.75,3.36,2.71
Ligue_1 2019_176_178_2019-08-31 16:30:00,2019-08-31 16:30:00,False,176,Bordeaux,d,178,Lyon,0.962238,18.0,1,290,23,7,1.2732,d,0.962238,1.00508,10.0,1,283,26,2,1.00508,8.61,5.08,1.39
Ligue_1 2019_176_180_2019-09-14 18:00:00,2019-09-14 18:00:00,True,176,Bordeaux,w,180,Metz,1.51518,15.0,2,317,36,4,1.8221,w,1.51518,0.944742,15.0,0,280,31,6,0.944742,1.83,3.56,4.88
Ligue_1 2019_176_241_2019-09-21 18:00:00,2019-09-21 18:00:00,True,176,Bordeaux,d,241,Brest,1.56441,18.0,2,225,17,4,1.4847,d,1.56441,1.38448,13.0,2,311,14,14,1.38448,1.76,3.55,5.5
Ligue_1 2019_176_224_2019-09-25 17:00:00,2019-09-25 17:00:00,False,176,Bordeaux,w,224,Amiens,0.662691,15.0,3,228,20,3,0.6918,w,0.662691,1.33067,11.0,1,320,28,2,1.33067,3.17,3.06,2.58
Ligue_1 2019_161_176_2019-09-28 15:30:00,2019-09-28 15:30:00,True,176,Bordeaux,l,161,Paris Saint Germain,0.104666,4.0,0,365,15,0,0.0408,l,0.104666,2.83454,21.0,1,232,39,22,2.83454,5.86,4.83,1.53
Ligue_1 2019_174_176_2019-10-05 19:00:00,2019-10-05 19:00:00,False,176,Bordeaux,w,174,Toulouse,1.07992,10.0,3,101,21,5,1.5717,w,1.07992,0.846031,15.0,1,380,32,2,0.846031,3.06,3.1,2.63
Ligue_1 2019_175_176_2019-10-20 14:00:00,2019-10-20 14:00:00,True,176,Bordeaux,l,175,Saint-Etienne,0.898813,12.0,0,199,30,2,1.2662,l,0.898813,0.869056,6.0,1,439,40,1,0.108961,2.31,3.34,3.37
Ligue_1 2019_160_176_2019-10-26 16:30:00,2019-10-26 16:30:00,False,176,Bordeaux,l,160,Lille,0.294002,5.0,0,176,22,2,0.301,l,0.294002,1.56674,11.0,3,322,36,8,0.806641,4.87,3.79,1.78
Ligue_1 2019_168_176_2019-11-03 14:00:00,2019-11-03 14:00:00,True,176,Bordeaux,w,168,Nantes,0.828927,10.0,2,269,18,5,1.3741,w,0.828927,0.792992,9.0,0,251,27,4,0.792992,2.37,3.07,3.54
Ligue_1 2019_170_176_2019-11-08 19:45:00,2019-11-08 19:45:00,False,176,Bordeaux,d,170,Nice,1.73733,10.0,1,257,33,2,1.5127000000000002,d,0.977232,1.55472,10.0,1,409,33,4,1.55472,3.31,3.1,2.48
Ligue_1 2019_171_176_2019-11-24 14:00:00,2019-11-24 14:00:00,True,176,Bordeaux,w,171,Monaco,1.4834,17.0,2,259,16,3,1.4063,w,0.723306,1.43367,11.0,1,304,33,7,1.43367,3.44,3.63,2.16
Ligue_1 2019_176_177_2019-11-30 19:00:00,2019-11-30 19:00:00,False,176,Bordeaux,d,177,Reims,0.214619,5.0,1,231,27,2,0.4444,d,0.214619,1.16235,19.0,1,277,24,2,1.16235,4.39,3.13,2.08
Ligue_1 2019_176_235_2019-12-03 18:00:00,2019-12-03 18:00:00,True,176,Bordeaux,w,235,Nimes,2.0996,12.0,6,146,21,5,2.7313,w,2.0996,0.192769,7.0,0,584,21,3,0.192769,1.93,3.46,4.56
Ligue_1 2019_164_176_2019-12-08 20:00:00,2019-12-08 20:00:00,False,176,Bordeaux,l,164,Marseille,0.15818,3.0,1,256,20,2,0.1527,l,0.15818,2.04801,25.0,3,326,35,9,2.04801,5.52,4.35,1.61
Ligue_1 2019_176_225_2019-12-15 14:00:00,2019-12-15 14:00:00,True,176,Bordeaux,l,225,Strasbourg,1.28592,13.0,0,186,22,5,2.0639,l,1.28592,0.527336,7.0,1,452,12,3,0.527336,2.28,3.23,3.57
Ligue_1 2019_163_176_2019-12-21 19:45:00,2019-12-21 19:45:00,False,176,Bordeaux,l,163,Rennes,0.540713,13.0,0,208,37,3,0.8182,l,0.540713,1.07897,12.0,1,285,27,7,1.07897,4.17,3.32,2.04
Ligue_1 2019_176_178_2020-01-11 16:30:00,2020-01-11 16:30:00,True,176,Bordeaux,l,178,Lyon,0.71442,5.0,1,315,16,3,0.3156,l,0.71442,2.43061,22.0,2,240,32,13,2.43061,3.31,3.33,2.32
Ligue_1 2019_168_176_2020-01-26 16:00:00,2020-01-26 16:00:00,False,176,Bordeaux,w,168,Nantes,0.750449,11.0,1,238,29,1,1.9323,w,0.750449,0.201093,7.0,0,402,27,0,0.201093,4.73,3.4,1.9
Ligue_1 2019_164_176_2020-02-02 20:00:00,2020-02-02 20:00:00,True,176,Bordeaux,d,164,Marseille,1.15176,12.0,0,184,27,1,2.0771,d,1.15176,0.413632,16.0,0,233,29,3,0.413632,3.38,3.25,2.33
Ligue_1 2019_176_241_2020-02-05 18:00:00,2020-02-05 18:00:00,False,176,Bordeaux,d,241,Brest,1.09016,13.0,1,258,28,4,0.7617,d,1.09016,1.81834,17.0,1,277,26,3,1.05825,3.01,3.28,2.53
Ligue_1 2019_176_180_2020-02-08 19:00:00,2020-02-08 19:00:00,False,176,Bordeaux,w,180,Metz,2.11814,15.0,2,121,27,7,2.4641,w,2.11814,0.672638,11.0,1,401,8,2,0.672638,3.09,3.08,2.6
Ligue_1 2019_176_181_2020-02-15 19:00:00,2020-02-15 19:00:00,True,176,Bordeaux,d,181,Dijon,1.66815,11.0,2,199,32,3,2.0207,d,1.66815,0.948329,6.0,2,436,17,2,0.948329,1.85,3.42,4.96
Ligue_1 2019_161_176_2020-02-23 20:00:00,2020-02-23 20:00:00,False,176,Bordeaux,l,161,Paris Saint Germain,1.89123,12.0,3,372,34,2,0.0854999999999999,l,1.89123,5.58145,23.0,4,133,29,15,5.58145,20.15,8.93,1.13
Ligue_1 2019_170_176_2020-03-01 15:05:00,2020-03-01 15:05:00,True,176,Bordeaux,d,170,Nice,2.02221,12.0,1,374,35,7,2.6145,d,2.02221,0.407018,9.0,1,245,26,3,0.407018,1.96,3.66,4.02
Ligue_1 2019_175_176_2020-03-08 13:00:00,2020-03-08 13:00:00,False,176,Bordeaux,d,175,Saint-Etienne,0.924479,9.0,1,275,26,2,1.5672,d,0.924479,0.711678,11.0,1,250,25,7,0.711678,3.43,3.32,2.27
