match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2019_163_166_2019-08-10 19:00:00,2019-08-10 19:00:00,True,166,Montpellier,l,163,Rennes,2.56158,24.0,0,256,29,11,2.3471,l,1.80149,1.17033,9.0,1,225,22,2,1.17033,2.32,3.28,3.4
Ligue_1 2019_166_176_2019-08-17 19:00:00,2019-08-17 19:00:00,False,166,Montpellier,d,176,Bordeaux,0.683431,10.0,1,381,37,5,1.2503,d,0.683431,0.785876,13.0,1,134,20,1,0.785876,2.96,3.0,2.79
Ligue_1 2019_166_178_2019-08-27 18:00:00,2019-08-27 18:00:00,True,166,Montpellier,w,178,Lyon,1.89186,19.0,1,273,19,7,2.0492,w,1.13176,1.04285,14.0,0,301,17,2,1.04285,3.7,3.6,2.08
Ligue_1 2019_166_168_2019-08-31 18:00:00,2019-08-31 18:00:00,False,166,Montpellier,l,168,Nantes,0.767321,8.0,0,267,21,6,1.2657,l,0.767321,0.825226,14.0,1,315,26,3,0.825226,3.73,3.07,2.29
Ligue_1 2019_166_170_2019-09-14 18:00:00,2019-09-14 18:00:00,True,166,Montpellier,w,170,Nice,2.22081,17.0,2,399,24,6,2.2766,w,2.22081,1.05478,13.0,1,197,17,4,1.05478,1.93,3.35,4.73
Ligue_1 2019_164_166_2019-09-21 15:30:00,2019-09-21 15:30:00,False,166,Montpellier,d,164,Marseille,0.10429,3.0,1,247,23,2,0.4365,d,0.10429,1.08408,24.0,1,195,24,9,1.08408,4.37,3.29,2.02
Ligue_1 2019_166_235_2019-09-25 17:00:00,2019-09-25 17:00:00,True,166,Montpellier,w,235,Nimes,0.579923,12.0,1,165,23,5,1.149,w,0.579923,0.719947,15.0,0,222,31,6,0.719947,1.93,3.67,4.2
Ligue_1 2019_166_225_2019-09-29 13:00:00,2019-09-29 13:00:00,False,166,Montpellier,l,225,Strasbourg,1.28128,11.0,0,201,27,5,2.2853,l,0.521186,0.390945,8.0,1,239,25,2,0.390945,3.27,3.09,2.5
Ligue_1 2019_166_171_2019-10-05 19:00:00,2019-10-05 19:00:00,True,166,Montpellier,w,171,Monaco,2.74638,17.0,3,286,26,5,2.3667,w,2.74638,1.36346,14.0,1,183,16,6,1.36346,2.96,3.32,2.56
Ligue_1 2019_166_177_2019-10-19 19:00:00,2019-10-19 19:00:00,False,166,Montpellier,l,177,Reims,0.594823,9.0,0,210,23,3,0.9819,l,0.594823,0.925625,12.0,1,274,23,2,0.925625,4.11,2.96,2.23
Ligue_1 2019_166_167_2019-10-26 19:00:00,2019-10-26 19:00:00,True,166,Montpellier,d,167,Angers,0.854411,14.0,0,199,31,8,1.1269,d,0.854411,1.09487,13.0,0,350,17,7,1.09487,2.32,3.15,3.55
Ligue_1 2019_166_180_2019-11-02 19:00:00,2019-11-02 19:00:00,False,166,Montpellier,d,180,Metz,0.657443,12.0,2,219,38,3,0.8654999999999999,d,0.657443,1.14215,11.0,2,221,20,3,1.14215,2.79,3.19,2.79
Ligue_1 2019_166_174_2019-11-10 16:00:00,2019-11-10 16:00:00,True,166,Montpellier,w,174,Toulouse,1.42044,8.0,3,262,30,1,2.5504999999999995,w,1.42044,0.251798,6.0,0,183,26,1,0.251798,1.79,3.6,5.15
Ligue_1 2019_166_175_2019-11-24 16:00:00,2019-11-24 16:00:00,False,166,Montpellier,d,175,Saint-Etienne,1.33816,8.0,0,250,38,2,2.1732,d,1.33816,0.482393,9.0,0,208,28,1,0.482393,3.36,3.3,2.33
Ligue_1 2019_166_224_2019-11-30 19:00:00,2019-11-30 19:00:00,True,166,Montpellier,w,224,Amiens,1.35194,20.0,4,286,26,3,1.6259,w,1.35194,0.989696,6.0,2,299,16,2,0.989696,1.79,3.55,5.2
Ligue_1 2019_166_181_2019-12-04 18:00:00,2019-12-04 18:00:00,False,166,Montpellier,d,181,Dijon,1.27691,18.0,2,193,32,4,1.3326999999999998,d,1.27691,1.29978,18.0,2,248,20,5,1.29978,2.59,3.09,3.12
Ligue_1 2019_161_166_2019-12-07 16:30:00,2019-12-07 16:30:00,True,166,Montpellier,l,161,Paris Saint Germain,0.447142,6.0,1,285,28,3,0.9823,l,0.447142,0.782463,14.0,3,95,24,7,0.782463,6.63,4.7,1.49
Ligue_1 2019_160_166_2019-12-13 19:45:00,2019-12-13 19:45:00,False,166,Montpellier,l,160,Lille,1.53329,10.0,1,172,23,1,0.9595,l,1.53329,1.93087,14.0,2,206,24,3,0.410679,5.16,3.73,1.76
Ligue_1 2019_166_241_2019-12-21 19:45:00,2019-12-21 19:45:00,True,166,Montpellier,w,241,Brest,2.2249,17.0,4,313,20,5,2.4312,w,1.46481,0.751773,17.0,0,206,29,8,0.751773,1.58,3.91,6.84
Ligue_1 2019_166_224_2020-01-11 19:00:00,2020-01-11 19:00:00,False,166,Montpellier,w,224,Amiens,0.846418,11.0,2,228,28,5,1.094,w,0.846418,1.02329,7.0,1,225,23,4,1.02329,2.22,3.24,3.65
Ligue_1 2019_166_181_2020-01-25 19:00:00,2020-01-25 19:00:00,True,166,Montpellier,w,181,Dijon,1.84221,16.0,2,290,29,7,2.4674,w,1.84221,0.43555,6.0,1,345,20,1,0.43555,1.67,3.81,5.76
Ligue_1 2019_161_166_2020-02-01 16:30:00,2020-02-01 16:30:00,False,166,Montpellier,l,161,Paris Saint Germain,0.163578,6.0,0,279,11,2,0.0653,l,0.163578,2.89333,20.0,5,179,31,19,2.89333,22.27,8.29,1.14
Ligue_1 2019_166_180_2020-02-05 18:00:00,2020-02-05 18:00:00,True,166,Montpellier,d,180,Metz,0.508142,12.0,1,244,23,4,0.4916,d,0.508142,1.50948,18.0,1,195,26,3,0.749388,1.74,3.38,6.09
Ligue_1 2019_166_175_2020-02-09 14:00:00,2020-02-09 14:00:00,True,166,Montpellier,w,175,Saint-Etienne,0.552256,8.0,1,277,26,3,0.8884,w,0.552256,1.05882,17.0,0,215,29,6,1.05882,2.24,3.18,3.68
Ligue_1 2019_166_171_2020-02-14 19:45:00,2020-02-14 19:45:00,False,166,Montpellier,l,171,Monaco,0.982861,13.0,0,324,16,2,0.6772,l,0.982861,1.9344,16.0,1,297,35,17,1.9344,4.91,3.74,1.78
Ligue_1 2019_166_167_2020-02-22 19:00:00,2020-02-22 19:00:00,False,166,Montpellier,l,167,Angers,0.774989,10.0,0,221,32,2,0.8825,l,0.774989,1.27958,12.0,1,304,16,3,1.27958,3.29,3.07,2.48
Ligue_1 2019_166_225_2020-02-29 19:00:00,2020-02-29 19:00:00,True,166,Montpellier,w,225,Strasbourg,3.80176,23.0,3,296,15,4,2.8571,w,3.04166,0.851456,15.0,0,216,24,4,0.851456,2.37,3.15,3.41
Ligue_1 2019_163_166_2020-03-08 15:00:00,2020-03-08 15:00:00,False,166,Montpellier,l,163,Rennes,0.940729,11.0,0,341,18,5,0.1755,l,0.940729,3.18379,16.0,5,276,20,10,1.6636,3.89,3.22,2.15
