match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2019_161_235_2019-08-11 20:00:00,2019-08-11 20:00:00,True,161,Paris Saint Germain,w,235,Nimes,3.61599,12.0,3,138,34,12,2.954,w,2.8559,0.305387,5.0,0,475,9,3,0.305387,1.1,10.78,28.65
Ligue_1 2019_161_163_2019-08-18 20:00:00,2019-08-18 20:00:00,False,161,Paris Saint Germain,l,163,Rennes,0.844939,9.0,1,230,28,5,1.039,l,0.844939,1.18588,11.0,2,360,19,5,1.18588,1.38,5.61,7.57
Ligue_1 2019_161_174_2019-08-25 20:00:00,2019-08-25 20:00:00,True,161,Paris Saint Germain,w,174,Toulouse,4.70776,21.0,4,151,34,12,2.9701000000000004,w,3.94766,0.699812,3.0,0,331,12,0,0.699812,1.12,10.69,22.86
Ligue_1 2019_161_180_2019-08-30 19:45:00,2019-08-30 19:45:00,False,161,Paris Saint Germain,w,180,Metz,2.01186,10.0,2,151,32,5,2.6536,w,1.25176,0.360572,7.0,0,495,27,1,0.360572,1.44,4.81,7.62
Ligue_1 2019_161_225_2019-09-14 15:30:00,2019-09-14 15:30:00,True,161,Paris Saint Germain,w,225,Strasbourg,0.839304,16.0,1,232,35,13,1.5546,w,0.839304,0.561424,6.0,0,304,16,2,0.561424,1.21,7.54,13.41
Ligue_1 2019_161_178_2019-09-22 19:00:00,2019-09-22 19:00:00,False,161,Paris Saint Germain,w,178,Lyon,1.25713,21.0,1,284,36,15,2.1076,w,1.25713,0.373068,12.0,0,365,17,1,0.373068,1.88,4.18,3.88
Ligue_1 2019_161_177_2019-09-25 19:00:00,2019-09-25 19:00:00,True,161,Paris Saint Germain,l,177,Reims,0.530839,12.0,0,147,24,4,0.7562,l,0.530839,1.17459,13.0,2,425,21,2,1.17459,1.17,8.19,17.64
Ligue_1 2019_161_176_2019-09-28 15:30:00,2019-09-28 15:30:00,False,161,Paris Saint Germain,w,176,Bordeaux,2.83454,21.0,1,232,39,22,2.9262,w,2.83454,0.104666,4.0,0,365,15,0,0.104666,1.53,4.83,5.86
Ligue_1 2019_161_167_2019-10-05 16:30:00,2019-10-05 16:30:00,True,161,Paris Saint Germain,w,167,Angers,3.35081,15.0,4,187,24,17,2.8919,w,3.35081,0.488442,10.0,0,572,16,4,0.488442,1.2,7.6,14.19
Ligue_1 2019_161_170_2019-10-18 19:45:00,2019-10-18 19:45:00,False,161,Paris Saint Germain,w,170,Nice,3.38134,24.0,4,235,31,12,2.8523,w,3.38134,0.730506,10.0,1,347,26,5,0.730506,1.44,4.65,7.95
Ligue_1 2019_161_164_2019-10-27 20:00:00,2019-10-27 20:00:00,True,161,Paris Saint Germain,w,164,Marseille,3.22926,11.0,4,209,27,11,2.8961,w,3.22926,0.544773,5.0,0,481,29,4,0.544773,1.24,6.74,12.72
Ligue_1 2019_161_181_2019-11-01 19:45:00,2019-11-01 19:45:00,False,161,Paris Saint Germain,l,181,Dijon,3.04569,20.0,1,172,16,13,2.6799,l,3.04569,0.822624,10.0,2,398,21,6,0.822624,1.2,7.41,13.5
