match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2019_175_181_2019-08-10 19:00:00,2019-08-10 19:00:00,False,175,Saint-Etienne,w,181,Dijon,0.916517,12.0,2,284,26,7,0.4994999999999999,w,0.916517,2.15127,15.0,1,262,25,7,1.39118,2.13,3.46,3.69
Ligue_1 2019_175_241_2019-08-18 14:00:00,2019-08-18 14:00:00,True,175,Saint-Etienne,d,241,Brest,2.21564,19.0,1,219,35,8,2.5584,d,2.21564,0.501067,9.0,1,307,19,2,0.501067,1.63,3.99,5.94
Ligue_1 2019_160_175_2019-08-28 18:00:00,2019-08-28 18:00:00,False,175,Saint-Etienne,l,160,Lille,0.79996,9.0,0,272,22,4,0.2829,l,0.79996,2.66328,16.0,3,312,21,7,1.90318,3.3,3.48,2.27
Ligue_1 2019_164_175_2019-09-01 20:00:00,2019-09-01 20:00:00,False,175,Saint-Etienne,l,164,Marseille,0.524356,12.0,0,290,36,6,0.9786,l,0.524356,0.845557,9.0,1,276,31,9,0.845557,4.01,3.57,2.01
Ligue_1 2019_174_175_2019-09-15 15:00:00,2019-09-15 15:00:00,True,175,Saint-Etienne,d,174,Toulouse,1.06769,14.0,2,161,25,3,0.6554,d,1.06769,1.93338,10.0,2,290,15,4,1.17329,1.67,4.14,5.22
Ligue_1 2019_167_175_2019-09-22 15:00:00,2019-09-22 15:00:00,False,175,Saint-Etienne,l,167,Angers,0.794221,6.0,1,294,23,2,0.5687,l,0.794221,1.92745,14.0,4,296,32,7,1.92745,3.7,3.29,2.2
Ligue_1 2019_175_180_2019-09-25 17:00:00,2019-09-25 17:00:00,True,175,Saint-Etienne,l,180,Metz,0.810489,15.0,0,220,34,4,1.5769,l,0.810489,0.532843,12.0,1,247,19,2,0.532843,1.81,3.7,4.83
Ligue_1 2019_175_235_2019-09-29 15:00:00,2019-09-29 15:00:00,False,175,Saint-Etienne,w,235,Nimes,0.856429,6.0,1,293,20,3,0.7147000000000001,w,0.856429,1.71161,22.0,0,139,21,4,1.71161,3.17,3.43,2.37
Ligue_1 2019_175_178_2019-10-06 20:00:00,2019-10-06 20:00:00,True,175,Saint-Etienne,w,178,Lyon,0.702101,6.0,1,364,25,5,1.6515,w,0.702101,0.362585,6.0,0,224,29,2,0.362585,3.51,3.71,2.11
Ligue_1 2019_175_176_2019-10-20 14:00:00,2019-10-20 14:00:00,False,175,Saint-Etienne,w,176,Bordeaux,0.869056,6.0,1,439,40,1,1.3394,w,0.108961,0.898813,12.0,0,199,30,2,0.898813,3.37,3.34,2.31
