match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2020_170_210_2020-08-23 15:00:00,2020-08-23 15:00:00,True,170,Nice,w,210,Lens,0.180464,4.0,2,218,30,3,0.0203,w,0.180464,3.03614,17.0,1,360,29,5,2.27604,2.05,3.36,4.06
Ligue_1 2020_170_225_2020-08-29 19:00:00,2020-08-29 19:00:00,False,170,Nice,w,225,Strasbourg,1.20894,3.0,2,268,21,1,2.4486000000000003,w,0.448847,0.227899,6.0,0,407,25,4,0.227899,3.32,3.35,2.28
Ligue_1 2020_166_170_2020-09-12 15:00:00,2020-09-12 15:00:00,False,170,Nice,l,166,Montpellier,0.376694,9.0,1,138,19,0,0.3861,l,0.376694,1.69934,20.0,3,292,25,8,1.69934,3.52,3.35,2.25
Ligue_1 2020_161_170_2020-09-20 11:00:00,2020-09-20 11:00:00,True,170,Nice,l,161,Paris Saint Germain,0.930504,14.0,0,327,13,6,0.132,l,0.930504,3.32755,14.0,3,363,24,11,2.56746,7.66,4.85,1.43
Ligue_1 2020_170_176_2020-09-27 11:00:00,2020-09-27 11:00:00,False,170,Nice,d,176,Bordeaux,0.645309,13.0,0,318,31,9,0.8726,d,0.645309,1.17944,18.0,0,372,21,5,1.17944,3.72,3.2,2.21
Ligue_1 2020_168_170_2020-10-03 19:00:00,2020-10-03 19:00:00,True,170,Nice,w,168,Nantes,1.9654,18.0,2,151,42,11,1.9977000000000005,w,1.9654,1.13528,11.0,1,458,14,3,0.37518,2.51,3.32,3.1
Ligue_1 2020_170_175_2020-10-18 15:00:00,2020-10-18 15:00:00,False,170,Nice,w,175,Saint-Etienne,2.52438,11.0,3,275,21,5,2.694,w,2.52438,0.714171,11.0,1,350,40,2,0.714171,3.29,3.29,2.42
Ligue_1 2020_160_170_2020-10-25 16:00:00,2020-10-25 16:00:00,True,170,Nice,d,160,Lille,0.866315,8.0,1,303,23,3,1.3105,d,0.866315,0.890546,12.0,1,393,29,5,0.890546,3.45,3.54,2.22
Ligue_1 2020_167_170_2020-11-01 14:00:00,2020-11-01 14:00:00,False,170,Nice,w,167,Angers,2.78036,12.0,3,279,20,6,2.8889,w,2.02027,0.395203,11.0,0,306,39,7,0.395203,3.43,3.43,2.28
Ligue_1 2020_170_171_2020-11-08 16:00:00,2020-11-08 16:00:00,True,170,Nice,l,171,Monaco,0.782745,8.0,1,214,21,1,0.5564,l,0.782745,1.87829,15.0,2,398,30,8,1.87829,3.25,3.84,2.2
Ligue_1 2020_170_181_2020-11-29 16:00:00,2020-11-29 16:00:00,True,170,Nice,l,181,Dijon,2.40463,24.0,1,211,30,13,2.3876,l,1.64454,0.980084,9.0,3,390,25,4,0.980084,1.84,3.77,4.64
Ligue_1 2020_170_177_2020-12-06 16:00:00,2020-12-06 16:00:00,False,170,Nice,d,177,Reims,0.570809,12.0,0,173,26,2,1.3353,d,0.570809,0.511453,11.0,0,410,32,3,0.511453,2.88,3.48,2.58
Ligue_1 2020_163_170_2020-12-13 12:00:00,2020-12-13 12:00:00,True,170,Nice,l,163,Rennes,0.791546,11.0,0,278,33,7,0.9556,l,0.791546,1.2598,16.0,1,327,20,3,1.2598,3.07,3.43,2.47
Ligue_1 2020_170_235_2020-12-16 18:00:00,2020-12-16 18:00:00,False,170,Nice,w,235,Nimes,1.97897,14.0,2,220,20,9,2.136,w,1.97897,0.994031,15.0,0,356,34,9,0.994031,2.17,3.64,3.47
Ligue_1 2020_170_178_2020-12-19 20:00:00,2020-12-19 20:00:00,True,170,Nice,l,178,Lyon,0.761993,8.0,1,322,26,8,0.1263,l,0.761993,3.1134,13.0,4,374,25,7,2.35337,5.98,4.38,1.59
Ligue_1 2020_170_179_2020-12-23 18:00:00,2020-12-23 18:00:00,True,170,Nice,d,179,Lorient,0.656687,3.0,2,358,14,3,0.2926999999999999,d,0.656687,2.13449,24.0,2,292,28,11,1.3744,1.93,3.79,4.12
Ligue_1 2020_170_241_2021-01-06 18:00:00,2021-01-06 18:00:00,False,170,Nice,l,241,Brest,1.37393,12.0,0,239,22,8,1.5495,l,1.37393,1.13297,10.0,2,348,16,6,1.13297,3.15,3.76,2.28
Ligue_1 2020_170_180_2021-01-09 20:00:00,2021-01-09 20:00:00,False,170,Nice,d,180,Metz,1.48081,11.0,1,211,24,6,1.5353,d,0.720714,1.25558,16.0,1,316,27,1,1.25558,2.92,3.26,2.68
Ligue_1 2020_170_176_2021-01-17 14:00:00,2021-01-17 14:00:00,True,170,Nice,l,176,Bordeaux,0.469882,10.0,0,293,20,5,0.0461,l,0.469882,3.61303,17.0,3,280,15,4,3.61303,2.38,3.28,3.36
Ligue_1 2020_170_210_2021-01-23 16:00:00,2021-01-23 16:00:00,False,170,Nice,w,210,Lens,0.547266,7.0,1,294,26,4,0.7249000000000001,w,0.547266,1.18896,13.0,0,240,24,3,1.18896,4.09,3.42,2.06
Ligue_1 2020_170_175_2021-01-31 12:00:00,2021-01-31 12:00:00,True,170,Nice,l,175,Saint-Etienne,0.435831,7.0,0,317,17,5,0.4437,l,0.435831,1.58746,10.0,1,306,29,8,1.58746,2.22,3.66,3.35
Ligue_1 2020_170_171_2021-02-03 20:00:00,2021-02-03 20:00:00,False,170,Nice,l,171,Monaco,0.426701,5.0,1,199,24,3,0.0733,l,0.426701,2.7347,15.0,2,371,31,11,1.97467,5.96,4.65,1.5
Ligue_1 2020_167_170_2021-02-07 14:00:00,2021-02-07 14:00:00,True,170,Nice,w,167,Angers,1.30901,11.0,3,271,24,7,1.9455,w,1.30901,0.620413,10.0,0,328,25,4,0.620413,2.82,3.15,2.86
Ligue_1 2020_161_170_2021-02-13 16:00:00,2021-02-13 16:00:00,False,170,Nice,l,161,Paris Saint Germain,1.0503,13.0,1,337,25,6,0.4184,l,1.0503,2.47313,17.0,2,320,31,9,2.47313,12.37,7.12,1.2
Ligue_1 2020_164_170_2021-02-17 20:00:00,2021-02-17 20:00:00,False,170,Nice,l,164,Marseille,1.2083,10.0,2,246,24,5,1.8946,l,1.2083,0.648327,8.0,3,363,20,5,0.648327,3.24,3.44,2.36
Ligue_1 2020_170_180_2021-02-21 14:00:00,2021-02-21 14:00:00,True,170,Nice,l,180,Metz,1.04755,12.0,1,177,43,0,0.9594,l,0.287451,1.43338,11.0,2,354,26,2,1.43338,2.37,3.44,3.23
Ligue_1 2020_163_170_2021-02-26 20:00:00,2021-02-26 20:00:00,False,170,Nice,w,163,Rennes,1.6621,14.0,2,289,14,8,2.1617,w,0.902204,0.752041,17.0,1,170,31,5,0.752041,4.97,3.54,1.85
Ligue_1 2020_170_235_2021-03-03 18:00:00,2021-03-03 18:00:00,True,170,Nice,w,235,Nimes,1.50673,10.0,2,284,34,11,0.7482,w,1.50673,2.37864,22.0,1,346,18,8,2.37864,1.77,3.98,4.82
Ligue_1 2020_170_179_2021-03-14 14:00:00,2021-03-14 14:00:00,False,170,Nice,d,179,Lorient,0.511554,6.0,1,311,24,2,0.2077999999999999,d,0.511554,2.3105,17.0,1,364,26,4,2.3105,2.85,3.46,2.62
Ligue_1 2020_164_170_2021-03-20 20:00:00,2021-03-20 20:00:00,True,170,Nice,w,164,Marseille,2.7496,17.0,3,303,18,11,2.8587,w,2.7496,0.30434,7.0,0,204,27,1,0.30434,3.03,3.32,2.56
Ligue_1 2020_168_170_2021-04-04 13:00:00,2021-04-04 13:00:00,False,170,Nice,w,168,Nantes,2.37312,17.0,2,189,17,10,2.1675,w,1.61316,1.36882,18.0,1,268,28,4,1.36882,2.97,3.43,2.54
Ligue_1 2020_170_177_2021-04-11 13:00:00,2021-04-11 13:00:00,True,170,Nice,d,177,Reims,0.515644,13.0,0,252,24,5,1.3222,d,0.515644,0.451514,10.0,0,326,26,3,0.451514,2.3,3.24,3.58
Ligue_1 2020_170_181_2021-04-18 13:00:00,2021-04-18 13:00:00,False,170,Nice,l,181,Dijon,0.718471,10.0,0,236,26,5,0.6823999999999999,l,0.718471,1.41735,9.0,2,326,19,1,0.657254,1.78,4.04,4.7
Ligue_1 2020_166_170_2021-04-25 11:00:00,2021-04-25 11:00:00,True,170,Nice,w,166,Montpellier,2.37673,18.0,3,175,15,6,1.806,w,2.37673,1.73033,14.0,1,349,30,7,1.73033,2.76,3.5,2.67
Ligue_1 2020_160_170_2021-05-01 19:00:00,2021-05-01 19:00:00,False,170,Nice,l,160,Lille,0.0,0.0,0,395,20,1,0.4786,l,0.0,0.684625,12.0,2,376,23,7,0.684625,8.8,4.74,1.43
Ligue_1 2020_170_241_2021-05-09 13:00:00,2021-05-09 13:00:00,True,170,Nice,w,241,Brest,2.95697,14.0,3,206,20,14,2.6123000000000003,w,2.95697,1.02622,9.0,2,369,12,5,1.02622,2.48,3.46,3.03
