match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2021_175_179_2021-08-08 13:00:00,2021-08-08 13:00:00,False,179,Lorient,d,175,Saint-Etienne,0.835981,12.0,1,328,26,7,0.5791,d,0.835981,1.85797,20.0,1,190,24,3,1.09787,3.26,3.64,2.27
Ligue_1 2021_171_179_2021-08-13 19:00:00,2021-08-13 19:00:00,True,179,Lorient,w,171,Monaco,0.779459,2.0,1,330,25,3,1.303,w,0.0193635,0.86536,12.0,0,114,47,9,0.86536,4.31,3.59,1.95
Ligue_1 2021_166_179_2021-08-22 13:00:00,2021-08-22 13:00:00,False,179,Lorient,l,166,Montpellier,0.462326,5.0,1,305,15,4,0.0593,l,0.462326,3.64876,32.0,3,224,23,8,3.64876,3.56,3.35,2.26
Ligue_1 2021_179_210_2021-08-29 13:00:00,2021-08-29 13:00:00,False,179,Lorient,d,210,Lens,1.2163,15.0,2,256,24,2,1.4404,d,1.2163,1.13941,19.0,2,240,23,7,1.13941,5.17,3.77,1.77
Ligue_1 2021_160_179_2021-09-10 19:00:00,2021-09-10 19:00:00,True,179,Lorient,w,160,Lille,1.08464,14.0,2,402,21,5,0.9134,w,1.08464,1.51807,9.0,1,285,19,3,0.757971,3.52,3.3,2.3
Ligue_1 2021_177_179_2021-09-19 13:00:00,2021-09-19 13:00:00,False,179,Lorient,d,177,Reims,0.174553,6.0,0,216,32,1,0.4538,d,0.174553,0.977907,10.0,0,318,24,4,0.977907,3.42,3.47,2.27
Ligue_1 2021_170_179_2021-09-22 19:00:00,2021-09-22 19:00:00,True,179,Lorient,w,170,Nice,0.619405,8.0,1,315,25,5,0.2783,w,0.619405,2.16916,13.0,0,146,26,6,1.40907,3.31,3.54,2.28
Ligue_1 2021_178_179_2021-09-25 19:00:00,2021-09-25 19:00:00,False,179,Lorient,d,178,Lyon,0.53504,12.0,1,286,8,1,0.9955,d,0.53504,0.843214,12.0,1,265,21,3,0.843214,8.98,5.29,1.38
Ligue_1 2021_179_270_2021-10-03 13:00:00,2021-10-03 13:00:00,True,179,Lorient,d,270,Clermont Foot,0.585194,6.0,1,359,32,3,1.1212,d,0.585194,0.774714,8.0,1,233,24,6,0.774714,2.54,3.41,2.99
Ligue_1 2021_164_179_2021-10-17 18:45:00,2021-10-17 18:45:00,False,179,Lorient,l,164,Marseille,2.09245,15.0,1,376,18,4,1.6907,l,1.33236,1.70821,16.0,4,199,23,7,1.70821,6.87,4.33,1.54
Ligue_1 2021_176_179_2021-10-24 13:00:00,2021-10-24 13:00:00,True,179,Lorient,d,176,Bordeaux,1.78373,14.0,1,279,22,6,1.9354,d,1.78373,1.06479,11.0,1,294,23,8,1.06479,2.08,3.5,3.89
Ligue_1 2021_179_225_2021-10-31 14:00:00,2021-10-31 14:00:00,False,179,Lorient,l,225,Strasbourg,0.666205,5.0,0,257,13,2,0.0534,l,0.666205,3.09428,15.0,4,277,29,7,3.09428,4.12,3.48,2.03
Ligue_1 2021_179_241_2021-11-07 14:00:00,2021-11-07 14:00:00,True,179,Lorient,l,241,Brest,1.16964,9.0,1,261,6,4,0.4174,l,1.16964,2.34992,16.0,2,200,21,4,1.58983,2.53,3.33,3.07
Ligue_1 2021_167_179_2021-11-21 14:00:00,2021-11-21 14:00:00,False,179,Lorient,l,167,Angers,0.420713,10.0,0,364,33,2,0.4148,l,0.420713,1.46206,8.0,1,303,21,3,0.701963,4.62,3.37,1.96
Ligue_1 2021_163_179_2021-11-28 14:00:00,2021-11-28 14:00:00,True,179,Lorient,l,163,Rennes,0.633986,6.0,0,293,21,3,0.9894,l,0.633986,0.989174,11.0,2,166,19,8,0.989174,4.64,4.05,1.78
Ligue_1 2021_172_179_2021-12-01 18:00:00,2021-12-01 18:00:00,False,179,Lorient,l,172,Troyes,0.433668,9.0,0,298,22,3,0.6953,l,0.433668,1.12178,10.0,2,249,24,4,1.12178,3.26,3.31,2.42
Ligue_1 2021_168_179_2021-12-05 14:00:00,2021-12-05 14:00:00,True,179,Lorient,l,168,Nantes,0.619711,17.0,0,239,19,6,1.6111,l,0.619711,0.268938,5.0,1,311,23,2,0.268938,2.98,3.11,2.74
Ligue_1 2021_179_180_2021-12-12 14:00:00,2021-12-12 14:00:00,False,179,Lorient,l,180,Metz,1.70684,17.0,1,188,28,8,1.8212,l,1.70684,1.14227,5.0,4,300,24,1,1.14227,3.13,3.23,2.55
Ligue_1 2021_161_179_2021-12-22 19:45:00,2021-12-22 19:45:00,True,179,Lorient,d,161,Paris Saint Germain,1.47671,17.0,1,342,8,5,0.9068,d,1.47671,2.19929,17.0,1,105,17,9,2.19929,8.34,5.45,1.38
Ligue_1 2021_167_179_2022-01-16 14:00:00,2022-01-16 14:00:00,True,179,Lorient,d,167,Angers,0.480599,14.0,0,279,33,4,1.1627999999999998,d,0.480599,0.554657,5.0,0,275,21,2,0.554657,2.44,3.21,3.21
Ligue_1 2021_160_179_2022-01-19 20:00:00,2022-01-19 20:00:00,False,179,Lorient,l,160,Lille,1.21798,18.0,1,403,19,5,0.9986,l,1.21798,1.58626,13.0,3,318,15,5,1.58626,6.69,4.48,1.5
Ligue_1 2021_168_179_2022-01-23 14:00:00,2022-01-23 14:00:00,False,179,Lorient,l,168,Nantes,2.03139,15.0,2,268,25,6,1.9409,l,2.03139,1.40263,12.0,4,201,26,6,1.40263,4.03,3.13,2.14
Ligue_1 2021_179_210_2022-02-06 12:00:00,2022-02-06 12:00:00,True,179,Lorient,w,210,Lens,1.57013,8.0,2,369,28,0,2.4622,w,1.57013,0.392243,8.0,0,196,38,6,0.392243,3.46,3.49,2.18
Ligue_1 2021_171_179_2022-02-13 12:00:00,2022-02-13 12:00:00,False,179,Lorient,d,171,Monaco,0.132654,5.0,0,243,16,2,0.3147999999999999,d,0.132654,1.31384,15.0,0,135,34,10,1.31384,8.75,5.08,1.4
Ligue_1 2021_166_179_2022-02-20 14:00:00,2022-02-20 14:00:00,True,179,Lorient,l,166,Montpellier,0.623848,16.0,0,316,28,6,1.4881000000000002,l,0.623848,0.376147,6.0,1,227,17,3,0.376147,2.45,3.29,3.23
