match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2021_164_166_2021-08-08 18:45:00,2021-08-08 18:45:00,False,164,Marseille,w,166,Montpellier,2.15797,21.0,3,203,19,13,2.3469,w,2.15797,0.764726,8.0,2,260,20,2,0.764726,2.37,3.58,3.12
Ligue_1 2021_164_176_2021-08-15 18:45:00,2021-08-15 18:45:00,True,164,Marseille,d,176,Bordeaux,1.05273,10.0,2,217,13,9,2.0806,d,1.05273,0.318288,8.0,2,447,26,2,0.318288,1.55,4.47,6.39
Ligue_1 2021_164_175_2021-08-28 19:00:00,2021-08-28 19:00:00,True,164,Marseille,w,175,Saint-Etienne,2.73701,19.0,3,193,21,6,2.3556,w,2.73701,1.22779,11.0,1,422,34,8,1.22779,1.74,3.97,5.1
Ligue_1 2021_164_171_2021-09-11 19:00:00,2021-09-11 19:00:00,False,164,Marseille,w,171,Monaco,1.36062,13.0,2,284,16,2,1.7186,w,1.36062,0.890728,7.0,0,293,33,7,0.890728,3.63,3.76,2.08
Ligue_1 2021_163_164_2021-09-19 15:00:00,2021-09-19 15:00:00,True,164,Marseille,w,163,Rennes,2.21352,17.0,2,169,13,2,2.2177,w,2.21352,1.06105,13.0,0,314,27,2,1.06105,1.97,3.63,4.15
Ligue_1 2021_164_167_2021-09-22 19:00:00,2021-09-22 19:00:00,False,164,Marseille,d,167,Angers,0.494217,6.0,0,303,26,1,1.3009,d,0.494217,0.470168,9.0,0,426,27,3,0.470168,2.16,3.52,3.62
Ligue_1 2021_164_210_2021-09-26 18:45:00,2021-09-26 18:45:00,True,164,Marseille,l,210,Lens,2.01958,14.0,2,235,17,3,1.0102,l,1.25949,2.4899,14.0,3,380,21,2,1.7298,1.79,3.84,4.85
Ligue_1 2021_160_164_2021-10-03 15:00:00,2021-10-03 15:00:00,False,164,Marseille,l,160,Lille,0.563626,10.0,0,176,18,4,0.0672,l,0.563626,3.52308,12.0,2,341,24,14,3.52308,3.07,3.34,2.52
Ligue_1 2021_164_179_2021-10-17 18:45:00,2021-10-17 18:45:00,True,164,Marseille,w,179,Lorient,1.70821,16.0,4,199,23,7,1.064,w,1.70821,2.09245,15.0,1,376,18,4,1.33236,1.54,4.33,6.87
Ligue_1 2021_161_164_2021-10-24 18:45:00,2021-10-24 18:45:00,True,164,Marseille,d,161,Paris Saint Germain,1.29195,15.0,0,342,18,2,0.7947,d,1.29195,2.0521,10.0,0,300,19,11,2.0521,5.36,4.44,1.63
Ligue_1 2021_164_170_2021-10-27 21:00:00,2021-10-27 21:00:00,False,164,Marseille,d,170,Nice,0.341475,7.0,1,274,22,4,0.4099,d,0.341475,1.50504,11.0,1,373,29,3,1.50504,2.97,3.48,2.52
Ligue_1 2021_164_270_2021-10-31 19:45:00,2021-10-31 19:45:00,False,164,Marseille,w,270,Clermont Foot,1.24579,9.0,1,256,16,8,1.7992,w,1.24579,0.743883,12.0,0,385,24,2,0.743883,2.39,3.73,2.98
Ligue_1 2021_164_180_2021-11-07 12:00:00,2021-11-07 12:00:00,True,164,Marseille,d,180,Metz,1.66928,15.0,0,90,15,12,1.5923,d,1.66928,1.36054,12.0,0,386,11,2,1.36054,1.42,5.17,7.94
Ligue_1 2021_164_172_2021-11-28 19:45:00,2021-11-28 19:45:00,True,164,Marseille,w,172,Troyes,1.15323,14.0,1,251,24,4,2.2887000000000004,w,1.15323,0.145868,5.0,0,269,25,1,0.145868,1.55,4.54,6.22
Ligue_1 2021_164_168_2021-12-01 20:00:00,2021-12-01 20:00:00,False,164,Marseille,w,168,Nantes,1.63717,15.0,1,209,14,16,2.5542,w,1.63717,0.174142,3.0,0,514,11,2,0.174142,2.33,3.46,3.29
Ligue_1 2021_164_241_2021-12-04 16:00:00,2021-12-04 16:00:00,True,164,Marseille,l,241,Brest,1.92281,16.0,1,164,21,7,1.6395,l,1.92281,1.55388,9.0,2,537,13,5,0.793783,1.63,4.31,5.6
Ligue_1 2021_164_225_2021-12-12 16:00:00,2021-12-12 16:00:00,False,164,Marseille,w,225,Strasbourg,0.708922,8.0,2,300,15,1,0.5533,w,0.708922,1.7897,11.0,0,357,23,11,1.7897,2.99,3.42,2.54
Ligue_1 2021_164_177_2021-12-22 19:45:00,2021-12-22 19:45:00,True,164,Marseille,d,177,Reims,1.70528,14.0,1,160,19,8,1.9033,d,0.945185,1.05686,7.0,1,345,11,1,1.05686,1.68,3.89,5.81
Ligue_1 2021_164_176_2022-01-07 20:00:00,2022-01-07 20:00:00,False,164,Marseille,w,176,Bordeaux,2.1562,18.0,1,228,29,8,2.6103,w,2.1562,0.413069,6.0,0,393,22,2,0.413069,1.62,4.46,5.46
Ligue_1 2021_160_164_2022-01-16 19:45:00,2022-01-16 19:45:00,True,164,Marseille,d,160,Lille,1.62744,22.0,1,115,26,18,1.8794,d,1.62744,0.966892,5.0,1,264,7,1,0.966892,2.3,3.51,3.19
Ligue_1 2021_164_210_2022-01-22 20:00:00,2022-01-22 20:00:00,False,164,Marseille,w,210,Lens,1.35491,10.0,2,310,19,13,2.0546,w,0.594817,0.618083,9.0,0,344,10,4,0.618083,2.74,3.63,2.55
Ligue_1 2021_164_178_2022-02-02 21:00:00,2022-02-02 21:00:00,False,164,Marseille,l,178,Lyon,1.12202,9.0,1,397,16,1,0.9795,l,1.12202,1.5519,12.0,2,338,28,3,1.5519,2.65,3.35,2.89
Ligue_1 2021_164_167_2022-02-04 20:00:00,2022-02-04 20:00:00,True,164,Marseille,w,167,Angers,2.34718,18.0,5,257,36,5,2.5749,w,2.34718,0.686866,4.0,2,351,12,2,0.686866,1.51,4.22,7.84
Ligue_1 2021_164_180_2022-02-13 19:45:00,2022-02-13 19:45:00,False,164,Marseille,w,180,Metz,2.31854,13.0,2,243,15,10,2.4967,w,2.31854,0.792396,11.0,1,284,13,2,0.792396,1.67,3.91,5.92
Ligue_1 2021_164_270_2022-02-20 19:45:00,2022-02-20 19:45:00,True,164,Marseille,l,270,Clermont Foot,1.02368,18.0,0,282,27,12,1.5097,l,1.02368,0.769815,4.0,2,354,8,2,0.769815,1.47,4.7,7.66
Ligue_1 2021_164_172_2022-02-27 16:05:00,2022-02-27 16:05:00,False,164,Marseille,d,172,Troyes,1.01636,8.0,1,259,17,2,0.546,d,0.256262,2.00647,9.0,1,412,25,5,2.00647,1.76,4.03,4.83
Ligue_1 2021_164_171_2022-03-06 19:45:00,2022-03-06 19:45:00,True,164,Marseille,l,171,Monaco,0.865388,13.0,0,181,26,6,1.4179,l,0.865388,0.69435,5.0,1,401,18,5,0.69435,2.37,3.25,3.43
Ligue_1 2021_164_241_2022-03-13 19:45:00,2022-03-13 19:45:00,False,164,Marseille,w,241,Brest,1.94529,13.0,4,268,24,6,2.5611999999999995,w,1.94529,0.424923,8.0,1,341,22,6,0.424923,2.2,3.44,3.62
Ligue_1 2021_164_170_2022-03-20 19:45:00,2022-03-20 19:45:00,True,164,Marseille,w,170,Nice,1.58806,13.0,2,249,18,5,1.2479,w,0.827969,1.69113,9.0,1,365,19,4,1.69113,2.21,3.42,3.61
Ligue_1 2021_164_175_2022-04-03 19:00:00,2022-04-03 19:00:00,False,164,Marseille,w,175,Saint-Etienne,3.73912,15.0,4,160,27,8,2.9777,w,2.21893,0.208011,5.0,2,384,15,1,0.208011,2.13,3.55,3.69
Ligue_1 2021_164_166_2022-04-10 19:00:00,2022-04-10 19:00:00,True,164,Marseille,w,166,Montpellier,2.81079,11.0,2,203,28,6,2.8256,w,2.0507,0.477841,6.0,0,395,21,5,0.477841,1.55,4.45,6.45
Ligue_1 2021_161_164_2022-04-17 18:45:00,2022-04-17 18:45:00,False,164,Marseille,l,161,Paris Saint Germain,0.304776,3.0,1,335,30,3,0.352,l,0.304776,1.39018,7.0,2,411,32,8,0.630082,7.65,5.88,1.38
Ligue_1 2021_164_168_2022-04-20 19:00:00,2022-04-20 19:00:00,True,164,Marseille,w,168,Nantes,3.11851,19.0,3,116,19,15,2.8441,w,1.59832,0.607116,4.0,2,436,16,2,0.607116,1.65,4.11,5.74
Ligue_1 2021_164_177_2022-04-24 18:45:00,2022-04-24 18:45:00,False,164,Marseille,w,177,Reims,0.458087,14.0,1,174,23,4,1.0497,w,0.458087,0.661794,10.0,0,471,23,2,0.661794,2.07,3.35,4.13
Ligue_1 2021_164_178_2022-05-01 18:45:00,2022-05-01 18:45:00,True,164,Marseille,l,178,Lyon,1.25703,9.0,0,184,23,9,0.3530999999999999,l,1.25703,2.73856,12.0,3,341,16,7,2.73856,2.35,3.7,3.06
Ligue_1 2021_164_179_2022-05-08 15:05:00,2022-05-08 15:05:00,False,164,Marseille,w,179,Lorient,2.43064,9.0,3,167,20,5,2.8551,w,2.43064,0.218659,7.0,0,391,23,1,0.218659,1.93,3.98,3.93
Ligue_1 2021_163_164_2022-05-14 19:00:00,2022-05-14 19:00:00,False,164,Marseille,l,163,Rennes,0.298071,8.0,0,220,19,4,0.5218,l,0.298071,1.19637,12.0,2,413,26,5,1.19637,3.54,3.96,2.03
Ligue_1 2021_164_225_2022-05-21 19:00:00,2022-05-21 19:00:00,True,164,Marseille,w,225,Strasbourg,2.10355,17.0,4,197,20,9,1.8155,w,2.10355,1.45881,10.0,0,305,22,5,1.45881,2.03,3.6,3.88
