match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2021_170_177_2021-08-08 13:00:00,2021-08-08 13:00:00,False,177,Reims,d,170,Nice,0.158446,5.0,0,353,21,4,0.4348999999999999,d,0.158446,1.09947,12.0,0,209,31,4,1.09947,4.38,3.78,1.88
Ligue_1 2021_166_177_2021-08-15 13:00:00,2021-08-15 13:00:00,True,177,Reims,d,166,Montpellier,1.30758,19.0,3,191,22,11,0.8082,d,1.30758,1.9999,15.0,3,248,21,5,1.9999,2.75,3.22,2.87
Ligue_1 2021_177_180_2021-08-22 13:00:00,2021-08-22 13:00:00,False,177,Reims,d,180,Metz,1.18358,12.0,1,295,22,8,1.7849,d,1.18358,0.670048,10.0,1,146,18,1,0.670048,3.68,3.0,2.39
Ligue_1 2021_161_177_2021-08-29 18:45:00,2021-08-29 18:45:00,True,177,Reims,l,161,Paris Saint Germain,0.826608,11.0,0,435,27,2,0.5948,l,0.826608,1.82461,12.0,2,196,34,9,1.82461,15.58,7.92,1.19
Ligue_1 2021_163_177_2021-09-12 13:00:00,2021-09-12 13:00:00,False,177,Reims,w,163,Rennes,0.871123,7.0,2,307,19,5,1.4272,w,0.871123,0.805521,9.0,0,163,24,5,0.805521,5.98,3.67,1.71
Ligue_1 2021_177_179_2021-09-19 13:00:00,2021-09-19 13:00:00,True,177,Reims,d,179,Lorient,0.977907,10.0,0,318,24,4,2.2358,d,0.977907,0.174553,6.0,0,216,32,1,0.174553,2.27,3.47,3.42
Ligue_1 2021_160_177_2021-09-22 17:00:00,2021-09-22 17:00:00,False,177,Reims,l,160,Lille,1.1754,11.0,1,219,17,3,1.3209,l,0.415308,1.18526,7.0,2,238,34,2,1.18526,5.54,3.77,1.73
Ligue_1 2021_168_177_2021-09-26 13:00:00,2021-09-26 13:00:00,True,177,Reims,w,168,Nantes,1.23068,9.0,3,234,20,5,1.8054,w,1.23068,0.768528,11.0,1,187,23,3,0.768528,2.66,3.25,2.96
Ligue_1 2021_177_210_2021-10-01 19:00:00,2021-10-01 19:00:00,False,177,Reims,l,210,Lens,0.086376,3.0,0,437,21,1,0.0595,l,0.086376,2.36403,13.0,2,285,29,7,1.60393,5.2,3.56,1.81
Ligue_1 2021_177_241_2021-10-17 13:00:00,2021-10-17 13:00:00,False,177,Reims,d,241,Brest,1.03949,13.0,1,230,21,1,1.7999,d,1.03949,0.508125,9.0,1,207,29,7,0.508125,3.36,3.23,2.41
