match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2022_171_225_2022-08-06 15:00:00,2022-08-06 15:00:00,True,225,Strasbourg,l,171,Monaco,1.39118,11.0,1,184,25,8,0.667,l,1.39118,2.47965,24.0,2,298,27,7,2.47965,2.64,3.4,2.86
Ligue_1 2022_170_225_2022-08-14 15:05:00,2022-08-14 15:05:00,False,225,Strasbourg,d,170,Nice,1.57207,9.0,1,312,28,11,1.377,d,1.57207,1.51022,13.0,1,273,18,5,0.750121,3.63,3.37,2.22
Ligue_1 2022_177_225_2022-08-21 11:00:00,2022-08-21 11:00:00,True,225,Strasbourg,d,177,Reims,1.44615,12.0,1,164,26,4,0.8806,d,1.44615,2.03506,12.0,1,292,25,7,2.03506,1.84,3.52,5.09
Ligue_1 2022_225_275_2022-08-27 15:00:00,2022-08-27 15:00:00,False,225,Strasbourg,l,275,Auxerre,1.65529,14.0,0,256,15,14,2.094,l,1.65529,0.770114,7.0,1,321,14,5,0.770114,2.11,3.5,3.79
Ligue_1 2022_168_225_2022-08-31 17:00:00,2022-08-31 17:00:00,True,225,Strasbourg,d,168,Nantes,0.260394,5.0,1,311,27,6,0.9029,d,0.260394,0.582194,12.0,1,239,32,3,0.582194,1.93,3.76,4.15
Ligue_1 2022_225_241_2022-09-04 13:00:00,2022-09-04 13:00:00,False,225,Strasbourg,d,241,Brest,2.65304,10.0,1,283,11,7,2.7182,d,1.89295,0.726914,11.0,1,155,24,1,0.726914,2.62,3.43,2.87
Ligue_1 2022_225_270_2022-09-11 11:00:00,2022-09-11 11:00:00,True,225,Strasbourg,d,270,Clermont Foot,2.60466,12.0,0,301,38,7,2.5733,d,2.60466,0.959426,10.0,0,159,23,6,0.959426,1.7,3.75,5.85
Ligue_1 2022_166_225_2022-09-17 15:00:00,2022-09-17 15:00:00,False,225,Strasbourg,l,166,Montpellier,0.617378,8.0,1,177,26,5,0.4502,l,0.617378,1.8232,10.0,2,178,18,3,1.06317,2.84,3.61,2.55
Ligue_1 2022_163_225_2022-10-01 15:00:00,2022-10-01 15:00:00,True,225,Strasbourg,l,163,Rennes,1.15088,9.0,1,352,18,3,0.5942999999999999,l,0.390788,2.24201,17.0,3,214,22,13,2.24201,3.09,3.56,2.4
Ligue_1 2022_167_225_2022-10-09 13:00:00,2022-10-09 13:00:00,False,225,Strasbourg,w,167,Angers,2.88307,15.0,3,321,19,9,1.9918,w,2.88307,2.08828,14.0,2,230,21,4,2.08828,2.8,3.41,2.69
Ligue_1 2022_160_225_2022-10-14 19:00:00,2022-10-14 19:00:00,True,225,Strasbourg,l,160,Lille,0.366401,12.0,0,359,38,5,0.1142,l,0.366401,2.59097,10.0,3,207,25,7,1.83088,3.18,3.42,2.41
Ligue_1 2022_174_225_2022-10-23 13:00:00,2022-10-23 13:00:00,False,225,Strasbourg,d,174,Toulouse,1.63235,11.0,2,212,9,4,1.1947,d,0.720797,1.86579,17.0,2,234,19,9,1.86579,3.21,3.67,2.28
Ligue_1 2022_164_225_2022-10-29 19:00:00,2022-10-29 19:00:00,True,225,Strasbourg,d,164,Marseille,0.890654,12.0,2,290,25,6,0.5705,d,0.890654,1.93874,13.0,2,278,21,11,1.93874,3.09,3.56,2.39
Ligue_1 2022_225_274_2022-11-05 16:00:00,2022-11-05 16:00:00,False,225,Strasbourg,l,274,Ajaccio,0.670138,9.0,2,207,15,5,0.0569,l,0.670138,3.68734,12.0,4,205,17,3,1.40705,2.74,3.22,2.89
Ligue_1 2022_179_225_2022-11-13 16:05:00,2022-11-13 16:05:00,True,225,Strasbourg,d,179,Lorient,1.84883,20.0,1,216,24,8,2.1366,d,1.84883,0.877509,6.0,1,288,14,2,0.877509,2.18,3.65,3.45
Ligue_1 2022_161_225_2022-12-28 20:00:00,2022-12-28 20:00:00,False,225,Strasbourg,l,161,Paris Saint Germain,1.1354,10.0,1,509,24,6,0.6165,l,1.1354,2.11764,9.0,2,157,17,10,1.35754,14.47,7.17,1.22
Ligue_1 2022_172_225_2023-01-02 14:00:00,2023-01-02 14:00:00,True,225,Strasbourg,l,172,Troyes,1.15328,17.0,2,266,27,14,1.1868,l,1.15328,1.32781,9.0,3,296,16,5,1.32781,1.87,3.89,4.33
Ligue_1 2022_210_225_2023-01-11 20:00:00,2023-01-11 20:00:00,True,225,Strasbourg,d,210,Lens,1.15467,9.0,2,336,10,4,1.1207,d,1.15467,1.5001,15.0,2,208,33,2,1.5001,3.85,3.64,2.05
Ligue_1 2022_178_225_2023-01-14 20:00:00,2023-01-14 20:00:00,False,225,Strasbourg,w,178,Lyon,1.15481,8.0,2,303,13,0,0.4278999999999999,w,1.15481,2.46849,28.0,1,155,30,15,1.70839,5.49,4.38,1.63
Ligue_1 2022_174_225_2023-01-29 14:00:00,2023-01-29 14:00:00,True,225,Strasbourg,l,174,Toulouse,0.899943,11.0,1,253,25,6,0.5168,l,0.899943,2.05016,10.0,2,290,20,5,2.05016,2.39,3.49,3.17
Ligue_1 2022_163_225_2023-02-01 20:00:00,2023-02-01 20:00:00,False,225,Strasbourg,l,163,Rennes,0.141426,3.0,0,426,18,0,0.304,l,0.141426,1.25645,6.0,3,237,21,2,1.25645,6.29,4.29,1.58
Ligue_1 2022_166_225_2023-02-05 14:00:00,2023-02-05 14:00:00,True,225,Strasbourg,w,166,Montpellier,1.51625,6.0,2,330,14,2,2.1636,w,1.51625,0.613708,11.0,0,138,26,5,0.613708,2.16,3.37,3.82
Ligue_1 2022_160_225_2023-02-12 14:00:00,2023-02-12 14:00:00,False,225,Strasbourg,l,160,Lille,0.174274,5.0,0,483,19,1,0.0165,l,0.174274,3.65427,14.0,2,204,25,12,2.89418,7.57,4.51,1.49
Ligue_1 2022_167_225_2023-02-18 20:00:00,2023-02-18 20:00:00,True,225,Strasbourg,w,167,Angers,1.94958,18.0,2,347,26,5,2.045,w,1.94958,1.04967,10.0,1,171,24,2,0.289572,1.88,3.64,4.58
Ligue_1 2022_225_270_2023-02-26 14:00:00,2023-02-26 14:00:00,False,225,Strasbourg,d,270,Clermont Foot,0.920081,12.0,1,240,61,5,0.6993,d,0.920081,1.74774,11.0,1,181,32,5,1.74774,2.98,3.24,2.65
Ligue_1 2022_225_241_2023-03-05 14:00:00,2023-03-05 14:00:00,True,225,Strasbourg,l,241,Brest,0.983616,17.0,0,125,27,4,1.7188,l,0.983616,0.585063,8.0,1,267,28,1,0.585063,2.02,3.3,4.32
Ligue_1 2022_164_225_2023-03-12 19:45:00,2023-03-12 19:45:00,False,225,Strasbourg,d,164,Marseille,2.2222,24.0,2,157,33,10,1.7403,d,2.2222,1.67973,7.0,2,236,14,0,0.919635,8.26,4.95,1.41
