match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2024_160_177_2024-08-17 17:00:00,2024-08-17 17:00:00,False,160,Lille,w,177,Reims,2.31711,21.0,2,163,35,7,2.8552,w,2.31711,0.0758907,2.0,0,336,16,3,0.0758907,2.27,3.38,3.36
Ligue_1 2024_160_167_2024-08-24 17:00:00,2024-08-24 17:00:00,True,160,Lille,w,167,Angers,1.25796,11.0,2,220,33,9,1.7879,w,1.25796,0.737042,5.0,0,332,21,1,0.737042,1.33,4.72,8.77
Ligue_1 2024_160_161_2024-09-01 18:45:00,2024-09-01 18:45:00,True,160,Lille,l,161,Paris Saint Germain,1.57562,10.0,1,394,24,11,0.3969999999999999,l,1.57562,3.24139,10.0,3,216,12,5,2.48129,4.31,3.74,1.86
Ligue_1 2024_160_175_2024-09-13 18:30:00,2024-09-13 18:30:00,False,160,Lille,l,175,Saint-Etienne,2.73176,17.0,0,152,19,13,2.3887,l,2.73176,1.1774,10.0,1,356,18,3,1.1774,1.72,3.78,5.22
Ligue_1 2024_160_225_2024-09-21 15:00:00,2024-09-21 15:00:00,True,160,Lille,d,225,Strasbourg,2.30213,15.0,3,222,30,8,0.9004000000000001,d,1.54204,3.02005,12.0,3,319,11,4,3.02005,1.74,3.88,4.93
Ligue_1 2024_160_282_2024-09-28 17:00:00,2024-09-28 17:00:00,False,160,Lille,w,282,Le Havre,3.5706,18.0,3,239,24,22,2.9195,w,2.8105,0.488988,7.0,0,384,18,4,0.488988,1.81,3.71,4.7
Ligue_1 2024_160_174_2024-10-05 17:00:00,2024-10-05 17:00:00,True,160,Lille,w,174,Toulouse,1.37754,10.0,2,219,24,5,1.2782,w,1.37754,1.43654,9.0,1,337,30,4,1.43654,1.75,4.02,4.64
Ligue_1 2024_160_171_2024-10-18 18:45:00,2024-10-18 18:45:00,False,160,Lille,d,171,Monaco,0.163769,3.0,0,235,21,2,0.427,d,0.163769,1.1914,14.0,0,251,27,11,1.1914,4.04,3.75,1.94
Ligue_1 2024_160_210_2024-10-26 19:00:00,2024-10-26 19:00:00,False,160,Lille,w,210,Lens,1.47637,11.0,2,231,19,3,1.8836,w,0.716276,0.865293,11.0,0,148,36,6,0.865293,3.18,3.35,2.38
Ligue_1 2024_160_178_2024-11-01 20:00:00,2024-11-01 20:00:00,True,160,Lille,d,178,Lyon,1.67241,14.0,1,247,22,7,1.4204,d,1.67241,1.58011,14.0,1,224,20,11,1.58011,2.25,3.69,3.2
