h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.767575,2.48554,0.767575,2.48554,"{'att': 272, 'def': 23}","{'att': 175, 'def': 22}",1,11,0,4,0.3199,l,2014-08-02 16:00:00,0,0,1,0,-1.717965
h,0.793735,2.19601,0.793735,2.19601,"{'att': 181, 'def': 31}","{'att': 145, 'def': 23}",3,8,0,2,0.4649,l,2014-08-10 16:30:00,0,0,1,0,-1.402275
h,1.25115,0.75607,1.25115,0.75607,"{'att': 129, 'def': 23}","{'att': 247, 'def': 25}",2,6,0,0,1.786,d,2014-08-13 17:00:00,0,1,0,1,0.49507999999999996
h,1.02861,2.68242,1.02861,2.68242,"{'att': 232, 'def': 29}","{'att': 185, 'def': 21}",10,8,1,2,0.3716,l,2014-08-17 13:00:00,0,0,1,0,-1.65381
a,0.588019,1.62482,0.588019,1.62482,"{'att': 259, 'def': 29}","{'att': 206, 'def': 30}",2,11,0,3,0.5145,l,2014-08-22 17:00:00,0,0,1,0,-1.036801
h,0.946525,1.4656,0.19225,1.4656,"{'att': 186, 'def': 34}","{'att': 143, 'def': 40}",2,6,0,1,0.8189,l,2014-08-30 17:00:00,0,0,1,0,-1.27335
a,0.305538,1.81451,0.305538,1.06023,"{'att': 275, 'def': 16}","{'att': 229, 'def': 29}",0,12,1,2,0.2434,l,2014-09-13 10:30:00,0,0,1,0,-0.754692
h,0.482912,0.288387,0.482912,0.288387,"{'att': 90, 'def': 18}","{'att': 146, 'def': 7}",6,0,0,1,1.4319000000000002,l,2014-09-19 17:00:00,0,0,1,0,0.194525
a,0.154675,2.92143,0.154675,2.92143,"{'att': 249, 'def': 18}","{'att': 199, 'def': 29}",1,7,0,3,0.020499999999999997,l,2014-09-28 15:30:00,0,0,1,0,-2.766755
h,0.686991,1.79059,0.686991,1.79059,"{'att': 249, 'def': 26}","{'att': 191, 'def': 20}",1,4,1,1,0.5232,d,2014-10-19 13:30:00,0,1,0,1,-1.103599
a,0.304752,1.17996,0.304752,1.17996,"{'att': 215, 'def': 26}","{'att': 207, 'def': 22}",2,5,0,1,0.5414,l,2014-10-24 14:00:00,0,0,1,0,-0.8752079999999999
a,1.34804,0.486503,0.593765,0.486503,"{'att': 229, 'def': 27}","{'att': 126, 'def': 21}",4,3,1,0,2.2039,w,2014-11-03 11:00:00,1,0,0,3,0.10726199999999997
a,0.82697,2.4349,0.82697,2.4349,"{'att': 330, 'def': 14}","{'att': 195, 'def': 39}",6,4,0,2,0.3865,l,2014-11-09 15:00:00,0,0,1,0,-1.6079299999999999
h,1.80643,0.349176,1.80643,0.349176,"{'att': 185, 'def': 24}","{'att': 161, 'def': 20}",10,6,4,0,2.5515,w,2014-11-23 13:00:00,1,0,0,3,1.457254
h,1.78238,2.00278,1.78238,1.24851,"{'att': 138, 'def': 26}","{'att': 164, 'def': 18}",12,3,1,2,1.1513,l,2014-11-29 10:30:00,0,0,1,0,0.5338700000000001
h,1.03782,1.07088,1.03782,1.07088,"{'att': 79, 'def': 30}","{'att': 125, 'def': 30}",3,3,0,1,1.2589,l,2014-12-02 16:00:00,0,0,1,0,-0.03306000000000009
a,0.824458,0.803914,0.824458,0.803914,"{'att': 192, 'def': 22}","{'att': 223, 'def': 26}",2,0,1,0,1.3247,w,2014-12-08 16:00:00,1,0,0,3,0.020544000000000007
a,0.505787,0.959013,0.505787,0.959013,"{'att': 139, 'def': 16}","{'att': 182, 'def': 27}",4,3,0,1,0.9013,l,2015-03-09 12:30:00,0,0,1,0,-0.453226
a,1.30875,1.57195,1.30875,1.57195,"{'att': 238, 'def': 29}","{'att': 145, 'def': 23}",7,9,1,0,1.1641,w,2015-03-14 16:00:00,1,0,0,3,-0.2631999999999999
h,0.535359,2.14059,0.535359,2.14059,"{'att': 378, 'def': 15}","{'att': 161, 'def': 22}",2,16,1,4,0.2995,l,2015-03-21 11:15:00,0,0,1,0,-1.6052309999999999
h,0.383771,1.24395,0.383771,1.24395,"{'att': 117, 'def': 19}","{'att': 159, 'def': 19}",7,5,1,3,0.5912999999999999,l,2015-04-05 18:15:00,0,0,1,0,-0.8601789999999999
h,0.769816,1.59016,0.769816,1.59016,"{'att': 264, 'def': 24}","{'att': 91, 'def': 30}",9,7,1,0,0.7387,w,2015-04-09 15:45:00,1,0,0,3,-0.8203440000000001
a,0.507546,0.817325,0.507546,0.817325,"{'att': 163, 'def': 37}","{'att': 160, 'def': 32}",5,7,1,0,0.9794,w,2015-04-12 14:00:00,1,0,0,3,-0.3097789999999999
a,0.663975,1.34367,0.663975,1.34367,"{'att': 239, 'def': 22}","{'att': 122, 'def': 32}",3,2,1,0,0.7831,w,2015-04-20 15:00:00,1,0,0,3,-0.6796949999999999
a,0.686248,2.4783,0.686248,2.4783,"{'att': 279, 'def': 35}","{'att': 162, 'def': 24}",3,4,0,1,0.2719,l,2015-04-26 16:30:00,0,0,1,0,-1.792052
h,1.60924,1.85799,0.854963,1.85799,"{'att': 347, 'def': 25}","{'att': 246, 'def': 27}",4,7,0,3,1.2048999999999999,l,2015-05-04 13:30:00,0,0,1,0,-1.003027
a,1.57197,0.887221,1.57197,0.887221,"{'att': 158, 'def': 15}","{'att': 332, 'def': 13}",9,2,0,1,1.9133,l,2015-05-11 14:00:00,0,0,1,0,0.684749
h,0.395528,1.62042,0.395528,1.62042,"{'att': 192, 'def': 21}","{'att': 216, 'def': 22}",4,6,1,1,0.3424,d,2015-05-16 14:30:00,0,1,0,1,-1.224892
a,1.54588,2.39636,1.54588,2.39636,"{'att': 190, 'def': 23}","{'att': 130, 'def': 34}",4,9,2,2,0.8298000000000001,d,2015-05-24 16:30:00,0,1,0,1,-0.8504800000000001
a,1.50552,2.47331,1.50552,2.47331,"{'att': 297, 'def': 19}","{'att': 178, 'def': 32}",3,8,1,5,0.7113,l,2015-05-30 11:30:00,0,0,1,0,-0.9677900000000002
