h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,4.81401,0.600496,3.30546,0.600496,"{'att': 182, 'def': 38}","{'att': 288, 'def': 18}",6,6,7,3,2.9799,w,2014-08-03 13:30:00,1,0,0,3,2.704964
h,0.470186,1.2314,0.470186,1.2314,"{'att': 110, 'def': 25}","{'att': 238, 'def': 24}",5,5,1,2,0.5215000000000001,l,2014-08-10 10:30:00,0,0,1,0,-0.7612140000000001
a,1.15316,1.29986,1.15316,1.29986,"{'att': 131, 'def': 32}","{'att': 182, 'def': 22}",2,1,2,0,1.2036,w,2014-08-13 12:00:00,1,0,0,3,-0.14670000000000005
a,2.68242,1.02861,2.68242,1.02861,"{'att': 185, 'def': 21}","{'att': 232, 'def': 29}",8,10,2,1,2.4818,w,2014-08-17 13:00:00,1,0,0,3,1.65381
h,3.66586,0.220406,3.66586,0.220406,"{'att': 215, 'def': 36}","{'att': 246, 'def': 20}",19,0,2,0,2.9623999999999997,w,2014-08-24 10:30:00,1,0,0,3,3.445454
a,1.1706,0.891462,1.1706,0.891462,"{'att': 190, 'def': 17}","{'att': 169, 'def': 36}",13,7,2,0,1.5598,w,2014-08-31 17:15:00,1,0,0,3,0.2791380000000001
a,0.577028,1.21353,0.577028,1.21353,"{'att': 187, 'def': 30}","{'att': 221, 'def': 24}",3,7,2,3,0.7753,l,2014-09-13 15:30:00,0,0,1,0,-0.636502
a,2.31253,1.24553,2.31253,1.24553,"{'att': 142, 'def': 24}","{'att': 236, 'def': 34}",5,4,3,1,2.1019,w,2014-09-22 17:00:00,1,0,0,3,1.0670000000000002
h,1.76612,1.59429,1.76612,1.59429,"{'att': 233, 'def': 33}","{'att': 215, 'def': 28}",6,4,2,2,1.5166,d,2014-09-28 10:30:00,0,1,0,1,0.17182999999999993
h,0.694359,1.96237,0.694359,1.96237,"{'att': 90, 'def': 18}","{'att': 245, 'def': 24}",5,6,0,2,0.47190000000000004,l,2014-10-27 17:30:00,0,0,1,0,-1.268011
a,1.00497,2.95174,1.00497,2.19746,"{'att': 163, 'def': 28}","{'att': 165, 'def': 20}",4,8,2,4,0.24,l,2014-11-02 10:30:00,0,0,1,0,-1.19249
h,2.43323,0.944489,1.67895,0.944489,"{'att': 234, 'def': 18}","{'att': 239, 'def': 21}",6,5,1,0,2.4512,w,2014-11-09 10:30:00,1,0,0,3,0.7344609999999999
h,1.74321,0.325557,0.988931,0.325557,"{'att': 219, 'def': 23}","{'att': 181, 'def': 25}",5,8,3,0,2.5608,w,2014-11-23 10:30:00,1,0,0,3,0.663374
a,0.486005,1.98625,0.486005,1.98625,"{'att': 149, 'def': 25}","{'att': 279, 'def': 19}",17,9,1,1,0.3165,d,2014-11-30 13:00:00,0,1,0,1,-1.500245
a,0.676822,0.826865,0.676822,0.826865,"{'att': 134, 'def': 25}","{'att': 263, 'def': 19}",6,3,1,0,1.1138,w,2014-12-04 14:45:00,1,0,0,3,-0.15004299999999993
h,1.57249,0.298553,1.57249,0.298553,"{'att': 160, 'def': 29}","{'att': 286, 'def': 18}",6,2,5,0,2.4369,w,2014-12-07 13:00:00,1,0,0,3,1.2739369999999999
h,2.01051,1.2082,2.01051,1.2082,"{'att': 152, 'def': 17}","{'att': 212, 'def': 18}",9,4,3,1,2.0145999999999997,w,2015-03-08 13:00:00,1,0,0,3,0.8023100000000001
a,0.716368,1.44958,0.716368,1.44958,"{'att': 132, 'def': 31}","{'att': 162, 'def': 29}",7,3,0,1,0.7017,l,2015-03-15 10:30:00,0,0,1,0,-0.7332120000000001
h,0.369478,0.428588,0.369478,0.428588,"{'att': 131, 'def': 20}","{'att': 235, 'def': 31}",6,13,0,1,1.1743000000000001,l,2015-03-22 10:30:00,0,0,1,0,-0.05911000000000005
h,1.84654,2.20665,1.09227,0.698102,"{'att': 144, 'def': 42}","{'att': 182, 'def': 21}",12,3,2,2,1.0403,d,2015-04-04 12:15:00,0,1,0,1,0.3941680000000001
