h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.0390915,2.04538,0.0390915,2.04538,"{'att': 206, 'def': 18}","{'att': 181, 'def': 23}",0,7,0,2,0.10350000000000001,l,2014-08-03 16:30:00,0,0,1,0,-2.0062885
a,0.190173,0.360411,0.190173,0.360411,"{'att': 161, 'def': 19}","{'att': 128, 'def': 24}",3,6,1,0,1.0077,w,2014-08-08 15:00:00,1,0,0,3,-0.17023799999999997
h,1.29986,1.15316,1.29986,1.15316,"{'att': 182, 'def': 22}","{'att': 131, 'def': 32}",1,2,0,2,1.4763000000000002,l,2014-08-13 12:00:00,0,0,1,0,0.14670000000000005
a,0.0754628,1.89274,0.0754628,1.13847,"{'att': 384, 'def': 17}","{'att': 157, 'def': 30}",1,14,0,1,0.10969999999999999,l,2014-08-16 17:00:00,0,0,1,0,-1.0630072000000002
h,0.395761,2.35689,0.395761,2.35689,"{'att': 237, 'def': 18}","{'att': 270, 'def': 30}",2,12,1,2,0.16820000000000002,l,2014-08-23 11:00:00,0,0,1,0,-1.961129
a,0.591905,1.7471,0.591905,1.7471,"{'att': 199, 'def': 23}","{'att': 198, 'def': 30}",4,12,1,1,0.4958,d,2014-08-31 13:00:00,0,1,0,1,-1.155195
a,0.284849,2.0646,0.284849,2.0646,"{'att': 314, 'def': 15}","{'att': 118, 'def': 23}",1,17,2,0,0.18309999999999998,w,2014-09-14 16:00:00,1,0,0,3,-1.779751
h,0.486007,2.49365,0.486007,2.49365,"{'att': 226, 'def': 19}","{'att': 172, 'def': 23}",3,6,0,1,0.1797,l,2014-09-20 09:00:00,0,0,1,0,-2.0076430000000003
a,1.22752,0.462631,0.473247,0.462631,"{'att': 210, 'def': 18}","{'att': 213, 'def': 15}",6,1,2,0,2.1319000000000004,w,2014-09-27 13:00:00,1,0,0,3,0.010615999999999959
h,0.775502,0.832131,0.775502,0.832131,"{'att': 194, 'def': 19}","{'att': 68, 'def': 13}",6,5,1,1,1.2588,d,2014-10-20 14:00:00,0,1,0,1,-0.05662899999999993
h,2.29967,3.15643,2.29967,1.64788,"{'att': 299, 'def': 26}","{'att': 96, 'def': 23}",0,12,3,3,0.7025,d,2014-10-26 10:30:00,0,1,0,1,0.6517899999999999
a,0.595448,1.1052,0.595448,1.1052,"{'att': 296, 'def': 32}","{'att': 126, 'def': 24}",1,9,0,1,0.8595999999999999,l,2014-11-03 16:00:00,0,0,1,0,-0.509752
h,0.334536,0.202466,0.334536,0.202466,"{'att': 195, 'def': 21}","{'att': 90, 'def': 18}",2,5,0,0,1.3425,d,2014-11-09 12:00:00,0,1,0,1,0.13207
a,0.418921,0.855049,0.418921,0.855049,"{'att': 235, 'def': 34}","{'att': 124, 'def': 16}",5,7,0,0,0.8925000000000001,d,2014-11-24 16:00:00,0,1,0,1,-0.43612799999999996
a,0.247345,3.31277,0.247345,3.31277,"{'att': 350, 'def': 20}","{'att': 153, 'def': 17}",6,11,0,5,0.042800000000000005,l,2014-11-29 12:45:00,0,0,1,0,-3.065425
a,1.07088,1.03782,1.07088,1.03782,"{'att': 125, 'def': 30}","{'att': 79, 'def': 30}",3,3,1,0,1.3945,w,2014-12-02 16:00:00,1,0,0,3,0.03306000000000009
a,0.850171,1.2908,0.850171,1.2908,"{'att': 290, 'def': 24}","{'att': 96, 'def': 21}",3,11,2,2,0.9730000000000001,d,2014-12-08 14:00:00,0,1,0,1,-0.44062899999999994
a,1.2082,2.01051,1.2082,2.01051,"{'att': 212, 'def': 18}","{'att': 152, 'def': 17}",4,9,1,3,0.7336,l,2015-03-08 13:00:00,0,0,1,0,-0.8023100000000001
h,0.848365,0.957562,0.848365,0.957562,"{'att': 178, 'def': 18}","{'att': 111, 'def': 16}",2,7,1,1,1.2099,d,2015-03-14 10:00:00,0,1,0,1,-0.10919699999999999
h,1.00173,1.3656,1.00173,1.3656,"{'att': 243, 'def': 29}","{'att': 154, 'def': 21}",8,5,0,2,1.0253999999999999,l,2015-03-20 14:00:00,0,0,1,0,-0.3638699999999999
h,0.148117,0.72335,0.148117,0.72335,"{'att': 286, 'def': 33}","{'att': 96, 'def': 30}",1,3,0,1,0.5559000000000001,l,2015-04-05 16:00:00,0,0,1,0,-0.5752330000000001
a,0.502553,1.39655,0.502553,1.39655,"{'att': 174, 'def': 31}","{'att': 97, 'def': 21}",3,12,0,2,0.5314000000000001,l,2015-04-09 18:00:00,0,0,1,0,-0.8939969999999999
h,0.817325,0.507546,0.817325,0.507546,"{'att': 160, 'def': 32}","{'att': 163, 'def': 37}",7,5,0,1,1.6391,l,2015-04-12 14:00:00,0,0,1,0,0.3097789999999999
h,1.65378,0.763692,1.65378,0.763692,"{'att': 232, 'def': 38}","{'att': 85, 'def': 20}",4,2,1,0,2.1774,w,2015-04-18 11:00:00,1,0,0,3,0.890088
