h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.04538,0.0390915,2.04538,0.0390915,"{'att': 181, 'def': 23}","{'att': 206, 'def': 18}",7,0,2,0,2.8047,w,2014-08-03 16:30:00,1,0,0,3,2.0062885
h,2.05495,0.382065,1.30068,0.382065,"{'att': 228, 'def': 35}","{'att': 149, 'def': 21}",2,5,2,2,2.6629000000000005,d,2014-08-08 17:30:00,0,1,0,1,0.9186150000000001
a,0.230331,0.319693,0.230331,0.319693,"{'att': 244, 'def': 14}","{'att': 207, 'def': 28}",4,0,0,0,1.0705,d,2014-08-15 17:00:00,0,1,0,1,-0.089362
h,1.15919,0.316348,1.15919,0.316348,"{'att': 145, 'def': 39}","{'att': 243, 'def': 21}",9,1,1,0,2.2258,w,2014-08-18 18:00:00,1,0,0,3,0.8428419999999999
h,0.797377,1.801,0.797377,1.04673,"{'att': 181, 'def': 32}","{'att': 125, 'def': 21}",4,5,2,1,0.5895,w,2014-08-24 16:30:00,1,0,0,3,-0.24935299999999994
a,1.4656,0.946525,1.4656,0.19225,"{'att': 143, 'def': 40}","{'att': 186, 'def': 34}",6,2,1,0,1.8245,w,2014-08-30 17:00:00,1,0,0,3,1.27335
a,0.129176,0.349373,0.129176,0.349373,"{'att': 300, 'def': 36}","{'att': 116, 'def': 31}",0,3,0,0,0.915,d,2014-09-15 17:00:00,0,1,0,1,-0.22019699999999998
h,0.510216,0.522582,0.510216,0.522582,"{'att': 164, 'def': 22}","{'att': 176, 'def': 26}",6,8,2,1,1.2388,w,2014-09-20 14:00:00,1,0,0,3,-0.012365999999999988
a,1.59429,1.76612,1.59429,1.76612,"{'att': 215, 'def': 28}","{'att': 233, 'def': 33}",4,6,2,2,1.2175,d,2014-09-28 10:30:00,0,1,0,1,-0.17182999999999993
a,0.866784,4.48407,0.866784,4.48407,"{'att': 275, 'def': 27}","{'att': 251, 'def': 23}",4,13,0,6,0.032200000000000006,l,2014-10-18 11:30:00,0,0,1,0,-3.617286
a,0.838109,0.432787,0.838109,0.432787,"{'att': 241, 'def': 29}","{'att': 222, 'def': 38}",9,1,0,0,1.7357999999999998,d,2014-10-25 14:00:00,0,1,0,1,0.405322
h,3.01416,1.92836,2.25989,1.92836,"{'att': 183, 'def': 32}","{'att': 174, 'def': 23}",16,1,3,3,2.1237,d,2014-11-02 16:00:00,0,1,0,1,0.3315299999999999
a,1.95233,0.0668443,1.19806,0.0668443,"{'att': 225, 'def': 50}","{'att': 186, 'def': 18}",9,3,1,0,2.8261,w,2014-11-07 14:00:00,1,0,0,3,1.1312156999999998
a,0.571293,0.69038,0.571293,0.69038,"{'att': 252, 'def': 20}","{'att': 187, 'def': 27}",1,8,0,1,1.1995,l,2014-11-22 16:00:00,0,0,1,0,-0.11908699999999994
