h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.15557,1.15656,2.15557,0.402281,"{'att': 241, 'def': 23}","{'att': 144, 'def': 23}",8,3,3,2,2.2067,w,2014-08-02 13:30:00,1,0,0,3,1.753289
h,0.435517,1.54445,0.435517,0.790171,"{'att': 210, 'def': 27}","{'att': 187, 'def': 22}",3,4,0,1,0.4145,l,2014-08-09 10:30:00,0,0,1,0,-0.35465399999999997
h,0.319693,0.230331,0.319693,0.230331,"{'att': 207, 'def': 28}","{'att': 244, 'def': 14}",0,4,0,0,1.3153,d,2014-08-15 17:00:00,0,1,0,1,0.089362
a,0.172829,0.710709,0.172829,0.710709,"{'att': 281, 'def': 24}","{'att': 180, 'def': 20}",2,4,0,1,0.6943,l,2014-08-18 17:00:00,0,0,1,0,-0.53788
a,0.795556,0.842692,0.795556,0.842692,"{'att': 244, 'def': 18}","{'att': 177, 'def': 27}",1,6,1,2,1.3154,l,2014-08-24 18:30:00,0,0,1,0,-0.047135999999999956
h,1.12186,2.44006,1.12186,2.44006,"{'att': 288, 'def': 17}","{'att': 184, 'def': 32}",5,10,1,0,0.5621,w,2014-08-30 11:00:00,1,0,0,3,-1.3181999999999998
a,0.413487,1.80768,0.413487,1.80768,"{'att': 309, 'def': 21}","{'att': 138, 'def': 31}",2,11,1,1,0.3387,d,2014-09-13 13:00:00,0,1,0,1,-1.394193
a,0.288387,0.482912,0.288387,0.482912,"{'att': 146, 'def': 7}","{'att': 90, 'def': 18}",0,6,1,0,1.0332,w,2014-09-19 17:00:00,1,0,0,3,-0.194525
h,0.462631,1.22752,0.462631,0.473247,"{'att': 213, 'def': 15}","{'att': 210, 'def': 18}",1,6,0,2,0.5896,l,2014-09-27 13:00:00,0,0,1,0,-0.010615999999999959
a,0.151665,3.01519,0.151665,2.26091,"{'att': 221, 'def': 28}","{'att': 207, 'def': 33}",0,8,0,5,0.0426,l,2014-10-20 16:30:00,0,0,1,0,-2.109245
a,0.651493,3.18505,0.651493,3.18505,"{'att': 388, 'def': 19}","{'att': 157, 'def': 29}",0,11,0,5,0.1,l,2014-10-26 16:00:00,0,0,1,0,-2.533557
h,1.27157,0.585072,0.517298,0.585072,"{'att': 186, 'def': 33}","{'att': 190, 'def': 27}",0,5,2,1,2.0484,w,2014-11-02 13:30:00,1,0,0,3,-0.067774
a,1.38045,0.525769,1.38045,0.525769,"{'att': 243, 'def': 18}","{'att': 183, 'def': 25}",3,3,1,0,2.1635999999999997,w,2014-11-08 10:00:00,1,0,0,3,0.8546809999999999
a,1.54142,2.16596,0.787145,2.16596,"{'att': 246, 'def': 17}","{'att': 194, 'def': 20}",2,9,2,4,0.7949999999999999,l,2014-11-23 15:30:00,0,0,1,0,-1.3788150000000001
h,0.519468,0.530753,0.519468,0.530753,"{'att': 343, 'def': 25}","{'att': 132, 'def': 36}",2,4,1,0,1.2576,w,2014-11-29 15:00:00,1,0,0,3,-0.01128499999999999
h,0.826865,0.676822,0.826865,0.676822,"{'att': 263, 'def': 19}","{'att': 134, 'def': 25}",3,6,0,1,1.5160999999999998,l,2014-12-04 14:45:00,0,0,1,0,0.15004299999999993
h,0.160882,0.934935,0.160882,0.934935,"{'att': 212, 'def': 19}","{'att': 157, 'def': 24}",4,9,0,1,0.5341,l,2014-12-08 14:00:00,0,0,1,0,-0.774053
a,0.172119,2.0947,0.172119,2.0947,"{'att': 278, 'def': 20}","{'att': 109, 'def': 22}",2,9,0,0,0.15689999999999998,d,2015-03-09 15:00:00,0,1,0,1,-1.922581
a,0.204032,1.68616,0.204032,1.68616,"{'att': 292, 'def': 15}","{'att': 179, 'def': 29}",0,18,0,4,0.2629,l,2015-03-14 13:00:00,0,0,1,0,-1.4821280000000001
h,0.477091,1.0462,0.477091,1.0462,"{'att': 295, 'def': 22}","{'att': 121, 'def': 30}",9,3,0,0,0.7898000000000001,d,2015-03-22 13:00:00,0,1,0,1,-0.5691090000000001
a,0.270059,3.81833,0.270059,3.06406,"{'att': 391, 'def': 35}","{'att': 166, 'def': 29}",2,22,0,4,0.015799999999999998,l,2015-04-04 14:45:00,0,0,1,0,-2.794001
h,0.980735,0.710213,0.226459,0.710213,"{'att': 223, 'def': 27}","{'att': 113, 'def': 25}",0,7,1,0,1.6531,w,2015-04-07 15:45:00,1,0,0,3,-0.483754
a,1.0406,2.08621,1.0406,2.08621,"{'att': 299, 'def': 26}","{'att': 174, 'def': 32}",5,4,1,2,0.5653999999999999,l,2015-04-12 16:30:00,0,0,1,0,-1.04561
