h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.132366,0.839486,0.132366,0.839486,"{'att': 333, 'def': 15}","{'att': 131, 'def': 35}",2,12,0,1,0.5690999999999999,l,2015-07-20 18:00:00,0,0,1,0,-0.70712
a,1.9802,0.942313,1.22593,0.942313,"{'att': 195, 'def': 30}","{'att': 120, 'def': 26}",5,13,2,0,2.2580999999999998,w,2015-07-26 18:00:00,1,0,0,3,0.283617
h,0.889031,0.387141,0.889031,0.387141,"{'att': 226, 'def': 24}","{'att': 202, 'def': 27}",1,3,1,0,1.8693,w,2015-08-01 15:00:00,1,0,0,3,0.50189
a,0.240928,1.64321,0.240928,0.888939,"{'att': 394, 'def': 21}","{'att': 214, 'def': 25}",4,10,0,2,0.2558,l,2015-08-09 14:30:00,0,0,1,0,-0.648011
h,0.412044,1.5378,0.412044,1.5378,"{'att': 190, 'def': 34}","{'att': 225, 'def': 27}",2,4,1,1,0.441,d,2015-08-14 18:00:00,0,1,0,1,-1.125756
h,0.564029,1.81343,0.564029,1.81343,"{'att': 283, 'def': 22}","{'att': 172, 'def': 29}",5,12,1,3,0.4105,l,2015-08-22 16:00:00,0,0,1,0,-1.2494010000000002
a,0.110455,1.92461,0.110455,1.92461,"{'att': 292, 'def': 30}","{'att': 137, 'def': 32}",0,6,0,1,0.1502,l,2015-08-28 21:00:00,0,0,1,0,-1.814155
h,0.693941,1.04268,0.693941,1.04268,"{'att': 176, 'def': 29}","{'att': 178, 'def': 28}",1,4,1,1,0.9445,d,2015-09-12 17:30:00,0,1,0,1,-0.348739
a,0.820751,2.18703,0.820751,1.43275,"{'att': 316, 'def': 23}","{'att': 175, 'def': 20}",3,4,1,1,0.39749999999999996,d,2015-09-20 18:00:00,0,1,0,1,-0.611999
h,1.09586,1.27513,0.341589,1.27513,"{'att': 155, 'def': 15}","{'att': 245, 'def': 13}",0,3,2,1,1.1857,w,2015-09-28 17:30:00,1,0,0,3,-0.9335410000000002
a,0.607931,2.97822,0.607931,2.97822,"{'att': 290, 'def': 35}","{'att': 238, 'def': 32}",1,6,0,3,0.0731,l,2015-10-04 20:00:00,0,0,1,0,-2.3702889999999996
h,1.70443,1.10448,1.70443,0.350209,"{'att': 172, 'def': 24}","{'att': 168, 'def': 28}",5,2,1,1,1.8804000000000003,d,2015-10-17 17:30:00,0,1,0,1,1.354221
a,0.86786,2.2082,0.86786,1.45393,"{'att': 200, 'def': 28}","{'att': 179, 'def': 34}",6,12,1,3,0.4129,l,2015-10-24 13:00:00,0,0,1,0,-0.58607
h,0.949338,0.479875,0.949338,0.479875,"{'att': 335, 'def': 24}","{'att': 130, 'def': 31}",5,10,1,0,1.8661999999999999,w,2015-11-02 18:00:00,1,0,0,3,0.469463
a,0.775718,1.03753,0.775718,1.03753,"{'att': 150, 'def': 22}","{'att': 146, 'def': 21}",6,2,1,2,1.0542,l,2015-11-07 17:15:00,0,0,1,0,-0.26181200000000004
h,1.29091,2.34004,1.29091,0.831486,"{'att': 145, 'def': 34}","{'att': 205, 'def': 20}",15,6,1,2,0.5684,l,2015-11-21 13:00:00,0,0,1,0,0.45942400000000005
a,0.371079,0.426522,0.371079,0.426522,"{'att': 156, 'def': 24}","{'att': 101, 'def': 30}",5,3,0,0,1.1616,d,2015-11-28 16:00:00,0,1,0,1,-0.05544300000000002
h,1.23961,1.81261,1.23961,1.81261,"{'att': 294, 'def': 22}","{'att': 156, 'def': 27}",5,24,2,0,0.9188000000000001,w,2015-12-03 18:00:00,1,0,0,3,-0.573
a,0.899186,0.304827,0.899186,0.304827,"{'att': 278, 'def': 41}","{'att': 145, 'def': 35}",1,3,1,0,2.1656999999999997,w,2016-03-07 18:00:00,1,0,0,3,0.5943590000000001
a,0.775247,2.69823,0.775247,1.94395,"{'att': 289, 'def': 27}","{'att': 83, 'def': 19}",5,4,1,2,0.2153,l,2016-03-12 18:00:00,0,0,1,0,-1.168703
h,1.02608,0.40198,1.02608,0.40198,"{'att': 189, 'def': 15}","{'att': 180, 'def': 15}",4,9,0,0,2.0563000000000002,d,2016-03-18 18:00:00,0,1,0,1,0.6241000000000001
a,2.51749,1.3367,2.51749,0.582421,"{'att': 131, 'def': 29}","{'att': 135, 'def': 30}",7,5,1,1,2.2060999999999997,d,2016-04-02 18:00:00,0,1,0,1,1.935069
h,0.748996,1.81325,0.748996,1.81325,"{'att': 226, 'def': 25}","{'att': 134, 'def': 24}",2,6,0,2,0.3919,l,2016-04-09 15:30:00,0,0,1,0,-1.064254
a,0.382738,0.927642,0.382738,0.927642,"{'att': 197, 'def': 21}","{'att': 166, 'def': 27}",4,9,1,1,0.7853000000000001,d,2016-04-15 20:00:00,0,1,0,1,-0.5449039999999999
h,0.872214,0.615116,0.872214,0.615116,"{'att': 170, 'def': 18}","{'att': 232, 'def': 25}",5,5,0,1,1.5593000000000001,l,2016-04-24 13:00:00,0,0,1,0,0.25709800000000005
a,0.3448,0.257501,0.3448,0.257501,"{'att': 191, 'def': 28}","{'att': 230, 'def': 40}",4,6,0,0,1.302,d,2016-04-29 20:00:00,0,1,0,1,0.08729900000000002
h,0.689845,0.663243,0.689845,0.663243,"{'att': 239, 'def': 25}","{'att': 248, 'def': 25}",10,3,1,1,1.2561,d,2016-05-08 15:30:00,0,1,0,1,0.026602000000000015
a,0.171272,0.860467,0.171272,0.860467,"{'att': 340, 'def': 34}","{'att': 191, 'def': 20}",2,2,0,2,0.5015000000000001,l,2016-05-12 20:00:00,0,0,1,0,-0.689195
h,0.367869,0.170513,0.367869,0.170513,"{'att': 133, 'def': 30}","{'att': 247, 'def': 26}",3,0,1,0,1.4577,w,2016-05-16 18:00:00,1,0,0,3,0.197356
a,0.132987,0.888159,0.132987,0.888159,"{'att': 333, 'def': 23}","{'att': 136, 'def': 23}",3,13,0,1,0.5245,l,2016-05-21 14:30:00,0,0,1,0,-0.7551720000000001
