h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.15657,1.11666,0.15657,1.11666,"{'att': 338, 'def': 19}","{'att': 157, 'def': 23}",0,7,0,0,0.45940000000000003,d,2016-07-30 18:30:00,0,1,0,1,-0.96009
h,2.63734,0.499815,1.12879,0.499815,"{'att': 185, 'def': 30}","{'att': 311, 'def': 27}",1,5,2,2,2.7918,d,2016-08-07 20:00:00,0,1,0,1,0.628975
a,0.356966,1.13773,0.356966,1.13773,"{'att': 238, 'def': 12}","{'att': 312, 'def': 12}",5,0,1,1,0.5858000000000001,d,2016-08-14 21:30:00,0,1,0,1,-0.7807639999999999
h,1.52731,1.03253,0.773036,1.03253,"{'att': 180, 'def': 19}","{'att': 333, 'def': 14}",12,4,0,0,1.7918,d,2016-08-21 21:30:00,0,1,0,1,-0.259494
a,1.563,1.22349,0.808723,0.469212,"{'att': 166, 'def': 21}","{'att': 131, 'def': 27}",9,7,2,1,1.6478,w,2016-08-28 20:15:00,1,0,0,3,0.33951099999999995
a,0.552429,0.694676,0.552429,0.694676,"{'att': 134, 'def': 20}","{'att': 184, 'def': 27}",3,5,0,1,1.1652,l,2016-09-11 17:30:00,0,0,1,0,-0.142247
h,1.44242,0.117698,0.688147,0.117698,"{'att': 130, 'def': 21}","{'att': 232, 'def': 22}",8,0,0,1,2.641,l,2016-09-17 20:00:00,0,0,1,0,0.570449
a,0.42648,0.392838,0.42648,0.392838,"{'att': 168, 'def': 22}","{'att': 243, 'def': 16}",3,2,0,1,1.2663,l,2016-09-24 22:30:00,0,0,1,0,0.033642000000000005
h,1.93332,0.588261,1.17904,0.588261,"{'att': 106, 'def': 26}","{'att': 266, 'def': 11}",9,2,1,1,2.4511000000000003,d,2016-10-01 18:00:00,0,1,0,1,0.590779
a,0.148185,0.572211,0.148185,0.572211,"{'att': 265, 'def': 16}","{'att': 219, 'def': 20}",4,3,0,0,0.7702,d,2016-10-15 15:30:00,0,1,0,1,-0.424026
h,0.412503,0.663457,0.412503,0.663457,"{'att': 233, 'def': 18}","{'att': 149, 'def': 28}",5,12,1,0,1.0344,w,2016-10-23 17:30:00,1,0,0,3,-0.25095399999999995
a,0.927407,0.936674,0.927407,0.936674,"{'att': 239, 'def': 19}","{'att': 214, 'def': 27}",5,2,0,2,1.3096,l,2016-10-31 20:30:00,0,0,1,0,-0.009267000000000025
h,2.37717,0.542057,1.6229,0.542057,"{'att': 305, 'def': 17}","{'att': 297, 'def': 20}",7,5,4,0,2.7051000000000003,w,2016-11-05 19:30:00,1,0,0,3,1.080843
a,0.595465,0.193962,0.595465,0.193962,"{'att': 208, 'def': 24}","{'att': 319, 'def': 30}",4,5,1,1,1.743,d,2016-11-19 15:30:00,0,1,0,1,0.40150300000000005
h,0.790285,0.0842728,0.790285,0.0842728,"{'att': 143, 'def': 33}","{'att': 229, 'def': 21}",16,2,1,1,2.0304,d,2016-11-26 18:00:00,0,1,0,1,0.7060122
a,1.85693,0.501302,1.85693,0.501302,"{'att': 113, 'def': 28}","{'att': 231, 'def': 21}",13,2,6,1,2.4039,w,2016-12-01 20:30:00,1,0,0,3,1.3556279999999998
h,0.225896,0.202616,0.225896,0.202616,"{'att': 227, 'def': 37}","{'att': 221, 'def': 32}",2,2,2,0,1.1789,w,2016-12-04 17:00:00,1,0,0,3,0.023280000000000023
a,2.01964,0.522494,2.01964,0.522494,"{'att': 244, 'def': 17}","{'att': 297, 'def': 18}",10,3,3,0,2.4401,w,2017-03-05 11:00:00,1,0,0,3,1.4971459999999999
h,1.21144,1.14356,1.21144,1.14356,"{'att': 322, 'def': 37}","{'att': 166, 'def': 16}",17,7,1,2,1.3553,l,2017-03-13 16:30:00,0,0,1,0,0.06788000000000016
h,0.346391,0.633868,0.346391,0.633868,"{'att': 303, 'def': 25}","{'att': 155, 'def': 29}",3,10,1,1,0.9188000000000001,d,2017-03-18 13:30:00,0,1,0,1,-0.287477
a,1.02685,0.12483,1.02685,0.12483,"{'att': 309, 'def': 14}","{'att': 169, 'def': 28}",11,2,1,0,2.2363,w,2017-04-01 13:00:00,1,0,0,3,0.90202
h,0.155127,0.422314,0.155127,0.422314,"{'att': 270, 'def': 16}","{'att': 230, 'def': 29}",4,2,0,0,0.871,d,2017-04-09 17:00:00,0,1,0,1,-0.26718700000000006
a,2.5845,0.327285,1.83022,0.327285,"{'att': 150, 'def': 27}","{'att': 260, 'def': 15}",18,4,3,0,2.8133000000000004,w,2017-04-16 15:30:00,1,0,0,3,1.502935
h,2.03882,1.16428,1.28454,0.410004,"{'att': 168, 'def': 21}","{'att': 182, 'def': 16}",15,4,3,3,2.0647,d,2017-04-22 14:30:00,0,1,0,1,0.874536
a,0.607334,0.997985,0.607334,0.997985,"{'att': 201, 'def': 23}","{'att': 259, 'def': 21}",1,5,0,4,1.0027,l,2017-04-26 17:30:00,0,0,1,0,-0.39065099999999997
h,1.97202,0.971388,1.97202,0.971388,"{'att': 171, 'def': 21}","{'att': 189, 'def': 19}",11,2,0,1,2.2207000000000003,l,2017-04-29 14:30:00,0,0,1,0,1.000632
a,0.514887,0.476421,0.514887,0.476421,"{'att': 130, 'def': 25}","{'att': 233, 'def': 27}",8,5,0,0,1.3005,d,2017-05-08 15:00:00,0,1,0,1,0.038466
h,1.91097,0.675743,1.91097,0.675743,"{'att': 183, 'def': 27}","{'att': 235, 'def': 27}",10,5,4,0,2.3099000000000003,w,2017-05-13 17:30:00,1,0,0,3,1.235227
a,1.35347,1.32649,0.599198,1.32649,"{'att': 237, 'def': 25}","{'att': 151, 'def': 13}",2,12,2,1,1.3506999999999998,w,2017-05-17 15:30:00,1,0,0,3,-0.7272919999999999
h,0.538273,1.01892,0.538273,1.01892,"{'att': 244, 'def': 20}","{'att': 171, 'def': 16}",11,5,0,2,0.8398,l,2017-05-21 13:00:00,0,0,1,0,-0.48064700000000005
