h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.617985,1.32449,0.617985,1.32449,"{'att': 309, 'def': 28}","{'att': 147, 'def': 25}",2,5,1,2,0.7439,l,2017-07-16 15:30:00,0,0,1,0,-0.7065049999999999
a,0.582228,1.21907,0.582228,1.21907,"{'att': 340, 'def': 19}","{'att': 116, 'def': 23}",6,4,1,2,0.6908000000000001,l,2017-07-22 15:30:00,0,0,1,0,-0.6368420000000001
h,1.70019,0.816105,0.945918,0.816105,"{'att': 159, 'def': 24}","{'att': 189, 'def': 11}",4,4,2,1,2.1343,w,2017-07-29 15:30:00,1,0,0,3,0.12981300000000007
a,1.30047,1.01213,1.30047,1.01213,"{'att': 249, 'def': 13}","{'att': 114, 'def': 24}",4,21,2,1,1.6252,w,2017-08-06 15:30:00,1,0,0,3,0.28834000000000004
h,1.16512,0.669892,0.410845,0.669892,"{'att': 256, 'def': 14}","{'att': 233, 'def': 19}",8,8,1,1,1.8780999999999999,d,2017-08-09 18:00:00,0,1,0,1,-0.259047
a,0.817477,0.265854,0.817477,0.265854,"{'att': 178, 'def': 28}","{'att': 232, 'def': 15}",6,2,1,1,1.8817,d,2017-08-13 09:00:00,0,1,0,1,0.551623
h,0.672563,0.0831628,0.672563,0.0831628,"{'att': 223, 'def': 24}","{'att': 282, 'def': 14}",11,3,6,0,1.8902999999999999,w,2017-08-19 18:00:00,1,0,0,3,0.5894002
h,0.21177,0.705549,0.21177,0.705549,"{'att': 152, 'def': 20}","{'att': 174, 'def': 9}",1,7,1,0,0.6912,w,2017-08-26 15:30:00,1,0,0,3,-0.49377899999999997
a,0.403312,1.03379,0.403312,1.03379,"{'att': 231, 'def': 28}","{'att': 191, 'def': 14}",4,2,0,1,0.7179,l,2017-09-09 17:00:00,0,0,1,0,-0.630478
h,1.11941,0.27661,1.11941,0.27661,"{'att': 254, 'def': 33}","{'att': 172, 'def': 14}",3,1,0,1,2.0974,l,2017-09-17 14:30:00,0,0,1,0,0.8428
a,0.355345,1.55391,0.355345,1.55391,"{'att': 189, 'def': 32}","{'att': 181, 'def': 18}",5,10,0,1,0.35509999999999997,l,2017-09-25 17:30:00,0,0,1,0,-1.1985649999999999
h,0.631091,0.159569,0.631091,0.159569,"{'att': 152, 'def': 26}","{'att': 276, 'def': 13}",11,2,0,1,1.7653999999999999,l,2017-09-30 14:30:00,0,0,1,0,0.471522
a,0.637878,1.69093,0.637878,0.936653,"{'att': 214, 'def': 23}","{'att': 203, 'def': 19}",3,3,1,0,0.4305,w,2017-10-15 14:30:00,1,0,0,3,-0.298775
h,2.06915,0.0692083,2.06915,0.0692083,"{'att': 154, 'def': 19}","{'att': 290, 'def': 13}",6,1,0,0,2.8237,d,2017-10-21 14:30:00,0,1,0,1,1.9999417
a,0.715817,1.20075,0.715817,1.20075,"{'att': 273, 'def': 17}","{'att': 168, 'def': 21}",3,7,1,2,0.8853,l,2017-10-30 14:00:00,0,0,1,0,-0.48493299999999995
h,0.376661,1.13501,0.376661,1.13501,"{'att': 214, 'def': 33}","{'att': 232, 'def': 20}",5,5,0,0,0.6685,d,2017-11-05 16:00:00,0,1,0,1,-0.758349
a,0.970025,0.180377,0.970025,0.180377,"{'att': 173, 'def': 22}","{'att': 346, 'def': 21}",5,1,0,0,2.2207,d,2017-11-18 16:00:00,0,1,0,1,0.789648
h,0.214594,1.52604,0.214594,0.771762,"{'att': 208, 'def': 21}","{'att': 290, 'def': 22}",1,7,0,1,0.2552,l,2017-11-26 11:00:00,0,0,1,0,-0.5571679999999999
a,0.87875,0.708148,0.87875,0.708148,"{'att': 240, 'def': 23}","{'att': 182, 'def': 16}",8,2,0,1,1.4577,l,2017-12-02 13:30:00,0,0,1,0,0.17060200000000003
h,2.12075,0.167899,2.12075,0.167899,"{'att': 188, 'def': 22}","{'att': 235, 'def': 15}",21,0,3,1,2.7192,w,2017-12-09 13:30:00,1,0,0,3,1.9528510000000001
a,0.522658,0.773837,0.522658,0.773837,"{'att': 232, 'def': 36}","{'att': 212, 'def': 24}",6,0,1,1,1.069,d,2018-03-02 16:30:00,0,1,0,1,-0.25117900000000004
a,0.46886,0.953314,0.46886,0.953314,"{'att': 145, 'def': 28}","{'att': 383, 'def': 12}",10,1,1,0,0.8666,w,2018-03-10 16:00:00,1,0,0,3,-0.484454
h,0.822052,1.58693,0.822052,1.58693,"{'att': 182, 'def': 26}","{'att': 253, 'def': 30}",6,6,1,2,0.6693,l,2018-03-17 16:00:00,0,0,1,0,-0.764878
a,0.739727,0.994736,0.739727,0.240461,"{'att': 259, 'def': 25}","{'att': 260, 'def': 24}",1,3,1,1,0.9844999999999999,d,2018-04-01 12:00:00,0,1,0,1,0.499266
h,2.31027,0.926454,2.31027,0.926454,"{'att': 193, 'def': 28}","{'att': 353, 'def': 12}",7,1,3,2,2.5433,w,2018-04-07 11:00:00,1,0,0,3,1.383816
a,2.37795,0.704429,2.37795,0.704429,"{'att': 162, 'def': 20}","{'att': 338, 'def': 21}",9,4,3,0,2.5348,w,2018-04-14 08:30:00,1,0,0,3,1.6735209999999998
h,0.649526,0.601228,0.649526,0.601228,"{'att': 171, 'def': 18}","{'att': 413, 'def': 21}",9,2,1,1,1.3198,d,2018-04-21 13:30:00,0,1,0,1,0.04829800000000006
a,0.190462,0.405947,0.190462,0.405947,"{'att': 219, 'def': 33}","{'att': 351, 'def': 18}",7,1,0,0,0.9415,d,2018-04-30 11:00:00,0,1,0,1,-0.215485
h,1.14133,0.477245,1.14133,0.477245,"{'att': 220, 'def': 21}","{'att': 315, 'def': 19}",13,2,0,0,1.9346,d,2018-05-07 17:30:00,0,1,0,1,0.664085
a,1.46312,1.51689,1.46312,1.51689,"{'att': 312, 'def': 24}","{'att': 219, 'def': 19}",3,14,1,1,1.3357999999999999,d,2018-05-13 12:00:00,0,1,0,1,-0.053770000000000095
