h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.38915,0.687438,1.38915,0.687438,"{'att': 169, 'def': 35}","{'att': 255, 'def': 12}",5,4,2,0,2.0128,w,2017-07-16 09:00:00,1,0,0,3,0.7017120000000001
h,1.21907,0.582228,1.21907,0.582228,"{'att': 116, 'def': 23}","{'att': 340, 'def': 19}",4,6,2,1,2.0174,w,2017-07-22 15:30:00,1,0,0,3,0.6368420000000001
a,1.29915,0.466301,1.29915,0.466301,"{'att': 166, 'def': 28}","{'att': 251, 'def': 29}",7,4,1,0,2.1068000000000002,w,2017-07-30 18:00:00,1,0,0,3,0.832849
h,1.88397,1.4037,1.88397,0.64942,"{'att': 223, 'def': 17}","{'att': 178, 'def': 23}",6,4,5,1,1.7449000000000001,w,2017-08-06 18:00:00,1,0,0,3,1.23455
a,1.71772,0.853844,1.71772,0.853844,"{'att': 161, 'def': 19}","{'att': 249, 'def': 17}",9,4,1,1,2.0234,d,2017-08-09 15:30:00,0,1,0,1,0.8638759999999999
h,2.78292,0.371865,2.78292,0.371865,"{'att': 283, 'def': 25}","{'att': 342, 'def': 15}",7,2,4,0,2.8507000000000002,w,2017-08-13 18:00:00,1,0,0,3,2.4110549999999997
a,1.24726,0.628388,1.24726,0.628388,"{'att': 99, 'def': 25}","{'att': 306, 'def': 14}",6,5,1,0,1.8983,w,2017-08-20 13:00:00,1,0,0,3,0.6188720000000001
h,0.578801,0.247847,0.578801,0.247847,"{'att': 176, 'def': 18}","{'att': 416, 'def': 25}",11,6,0,0,1.6179999999999999,d,2017-08-27 18:00:00,0,1,0,1,0.33095399999999997
a,0.463515,0.804521,0.463515,0.804521,"{'att': 89, 'def': 21}","{'att': 304, 'def': 18}",8,2,0,0,0.8546,d,2017-09-10 12:00:00,0,1,0,1,-0.34100600000000003
h,3.75584,0.14644,3.00157,0.14644,"{'att': 171, 'def': 22}","{'att': 277, 'def': 28}",21,2,3,0,2.974,w,2017-09-18 18:00:00,1,0,0,3,2.85513
a,0.895968,0.66364,0.895968,0.66364,"{'att': 275, 'def': 19}","{'att': 170, 'def': 25}",2,5,2,0,1.5285000000000002,w,2017-09-24 17:00:00,1,0,0,3,0.23232799999999998
a,1.91064,1.00591,1.91064,1.00591,"{'att': 88, 'def': 24}","{'att': 333, 'def': 18}",11,4,2,2,2.0459,d,2017-10-01 17:00:00,0,1,0,1,0.9047299999999998
h,0.675777,0.413664,0.675777,0.413664,"{'att': 174, 'def': 13}","{'att': 287, 'def': 15}",5,0,0,1,1.5339,l,2017-10-15 17:00:00,0,0,1,0,0.262113
a,0.89751,0.622711,0.89751,0.622711,"{'att': 178, 'def': 27}","{'att': 207, 'def': 27}",4,7,0,0,1.5768,d,2017-10-22 14:30:00,0,1,0,1,0.274799
h,1.63683,1.82005,1.63683,1.82005,"{'att': 175, 'def': 24}","{'att': 335, 'def': 14}",14,3,0,3,1.2303,l,2017-10-29 13:30:00,0,0,1,0,-0.18321999999999994
a,1.13501,0.376661,1.13501,0.376661,"{'att': 232, 'def': 20}","{'att': 214, 'def': 33}",5,5,0,0,2.0179,d,2017-11-05 16:00:00,0,1,0,1,0.758349
h,2.15872,0.29077,1.40444,0.29077,"{'att': 119, 'def': 12}","{'att': 290, 'def': 15}",10,1,5,0,2.7404,w,2017-11-19 16:00:00,1,0,0,3,1.11367
a,0.607375,1.12452,0.607375,1.12452,"{'att': 206, 'def': 17}","{'att': 241, 'def': 25}",8,6,1,3,0.8221,l,2017-11-27 16:30:00,0,0,1,0,-0.517145
h,2.40898,0.365397,2.40898,0.365397,"{'att': 245, 'def': 29}","{'att': 246, 'def': 9}",7,3,2,1,2.7363,w,2017-12-02 11:00:00,1,0,0,3,2.043583
a,2.49981,0.906493,2.49981,0.906493,"{'att': 141, 'def': 23}","{'att': 190, 'def': 20}",4,5,0,0,2.5391,d,2017-12-11 16:30:00,0,1,0,1,1.593317
h,0.639251,0.115535,0.639251,0.115535,"{'att': 108, 'def': 17}","{'att': 257, 'def': 23}",8,3,0,0,1.828,d,2018-03-03 13:30:00,0,1,0,1,0.5237160000000001
a,0.296925,0.566749,0.296925,0.566749,"{'att': 109, 'def': 10}","{'att': 177, 'def': 18}",3,5,0,0,0.9315,d,2018-03-11 11:00:00,0,1,0,1,-0.26982399999999995
a,0.977058,1.03463,0.977058,1.03463,"{'att': 242, 'def': 18}","{'att': 124, 'def': 18}",7,4,2,1,1.2826,w,2018-04-01 14:30:00,1,0,0,3,-0.05757199999999996
h,1.09638,0.387449,1.09638,0.387449,"{'att': 276, 'def': 15}","{'att': 204, 'def': 14}",8,9,1,2,1.9734999999999998,l,2018-04-07 13:30:00,0,0,1,0,0.708931
h,2.19696,0.275663,2.19696,0.275663,"{'att': 125, 'def': 25}","{'att': 257, 'def': 24}",8,3,1,0,2.7551,w,2018-04-14 13:30:00,1,0,0,3,1.9212969999999998
h,1.64953,0.366021,0.895253,0.366021,"{'att': 219, 'def': 19}","{'att': 224, 'def': 15}",8,6,2,1,2.5325999999999995,w,2018-04-18 16:30:00,1,0,0,3,0.5292319999999999
a,1.6953,1.75493,1.6953,1.75493,"{'att': 139, 'def': 17}","{'att': 162, 'def': 23}",12,6,3,3,1.2874,d,2018-04-22 11:00:00,0,1,0,1,-0.05963000000000007
h,1.87923,0.514121,1.87923,0.514121,"{'att': 176, 'def': 20}","{'att': 217, 'def': 25}",4,10,0,0,2.3939,d,2018-04-29 13:30:00,0,1,0,1,1.365109
a,0.161738,0.794572,0.161738,0.794572,"{'att': 133, 'def': 31}","{'att': 216, 'def': 19}",2,8,0,1,0.5155000000000001,l,2018-05-05 14:30:00,0,0,1,0,-0.6328339999999999
h,4.18534,0.210376,4.18534,0.210376,"{'att': 141, 'def': 22}","{'att': 270, 'def': 12}",13,3,6,0,2.9936,w,2018-05-13 12:00:00,1,0,0,3,3.974964
