h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.39546,0.358334,1.39546,0.358334,"{'att': 250, 'def': 24}","{'att': 246, 'def': 23}",10,3,0,0,2.2392999999999996,d,2018-07-31 19:00:00,0,1,0,1,1.037126
h,0.825341,0.461691,0.825341,0.461691,"{'att': 157, 'def': 25}","{'att': 252, 'def': 24}",13,3,0,1,1.6891999999999998,l,2018-08-05 19:00:00,0,0,1,0,0.36365
a,1.06383,0.843862,0.309557,0.843862,"{'att': 194, 'def': 13}","{'att': 158, 'def': 16}",4,5,1,1,1.5886,d,2018-08-11 16:30:00,0,1,0,1,-0.534305
h,1.98044,0.226771,1.98044,0.226771,"{'att': 171, 'def': 29}","{'att': 159, 'def': 36}",9,2,3,0,2.6514,w,2018-08-18 16:30:00,1,0,0,3,1.753669
a,0.749459,1.28939,0.749459,1.28939,"{'att': 166, 'def': 25}","{'att': 274, 'def': 14}",7,8,1,1,0.861,d,2018-08-25 16:30:00,0,1,0,1,-0.539931
h,2.814,1.40163,2.814,0.647353,"{'att': 214, 'def': 15}","{'att': 233, 'def': 13}",8,4,4,0,2.2863999999999995,w,2018-09-01 13:30:00,1,0,0,3,2.166647
a,1.34593,0.46627,1.34593,0.46627,"{'att': 260, 'def': 7}","{'att': 242, 'def': 30}",5,8,3,0,2.1274,w,2018-09-15 13:30:00,1,0,0,3,0.8796600000000001
h,0.823241,0.797273,0.823241,0.797273,"{'att': 183, 'def': 27}","{'att': 172, 'def': 11}",11,4,1,1,1.3034000000000001,d,2018-09-23 16:00:00,0,1,0,1,0.02596799999999999
a,1.91319,0.727684,1.15891,0.727684,"{'att': 155, 'def': 21}","{'att': 240, 'def': 23}",10,9,1,0,2.3332,w,2018-09-28 14:30:00,1,0,0,3,0.4312260000000001
h,0.600398,1.02269,0.600398,1.02269,"{'att': 158, 'def': 27}","{'att': 303, 'def': 22}",14,5,0,1,0.9019999999999999,l,2018-10-07 16:00:00,0,0,1,0,-0.4222920000000001
a,1.38446,0.257891,1.38446,0.257891,"{'att': 256, 'def': 34}","{'att': 407, 'def': 19}",11,2,2,0,2.4957,w,2018-10-19 15:00:00,1,0,0,3,1.126569
h,0.823676,1.77336,0.823676,1.77336,"{'att': 215, 'def': 27}","{'att': 191, 'def': 32}",12,13,1,2,0.6423000000000001,l,2018-10-28 15:00:00,0,0,1,0,-0.9496840000000001
a,1.6277,0.631578,1.6277,0.631578,"{'att': 178, 'def': 30}","{'att': 239, 'def': 25}",13,2,0,0,2.1684,d,2018-11-03 13:30:00,0,1,0,1,0.996122
h,1.54533,0.572141,1.54533,0.572141,"{'att': 314, 'def': 24}","{'att': 135, 'def': 15}",9,11,2,0,2.2026000000000003,w,2018-11-11 16:00:00,1,0,0,3,0.9731890000000001
a,1.04504,0.459652,1.04504,0.459652,"{'att': 213, 'def': 34}","{'att': 270, 'def': 20}",7,5,2,0,1.9060000000000001,w,2018-11-23 15:00:00,1,0,0,3,0.585388
a,1.53374,0.542283,0.661199,0.542283,"{'att': 130, 'def': 17}","{'att': 170, 'def': 15}",8,6,0,0,2.3458,d,2018-12-02 13:30:00,0,1,0,1,0.11891600000000002
h,2.16867,1.42109,2.16867,0.666822,"{'att': 244, 'def': 10}","{'att': 239, 'def': 18}",15,7,2,1,1.9368,w,2018-12-08 12:00:00,1,0,0,3,1.501848
a,0.488326,1.26872,0.488326,1.26872,"{'att': 143, 'def': 23}","{'att': 353, 'def': 25}",7,2,0,2,0.5656,l,2019-03-02 11:00:00,0,0,1,0,-0.780394
h,2.92347,0.455363,2.92347,0.455363,"{'att': 259, 'def': 28}","{'att': 194, 'def': 20}",18,3,3,0,2.7873,w,2019-03-09 13:30:00,1,0,0,3,2.468107
a,0.963853,0.443751,0.963853,0.443751,"{'att': 142, 'def': 30}","{'att': 220, 'def': 16}",12,3,1,0,1.8026,w,2019-03-16 11:00:00,1,0,0,3,0.520102
h,1.75456,0.85711,1.75456,0.85711,"{'att': 135, 'def': 11}","{'att': 248, 'def': 23}",11,4,2,2,2.1019,d,2019-03-31 13:30:00,0,1,0,1,0.8974499999999999
a,2.3397,1.08112,2.3397,1.08112,"{'att': 249, 'def': 35}","{'att': 145, 'def': 20}",16,8,2,0,2.2645000000000004,w,2019-04-06 17:00:00,1,0,0,3,1.25858
h,1.57161,1.33191,1.57161,1.33191,"{'att': 183, 'def': 20}","{'att': 208, 'def': 30}",6,9,2,3,1.5423,l,2019-04-13 12:00:00,0,0,1,0,0.23970000000000002
a,0.725716,1.27918,0.725716,1.27918,"{'att': 263, 'def': 25}","{'att': 259, 'def': 23}",12,13,1,1,0.8611,d,2019-04-20 17:00:00,0,1,0,1,-0.553464
h,2.0741,0.534659,2.0741,0.534659,"{'att': 284, 'def': 30}","{'att': 331, 'def': 5}",23,3,2,0,2.4369,w,2019-04-24 17:30:00,1,0,0,3,1.539441
a,0.785998,1.5333,0.785998,1.5333,"{'att': 147, 'def': 23}","{'att': 276, 'def': 21}",16,7,0,2,0.7332,l,2019-04-28 17:00:00,0,0,1,0,-0.7473020000000001
h,0.898059,1.43623,0.898059,1.43623,"{'att': 150, 'def': 14}","{'att': 235, 'def': 21}",8,2,2,2,0.8927999999999999,d,2019-05-05 14:30:00,0,1,0,1,-0.5381709999999998
a,0.748435,1.19504,0.748435,1.19504,"{'att': 191, 'def': 23}","{'att': 148, 'def': 20}",9,11,1,3,0.8559,l,2019-05-12 17:00:00,0,0,1,0,-0.44660500000000014
h,1.32767,0.505942,0.573395,0.505942,"{'att': 259, 'def': 31}","{'att': 239, 'def': 19}",9,7,1,0,2.1643,w,2019-05-18 13:30:00,1,0,0,3,0.06745299999999999
h,4.33419,0.736405,4.33419,0.736405,"{'att': 233, 'def': 27}","{'att': 218, 'def': 15}",18,3,6,0,2.935,w,2019-05-26 11:00:00,1,0,0,3,3.5977850000000005
