h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.775284,1.59642,0.775284,1.59642,"{'att': 158, 'def': 20}","{'att': 320, 'def': 23}",6,6,1,2,0.6867000000000001,l,2018-07-29 19:00:00,0,0,1,0,-0.821136
a,0.974015,1.25048,0.974015,1.25048,"{'att': 129, 'def': 29}","{'att': 259, 'def': 27}",8,1,2,1,1.0949,w,2018-08-04 14:00:00,1,0,0,3,-0.27646500000000007
a,0.69905,0.703006,0.69905,0.703006,"{'att': 157, 'def': 15}","{'att': 299, 'def': 11}",11,4,1,0,1.31,w,2018-08-13 17:30:00,1,0,0,3,-0.003956000000000071
h,1.0754,0.339471,1.0754,0.339471,"{'att': 133, 'def': 20}","{'att': 195, 'def': 22}",6,4,0,1,2.005,l,2018-08-18 19:00:00,0,0,1,0,0.7359289999999998
a,2.10526,2.27389,2.10526,2.27389,"{'att': 90, 'def': 21}","{'att': 227, 'def': 15}",7,4,1,1,1.2121,d,2018-08-26 14:00:00,0,1,0,1,-0.16863000000000028
h,1.30048,1.57872,1.30048,0.824443,"{'att': 142, 'def': 23}","{'att': 251, 'def': 16}",6,5,2,1,1.0871,w,2018-09-01 16:00:00,1,0,0,3,0.47603700000000004
a,1.82009,0.50198,1.82009,0.50198,"{'att': 177, 'def': 18}","{'att': 350, 'def': 14}",16,5,4,0,2.3343000000000003,w,2018-09-16 13:30:00,1,0,0,3,1.31811
a,0.675708,0.408,0.675708,0.408,"{'att': 122, 'def': 20}","{'att': 346, 'def': 10}",15,2,3,0,1.5654,w,2018-09-24 15:30:00,1,0,0,3,0.267708
h,0.950003,0.379643,0.950003,0.379643,"{'att': 196, 'def': 19}","{'att': 272, 'def': 18}",5,6,3,0,1.9093999999999998,w,2018-09-30 13:30:00,1,0,0,3,0.57036
a,1.73801,2.25734,0.983739,2.25734,"{'att': 164, 'def': 16}","{'att': 261, 'def': 26}",10,6,1,2,1.0161000000000002,l,2018-10-07 13:30:00,0,0,1,0,-1.2736010000000002
h,0.620788,1.43717,0.620788,1.43717,"{'att': 103, 'def': 31}","{'att': 278, 'def': 11}",11,4,0,1,0.6511,l,2018-10-21 16:00:00,0,0,1,0,-0.816382
a,1.77336,0.823676,1.77336,0.823676,"{'att': 191, 'def': 32}","{'att': 215, 'def': 27}",13,12,2,1,2.1234,w,2018-10-28 15:00:00,1,0,0,3,0.9496840000000001
h,2.06931,1.58528,2.06931,1.58528,"{'att': 100, 'def': 18}","{'att': 254, 'def': 20}",8,7,2,2,1.786,d,2018-11-04 13:30:00,0,1,0,1,0.4840300000000002
h,1.47586,0.0885916,1.47586,0.0885916,"{'att': 157, 'def': 26}","{'att': 334, 'def': 9}",21,2,3,0,2.5153,w,2018-11-11 13:00:00,1,0,0,3,1.3872684
h,2.01736,0.88537,2.01736,0.88537,"{'att': 190, 'def': 28}","{'att': 295, 'def': 20}",10,6,3,0,2.2249,w,2018-11-25 13:30:00,1,0,0,3,1.13199
h,1.83354,0.752842,1.83354,0.752842,"{'att': 156, 'def': 20}","{'att': 254, 'def': 14}",11,4,2,0,2.1900999999999997,w,2018-12-02 11:00:00,1,0,0,3,1.080698
h,1.68232,0.446641,1.68232,0.446641,"{'att': 94, 'def': 20}","{'att': 362, 'def': 14}",14,2,1,1,2.3554999999999997,d,2018-12-09 13:30:00,0,1,0,1,1.235679
a,0.912565,0.943381,0.912565,0.943381,"{'att': 212, 'def': 26}","{'att': 347, 'def': 30}",5,7,1,1,1.3188,d,2019-03-03 16:00:00,0,1,0,1,-0.030816000000000066
h,2.33119,0.622718,1.57691,0.622718,"{'att': 168, 'def': 19}","{'att': 320, 'def': 17}",14,6,2,2,2.5774,d,2019-03-11 16:30:00,0,1,0,1,0.954192
a,0.34657,2.13072,0.34657,1.37644,"{'att': 194, 'def': 26}","{'att': 331, 'def': 23}",4,10,0,1,0.1654,l,2019-03-17 13:30:00,0,0,1,0,-1.02987
h,5.16488,0.0821372,4.4106,0.0821372,"{'att': 135, 'def': 22}","{'att': 440, 'def': 14}",19,3,5,0,2.9987999999999997,w,2019-03-31 16:00:00,1,0,0,3,4.3284628
h,1.90321,1.01567,1.14894,1.01567,"{'att': 178, 'def': 23}","{'att': 285, 'def': 23}",8,11,1,0,2.1016,w,2019-04-06 14:30:00,1,0,0,3,0.13327
