h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.2504,1.21626,0.2504,1.21626,"{'att': 307, 'def': 13}","{'att': 184, 'def': 15}",1,10,0,2,0.4652,l,2018-07-29 14:00:00,0,0,1,0,-0.9658599999999999
a,0.761499,1.87773,0.761499,1.87773,"{'att': 205, 'def': 11}","{'att': 176, 'def': 15}",5,5,0,1,0.5076,l,2018-08-05 21:30:00,0,0,1,0,-1.116231
h,0.843862,1.06383,0.843862,0.309557,"{'att': 158, 'def': 16}","{'att': 194, 'def': 13}",5,4,1,1,1.0528,d,2018-08-11 16:30:00,0,1,0,1,0.534305
a,0.600401,2.07961,0.600401,2.07961,"{'att': 144, 'def': 12}","{'att': 308, 'def': 23}",8,6,0,4,0.2773,l,2018-08-19 21:30:00,0,0,1,0,-1.4792090000000002
h,2.67243,0.389572,2.67243,0.389572,"{'att': 230, 'def': 21}","{'att': 264, 'def': 25}",4,3,1,0,2.8828,w,2018-08-27 17:30:00,1,0,0,3,2.282858
h,0.219556,0.354815,0.219556,0.354815,"{'att': 196, 'def': 28}","{'att': 196, 'def': 14}",1,1,0,0,1.0218,d,2018-09-02 11:00:00,0,1,0,1,-0.135259
a,0.406202,1.16286,0.406202,1.16286,"{'att': 198, 'def': 6}","{'att': 262, 'def': 20}",5,3,0,1,0.6157,l,2018-09-15 11:00:00,0,0,1,0,-0.756658
h,1.34967,0.382784,1.34967,0.382784,"{'att': 111, 'def': 15}","{'att': 268, 'def': 29}",7,0,1,2,2.2502,l,2018-09-22 08:30:00,0,0,1,0,0.9668859999999999
a,0.210637,1.45755,0.210637,1.45755,"{'att': 286, 'def': 18}","{'att': 236, 'def': 18}",2,10,1,2,0.3366,l,2018-09-29 13:30:00,0,0,1,0,-1.246913
h,1.61194,1.71339,0.857668,0.959116,"{'att': 188, 'def': 21}","{'att': 114, 'def': 8}",2,5,2,3,1.2605,l,2018-10-07 08:30:00,0,0,1,0,-0.10144799999999998
