h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.704867,0.768719,0.704867,0.768719,"{'att': 230, 'def': 15}","{'att': 202, 'def': 22}",6,12,1,2,1.2669,l,2019-07-13 18:30:00,0,0,1,0,-0.06385200000000002
a,0.784283,1.51248,0.784283,1.51248,"{'att': 296, 'def': 16}","{'att': 169, 'def': 22}",2,10,1,2,0.8027,l,2019-07-20 16:00:00,0,0,1,0,-0.7281970000000001
h,1.95859,2.05033,1.95859,1.29605,"{'att': 301, 'def': 23}","{'att': 168, 'def': 11}",7,12,0,2,1.2948,l,2019-07-28 11:00:00,0,0,1,0,0.6625400000000001
a,0.372463,0.53833,0.372463,0.53833,"{'att': 263, 'def': 30}","{'att': 223, 'def': 32}",4,4,1,2,1.0835,l,2019-08-05 18:00:00,0,0,1,0,-0.165867
h,1.96059,1.03687,1.96059,1.03687,"{'att': 185, 'def': 19}","{'att': 280, 'def': 21}",3,3,2,2,2.0514,d,2019-08-10 12:00:00,0,1,0,1,0.9237200000000001
h,0.956093,1.15442,0.956093,0.40015,"{'att': 228, 'def': 19}","{'att': 142, 'def': 19}",9,6,1,1,1.1037000000000001,d,2019-08-16 16:00:00,0,1,0,1,0.555943
a,1.19685,0.488713,1.19685,0.488713,"{'att': 195, 'def': 15}","{'att': 190, 'def': 15}",9,3,1,2,2.0299,l,2019-08-25 19:30:00,0,0,1,0,0.708137
a,1.82723,1.21165,1.07296,1.21165,"{'att': 224, 'def': 18}","{'att': 156, 'def': 23}",3,10,2,1,1.9212000000000002,w,2019-08-31 09:30:00,1,0,0,3,-0.13868999999999998
h,3.47435,1.07242,2.72007,1.07242,"{'att': 324, 'def': 19}","{'att': 124, 'def': 14}",6,5,2,1,2.7014,w,2019-09-15 11:00:00,1,0,0,3,1.6476500000000003
h,1.96201,2.89128,1.96201,2.137,"{'att': 194, 'def': 15}","{'att': 174, 'def': 13}",8,6,2,3,0.7936,l,2019-09-22 08:30:00,0,0,1,0,-0.17498999999999998
a,0.695329,1.73011,0.695329,1.73011,"{'att': 235, 'def': 18}","{'att': 127, 'def': 20}",1,9,2,1,0.6048,w,2019-09-29 13:30:00,1,0,0,3,-1.0347810000000002
h,1.81528,0.723304,1.81528,0.723304,"{'att': 182, 'def': 18}","{'att': 182, 'def': 14}",4,1,2,0,2.2237,w,2019-10-05 12:00:00,1,0,0,3,1.091976
h,1.28956,0.694933,1.28956,0.694933,"{'att': 150, 'def': 16}","{'att': 216, 'def': 12}",12,1,0,1,1.8083,l,2019-10-20 09:30:00,0,0,1,0,0.594627
a,1.32224,1.33765,1.32224,1.33765,"{'att': 358, 'def': 18}","{'att': 124, 'def': 17}",5,10,1,1,1.3404,d,2019-10-27 16:00:00,0,1,0,1,-0.015409999999999924
a,1.34513,1.59627,1.34513,1.59627,"{'att': 327, 'def': 18}","{'att': 127, 'def': 22}",4,11,2,1,1.1735,w,2019-11-04 11:00:00,1,0,0,3,-0.25114000000000014
h,0.729144,0.302892,0.729144,0.302892,"{'att': 170, 'def': 30}","{'att': 246, 'def': 21}",6,4,0,0,1.7370999999999999,d,2019-11-10 08:30:00,0,1,0,1,0.426252
h,1.87186,1.19646,1.87186,0.44218,"{'att': 201, 'def': 15}","{'att': 201, 'def': 21}",9,5,1,2,1.9065999999999999,l,2019-11-23 08:30:00,0,0,1,0,1.42968
a,0.981781,0.989263,0.981781,0.989263,"{'att': 218, 'def': 18}","{'att': 191, 'def': 20}",13,11,0,3,1.3194,l,2019-12-07 11:00:00,0,0,1,0,-0.007481999999999989
a,1.27373,1.63845,0.519451,1.63845,"{'att': 191, 'def': 30}","{'att': 199, 'def': 15}",1,2,1,1,0.989,d,2020-02-28 15:30:00,0,1,0,1,-1.118999
h,1.79145,0.651909,1.79145,0.651909,"{'att': 298, 'def': 21}","{'att': 168, 'def': 14}",9,7,2,0,2.2635,w,2020-03-07 11:00:00,1,0,0,3,1.139541
a,1.72201,1.73741,1.72201,0.983133,"{'att': 191, 'def': 21}","{'att': 232, 'def': 18}",5,3,1,5,1.3571,l,2020-03-11 16:30:00,0,0,1,0,0.738877
h,1.38111,1.15891,1.38111,1.15891,"{'att': 202, 'def': 28}","{'att': 192, 'def': 16}",9,13,1,3,1.5287,l,2020-03-14 11:00:00,0,0,1,0,0.22219999999999995
a,0.352485,2.43047,0.352485,1.67619,"{'att': 256, 'def': 17}","{'att': 124, 'def': 16}",0,11,0,1,0.16770000000000002,l,2020-06-21 14:30:00,0,0,1,0,-1.3237050000000001
h,0.0,0.0,0.0,0.0,"{'att': 0, 'def': 0}","{'att': 0, 'def': 0}",0,0,0,3,1.32,l,2020-06-27 11:00:00,0,0,1,0,0.0
h,0.0,0.0,0.0,0.0,"{'att': 0, 'def': 0}","{'att': 0, 'def': 0}",0,0,0,3,1.32,l,2020-07-01 12:00:00,0,0,1,0,0.0
a,0.605487,1.76561,0.605487,1.76561,"{'att': 208, 'def': 14}","{'att': 164, 'def': 25}",5,9,0,1,0.5023,l,2020-07-05 15:30:00,0,0,1,0,-1.160123
h,1.08128,2.39025,1.08128,2.39025,"{'att': 269, 'def': 10}","{'att': 214, 'def': 17}",3,13,0,4,0.5613,l,2020-07-08 15:00:00,0,0,1,0,-1.30897
h,0.188052,0.348464,0.188052,0.348464,"{'att': 231, 'def': 13}","{'att': 116, 'def': 27}",3,8,0,0,0.9944999999999999,d,2020-07-12 15:30:00,0,1,0,1,-0.160412
