h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.16377,1.03562,1.4095,1.03562,"{'att': 264, 'def': 26}","{'att': 157, 'def': 29}",5,12,1,0,2.2208,w,2019-07-14 18:30:00,1,0,0,3,0.37388
a,1.42343,2.44508,1.42343,2.44508,"{'att': 193, 'def': 23}","{'att': 288, 'def': 27}",3,5,0,3,0.6388,l,2019-07-21 11:00:00,0,0,1,0,-1.02165
a,0.79744,1.45067,0.79744,1.45067,"{'att': 301, 'def': 24}","{'att': 214, 'def': 25}",1,3,0,1,0.8233999999999999,l,2019-07-29 17:00:00,0,0,1,0,-0.6532299999999999
h,0.53833,0.372463,0.53833,0.372463,"{'att': 223, 'def': 32}","{'att': 263, 'def': 30}",4,4,2,1,1.4351,w,2019-08-05 18:00:00,1,0,0,3,0.165867
h,1.01237,0.800104,1.01237,0.800104,"{'att': 243, 'def': 23}","{'att': 210, 'def': 34}",0,2,1,3,1.5634000000000001,l,2019-08-11 19:30:00,0,0,1,0,0.21226599999999995
a,0.414236,2.90532,0.414236,2.90532,"{'att': 221, 'def': 13}","{'att': 133, 'def': 27}",0,12,0,0,0.106,d,2019-08-17 17:00:00,0,1,0,1,-2.4910840000000003
a,0.660186,2.40643,0.660186,2.40643,"{'att': 180, 'def': 15}","{'att': 203, 'def': 27}",5,14,0,3,0.2951,l,2019-08-25 14:30:00,0,0,1,0,-1.746244
h,0.861492,0.148436,0.861492,0.148436,"{'att': 124, 'def': 25}","{'att': 274, 'def': 24}",12,1,1,1,2.0168,d,2019-08-31 17:00:00,0,1,0,1,0.713056
a,0.896002,1.63672,0.141727,1.63672,"{'att': 204, 'def': 11}","{'att': 241, 'def': 13}",5,14,1,2,0.6604,l,2019-09-16 17:30:00,0,0,1,0,-1.494993
h,1.50822,2.58573,1.50822,2.58573,"{'att': 268, 'def': 36}","{'att': 174, 'def': 17}",3,6,1,1,0.6197,d,2019-09-21 11:00:00,0,1,0,1,-1.07751
a,0.74923,1.80726,0.74923,1.80726,"{'att': 187, 'def': 17}","{'att': 241, 'def': 30}",3,8,0,2,0.627,l,2019-09-30 16:30:00,0,0,1,0,-1.05803
a,1.40815,0.646211,1.40815,0.646211,"{'att': 183, 'def': 21}","{'att': 170, 'def': 19}",5,6,1,0,1.9769,w,2019-10-05 09:30:00,1,0,0,3,0.761939
h,0.471301,1.18386,0.471301,1.18386,"{'att': 200, 'def': 35}","{'att': 253, 'def': 26}",1,5,0,2,0.6528,l,2019-10-18 17:30:00,0,0,1,0,-0.7125589999999999
h,1.28853,1.2775,1.28853,1.2775,"{'att': 281, 'def': 31}","{'att': 178, 'def': 18}",4,5,1,1,1.3537000000000001,d,2019-10-26 14:30:00,0,1,0,1,0.011029999999999873
a,1.459,1.01856,0.704726,0.264281,"{'att': 246, 'def': 28}","{'att': 255, 'def': 26}",4,3,1,1,1.8058999999999998,d,2019-11-02 11:00:00,0,1,0,1,0.440445
