h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.21141,1.65282,1.21141,0.898549,"{'att': 192, 'def': 20}","{'att': 199, 'def': 15}",2,6,3,2,0.9853000000000001,w,2019-07-13 13:30:00,1,0,0,3,0.31286100000000006
h,2.44508,1.42343,2.44508,1.42343,"{'att': 288, 'def': 27}","{'att': 193, 'def': 23}",5,3,3,0,2.1499,w,2019-07-21 11:00:00,1,0,0,3,1.02165
a,0.651191,1.69636,0.651191,1.69636,"{'att': 180, 'def': 19}","{'att': 264, 'def': 31}",4,10,0,2,0.5815,l,2019-07-26 17:00:00,0,0,1,0,-1.045169
h,1.6608,2.14413,1.6608,2.14413,"{'att': 216, 'def': 18}","{'att': 146, 'def': 18}",4,17,2,2,1.0762,d,2019-08-03 12:00:00,0,1,0,1,-0.48333000000000004
a,0.902241,4.59167,0.902241,4.59167,"{'att': 178, 'def': 20}","{'att': 201, 'def': 32}",4,11,0,4,0.0403,l,2019-08-11 14:30:00,0,0,1,0,-3.6894289999999996
h,0.887251,1.95456,0.887251,1.95456,"{'att': 203, 'def': 13}","{'att': 223, 'def': 11}",6,7,1,3,0.5799,l,2019-08-17 12:00:00,0,0,1,0,-1.067309
h,2.44765,1.20384,1.69338,1.20384,"{'att': 253, 'def': 13}","{'att': 278, 'def': 20}",7,6,3,1,2.3369,w,2019-08-26 16:00:00,1,0,0,3,0.4895400000000001
h,0.798248,1.32806,0.798248,1.32806,"{'att': 270, 'def': 14}","{'att': 152, 'def': 22}",3,12,2,4,0.9335,l,2019-09-01 12:00:00,0,0,1,0,-0.5298120000000001
a,0.652485,0.839131,0.652485,0.839131,"{'att': 286, 'def': 21}","{'att': 154, 'def': 23}",0,15,2,1,1.1338000000000001,w,2019-09-14 13:30:00,1,0,0,3,-0.18664599999999998
a,1.21788,1.18479,0.463607,1.18479,"{'att': 167, 'def': 25}","{'att': 177, 'def': 8}",1,6,1,1,1.3892000000000002,d,2019-09-22 13:30:00,0,1,0,1,-0.721183
h,0.870956,2.38252,0.870956,1.62825,"{'att': 315, 'def': 18}","{'att': 200, 'def': 23}",3,20,0,3,0.41600000000000004,l,2019-09-29 08:30:00,0,0,1,0,-0.757294
h,0.64958,2.37289,0.64958,2.37289,"{'att': 328, 'def': 18}","{'att': 213, 'def': 25}",10,18,1,3,0.2782,l,2019-10-06 09:30:00,0,0,1,0,-1.72331
a,1.59902,1.44215,1.59902,0.68788,"{'att': 218, 'def': 32}","{'att': 201, 'def': 17}",6,7,2,1,1.4912999999999998,w,2019-10-19 12:00:00,1,0,0,3,0.9111400000000001
a,0.62988,1.54872,0.62988,1.54872,"{'att': 235, 'def': 47}","{'att': 171, 'def': 24}",1,6,0,0,0.6527000000000001,d,2019-10-25 17:30:00,0,1,0,1,-0.9188400000000001
h,1.59627,1.34513,1.59627,1.34513,"{'att': 127, 'def': 22}","{'att': 327, 'def': 18}",11,4,1,2,1.5632000000000001,l,2019-11-04 11:00:00,0,0,1,0,0.25114000000000014
a,1.41719,0.829775,1.41719,0.829775,"{'att': 223, 'def': 28}","{'att': 250, 'def': 29}",4,5,0,0,1.8498,d,2019-11-08 16:30:00,0,1,0,1,0.5874149999999999
h,0.667782,2.47478,0.667782,2.47478,"{'att': 316, 'def': 17}","{'att': 210, 'def': 28}",1,15,0,0,0.2324,d,2019-11-24 11:00:00,0,1,0,1,-1.806998
a,0.284262,0.792811,0.284262,0.792811,"{'att': 175, 'def': 17}","{'att': 102, 'def': 22}",1,10,0,0,0.763,d,2019-11-30 13:30:00,0,1,0,1,-0.508549
a,1.97773,0.624894,1.97773,0.624894,"{'att': 178, 'def': 18}","{'att': 154, 'def': 30}",4,4,3,2,2.5455,w,2019-12-08 11:00:00,1,0,0,3,1.352836
a,1.2921,1.29056,1.2921,1.29056,"{'att': 230, 'def': 14}","{'att': 212, 'def': 17}",0,15,1,1,1.3859000000000001,d,2020-02-29 11:00:00,0,1,0,1,0.0015400000000000968
a,0.19904,1.34941,0.19904,1.34941,"{'att': 160, 'def': 20}","{'att': 300, 'def': 23}",1,10,0,2,0.3194,l,2020-03-08 13:30:00,0,0,1,0,-1.1503700000000001
a,1.27022,5.70401,0.515942,4.94973,"{'att': 202, 'def': 21}","{'att': 211, 'def': 24}",4,24,1,7,0.029900000000000003,l,2020-03-14 13:30:00,0,0,1,0,-4.433788
h,0.76793,1.19849,0.76793,1.19849,"{'att': 195, 'def': 22}","{'att': 182, 'def': 13}",4,3,1,2,0.9140999999999999,l,2020-06-20 11:00:00,0,0,1,0,-0.43056000000000005
h,1.24946,0.484157,0.495181,0.484157,"{'att': 150, 'def': 16}","{'att': 208, 'def': 13}",4,4,2,1,2.1468999999999996,w,2020-06-28 13:30:00,1,0,0,3,0.011023999999999978
a,0.0,0.0,0.0,0.0,"{'att': 0, 'def': 0}","{'att': 0, 'def': 0}",0,0,3,0,1.32,w,2020-07-01 12:00:00,1,0,0,3,0.0
a,0.356389,0.491241,0.356389,0.491241,"{'att': 236, 'def': 16}","{'att': 227, 'def': 23}",2,4,1,1,1.1091000000000002,d,2020-07-05 13:30:00,0,1,0,1,-0.13485199999999997
h,1.45914,1.40271,1.45914,1.40271,"{'att': 242, 'def': 13}","{'att': 244, 'def': 20}",5,6,2,1,1.3727999999999998,w,2020-07-09 14:00:00,1,0,0,3,0.0564300000000002
a,1.14277,3.86838,1.14277,3.1141,"{'att': 278, 'def': 26}","{'att': 209, 'def': 22}",4,11,0,3,0.1367,l,2020-07-12 17:30:00,0,0,1,0,-1.97133
h,0.410532,0.933857,0.410532,0.933857,"{'att': 108, 'def': 14}","{'att': 285, 'def': 12}",2,6,1,3,0.7394000000000001,l,2020-07-15 13:00:00,0,0,1,0,-0.523325
h,0.896077,0.864987,0.896077,0.864987,"{'att': 159, 'def': 24}","{'att': 241, 'def': 18}",4,6,0,1,1.3051,l,2020-07-22 16:00:00,0,0,1,0,0.031090000000000062
