h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.12941,1.46113,0.620854,1.46113,"{'att': 296, 'def': 13}","{'att': 200, 'def': 8}",4,9,2,2,1.9018,d,2020-08-09 17:00:00,0,1,0,1,-0.840276
h,1.08232,1.23537,1.08232,1.23537,"{'att': 193, 'def': 16}","{'att': 198, 'def': 18}",5,5,1,1,1.1885,d,2020-08-14 16:00:00,0,1,0,1,-0.15305000000000013
h,1.68663,2.1733,1.68663,1.41902,"{'att': 253, 'def': 16}","{'att': 152, 'def': 18}",4,3,3,2,1.0500000000000003,w,2020-08-18 15:00:00,1,0,0,3,0.2676100000000001
a,1.54438,0.646719,1.54438,0.646719,"{'att': 213, 'def': 14}","{'att': 256, 'def': 25}",8,4,2,1,2.1059,w,2020-08-22 17:00:00,1,0,0,3,0.897661
a,2.16814,0.702082,2.16814,0.702082,"{'att': 240, 'def': 17}","{'att': 268, 'def': 11}",5,2,1,0,2.5366,w,2020-08-25 15:30:00,1,0,0,3,1.4660580000000003
h,0.414428,0.648872,0.414428,0.648872,"{'att': 266, 'def': 23}","{'att': 225, 'def': 16}",5,5,0,0,1.0346,d,2020-08-30 17:00:00,0,1,0,1,-0.23444399999999999
a,0.276374,1.4402,0.276374,1.4402,"{'att': 263, 'def': 14}","{'att': 116, 'def': 17}",6,6,1,0,0.3929,w,2020-09-12 16:00:00,1,0,0,3,-1.1638259999999998
a,1.42162,0.745575,0.667348,0.745575,"{'att': 125, 'def': 15}","{'att': 235, 'def': 15}",4,4,2,3,1.9847000000000001,l,2020-09-20 11:00:00,0,0,1,0,-0.07822699999999994
h,1.02561,1.38558,0.271335,1.38558,"{'att': 368, 'def': 22}","{'att': 102, 'def': 22}",1,17,1,1,1.0976000000000001,d,2020-09-26 17:00:00,0,1,0,1,-1.114245
h,0.910308,1.03032,0.910308,1.03032,"{'att': 143, 'def': 16}","{'att': 172, 'def': 12}",2,2,4,2,1.2458,w,2020-10-04 13:30:00,1,0,0,3,-0.1200119999999999
