h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.66051,3.12122,1.66051,2.36694,"{'att': 244, 'def': 20}","{'att': 145, 'def': 11}",2,14,1,3,0.5223,l,2021-07-24 16:30:00,0,0,1,0,-0.7064300000000001
a,1.10117,2.2873,1.10117,1.53302,"{'att': 234, 'def': 27}","{'att': 80, 'def': 25}",6,10,1,0,0.5458,w,2021-08-01 17:00:00,1,0,0,3,-0.43185000000000007
h,1.15643,0.524774,0.402156,0.524774,"{'att': 246, 'def': 23}","{'att': 218, 'def': 12}",12,4,1,1,2.0404,d,2021-08-08 14:30:00,0,1,0,1,-0.12261799999999995
a,0.464097,1.65709,0.464097,1.65709,"{'att': 287, 'def': 21}","{'att': 266, 'def': 9}",7,10,0,3,0.4327,l,2021-08-16 16:00:00,0,0,1,0,-1.192993
h,1.29479,1.26265,1.29479,1.26265,"{'att': 233, 'def': 20}","{'att': 210, 'def': 13}",7,3,1,1,1.3507,d,2021-08-22 17:00:00,0,1,0,1,0.03214000000000006
h,2.1673,0.887752,1.41303,0.887752,"{'att': 175, 'def': 28}","{'att': 314, 'def': 23}",4,5,1,1,2.3791,d,2021-08-27 15:30:00,0,1,0,1,0.525278
a,0.479197,1.57417,0.479197,1.57417,"{'att': 250, 'def': 26}","{'att': 133, 'def': 17}",1,8,1,3,0.5001,l,2021-09-11 16:00:00,0,0,1,0,-1.094973
a,2.26272,1.76225,1.50845,1.76225,"{'att': 184, 'def': 18}","{'att': 166, 'def': 16}",14,11,2,3,1.7434999999999998,l,2021-09-18 11:00:00,0,0,1,0,-0.2538
h,1.23454,0.423221,1.23454,0.423221,"{'att': 260, 'def': 33}","{'att': 139, 'def': 24}",14,11,0,0,2.0697,d,2021-09-25 11:00:00,0,1,0,1,0.8113189999999999
a,0.389324,0.624591,0.389324,0.624591,"{'att': 224, 'def': 27}","{'att': 273, 'def': 25}",8,5,0,0,1.0302,d,2021-10-02 16:00:00,0,1,0,1,-0.235267
h,1.4692,1.03392,1.4692,1.03392,"{'att': 199, 'def': 14}","{'att': 131, 'def': 21}",6,18,2,0,1.7516999999999998,w,2021-10-17 13:30:00,1,0,0,3,0.4352800000000001
