h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.11071,1.27543,1.11071,1.27543,"{'att': 122, 'def': 29}","{'att': 381, 'def': 20}",14,5,1,1,1.1992,d,2022-07-17 17:00:00,0,1,0,1,-0.16471999999999998
a,0.896257,1.67606,0.896257,0.921781,"{'att': 161, 'def': 21}","{'att': 213, 'def': 24}",4,1,2,2,0.6883,d,2022-07-24 17:00:00,0,1,0,1,-0.02552399999999999
h,0.976459,0.55059,0.976459,0.55059,"{'att': 158, 'def': 11}","{'att': 287, 'def': 15}",7,4,1,0,1.7293,w,2022-07-31 17:00:00,1,0,0,3,0.42586899999999994
h,2.32118,1.05558,0.812629,0.301307,"{'att': 157, 'def': 12}","{'att': 229, 'def': 20}",7,4,2,1,2.4036999999999997,w,2022-08-07 17:00:00,1,0,0,3,0.511322
a,1.85583,1.64247,1.10155,0.888199,"{'att': 159, 'def': 16}","{'att': 248, 'def': 17}",5,6,4,3,1.5209,w,2022-08-14 14:30:00,1,0,0,3,0.21335100000000007
h,2.6538,1.48291,1.11977,0.728634,"{'att': 248, 'def': 15}","{'att': 224, 'def': 17}",12,5,2,2,2.2457,d,2022-08-20 17:00:00,0,1,0,1,0.39113599999999993
h,0.82011,1.53432,0.82011,1.53432,"{'att': 158, 'def': 22}","{'att': 247, 'def': 21}",6,14,0,0,0.7842,d,2022-08-28 16:45:00,0,1,0,1,-0.7142099999999999
a,1.84369,0.425247,1.08942,0.425247,"{'att': 215, 'def': 24}","{'att': 269, 'def': 12}",10,2,1,0,2.5038,w,2022-09-05 17:00:00,1,0,0,3,0.6641730000000001
h,1.69223,1.20097,0.937952,1.20097,"{'att': 222, 'def': 20}","{'att': 153, 'def': 23}",5,10,4,2,1.7629,w,2022-09-11 16:45:00,1,0,0,3,-0.2630180000000001
h,1.09119,2.27165,0.336914,2.27165,"{'att': 265, 'def': 18}","{'att': 226, 'def': 7}",4,12,2,1,0.378,w,2022-09-17 13:30:00,1,0,0,3,-1.9347360000000002
a,0.837965,2.41271,0.837965,2.41271,"{'att': 255, 'def': 16}","{'att': 266, 'def': 23}",5,13,1,3,0.4071,l,2022-10-02 13:30:00,0,0,1,0,-1.574745
h,2.5388,1.17907,1.78452,1.17907,"{'att': 208, 'def': 31}","{'att': 233, 'def': 12}",13,5,3,2,2.3643,w,2022-10-09 16:00:00,1,0,0,3,0.60545
h,1.36604,0.740881,0.611769,0.740881,"{'att': 200, 'def': 23}","{'att': 194, 'def': 14}",4,5,1,2,1.9956,l,2022-10-14 16:30:00,0,0,1,0,-0.129112
a,1.52786,1.65186,1.52786,0.89758,"{'att': 135, 'def': 20}","{'att': 160, 'def': 12}",11,4,1,1,1.2571999999999999,d,2022-10-22 13:30:00,0,1,0,1,0.63028
a,1.15397,1.2001,1.15397,1.2001,"{'att': 172, 'def': 17}","{'att': 302, 'def': 19}",7,9,2,1,1.3296999999999999,w,2022-10-29 13:30:00,1,0,0,3,-0.046130000000000004
h,0.569762,1.22587,0.569762,1.22587,"{'att': 206, 'def': 12}","{'att': 239, 'def': 15}",3,12,2,1,0.8163,w,2022-11-06 16:00:00,1,0,0,3,-0.656108
a,1.57466,1.55332,0.820388,1.55332,"{'att': 201, 'def': 20}","{'att': 273, 'def': 23}",5,6,3,1,1.4314,w,2022-11-12 11:00:00,1,0,0,3,-0.732932
h,0.743235,2.24039,0.743235,2.24039,"{'att': 255, 'def': 16}","{'att': 153, 'def': 16}",11,8,1,3,0.4205,l,2023-03-04 16:30:00,0,0,1,0,-1.4971550000000002
