h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,3.1887,1.67773,3.1887,1.67773,"{'att': 163, 'def': 18}","{'att': 246, 'def': 15}",21,6,4,2,2.3453,w,2022-07-16 14:30:00,1,0,0,3,1.51097
a,0.112723,2.56961,0.112723,0.920637,"{'att': 372, 'def': 15}","{'att': 211, 'def': 16}",1,21,0,3,0.0241,l,2022-07-22 17:00:00,0,0,1,0,-0.807914
h,1.40134,1.04662,1.40134,1.04662,"{'att': 270, 'def': 15}","{'att': 335, 'def': 18}",14,3,1,1,1.6557,d,2022-07-31 14:30:00,0,1,0,1,0.3547199999999999
h,1.63377,1.15356,1.63377,1.15356,"{'att': 218, 'def': 18}","{'att': 316, 'def': 21}",10,4,0,2,1.7535,l,2022-08-07 14:30:00,0,0,1,0,0.48021
a,2.78383,2.40112,2.02955,0.892567,"{'att': 261, 'def': 22}","{'att': 138, 'def': 23}",7,8,1,1,1.6402,d,2022-08-13 12:00:00,0,1,0,1,1.1369829999999999
h,0.80164,0.642484,0.80164,0.642484,"{'att': 205, 'def': 13}","{'att': 251, 'def': 24}",3,8,1,1,1.4144999999999999,d,2022-08-19 16:00:00,0,1,0,1,0.15915599999999996
a,1.16942,0.706398,1.16942,0.706398,"{'att': 148, 'def': 20}","{'att': 247, 'def': 19}",7,2,2,1,1.7065000000000001,w,2022-08-27 17:00:00,1,0,0,3,0.46302199999999993
h,0.263599,1.44879,0.263599,1.44879,"{'att': 297, 'def': 27}","{'att': 200, 'def': 13}",11,11,0,1,0.3961,l,2022-09-04 12:00:00,0,0,1,0,-1.185191
a,1.51736,0.728785,0.763081,0.728785,"{'att': 246, 'def': 17}","{'att': 187, 'def': 33}",6,10,0,0,2.0532999999999997,d,2022-09-10 12:00:00,0,1,0,1,0.03429599999999999
a,2.27165,1.09119,2.27165,0.336914,"{'att': 226, 'def': 7}","{'att': 265, 'def': 18}",12,4,1,2,2.4126000000000003,l,2022-09-17 13:30:00,0,0,1,0,1.9347360000000002
h,1.56212,0.951916,1.56212,0.951916,"{'att': 315, 'def': 21}","{'att': 184, 'def': 18}",5,4,0,0,1.8778,d,2022-10-03 16:00:00,0,1,0,1,0.610204
a,2.26362,1.40386,2.26362,1.40386,"{'att': 268, 'def': 15}","{'att': 160, 'def': 20}",9,10,2,5,2.0579,l,2022-10-09 11:00:00,0,0,1,0,0.8597599999999999
h,1.09552,0.568743,1.09552,0.568743,"{'att': 337, 'def': 14}","{'att': 233, 'def': 28}",9,6,2,0,1.8161,w,2022-10-16 11:00:00,1,0,0,3,0.526777
a,0.899227,3.06784,0.899227,2.31356,"{'att': 285, 'def': 14}","{'att': 218, 'def': 18}",4,5,1,2,0.1993,l,2022-10-24 14:30:00,0,0,1,0,-1.4143329999999998
h,1.98591,0.969625,1.23164,0.215349,"{'att': 106, 'def': 11}","{'att': 258, 'def': 27}",9,2,2,1,2.15,w,2022-10-30 11:00:00,1,0,0,3,1.016291
a,1.66375,0.707154,1.66375,0.707154,"{'att': 237, 'def': 20}","{'att': 174, 'def': 28}",5,11,2,0,2.1843,w,2022-11-06 13:30:00,1,0,0,3,0.9565960000000001
h,1.55332,1.57466,1.55332,0.820388,"{'att': 273, 'def': 23}","{'att': 201, 'def': 20}",6,5,1,3,1.2706,l,2022-11-12 11:00:00,0,0,1,0,0.732932
a,0.576415,0.923144,0.576415,0.923144,"{'att': 246, 'def': 13}","{'att': 152, 'def': 31}",6,8,0,1,0.9059999999999999,l,2023-03-05 11:00:00,0,0,1,0,-0.34672899999999995
a,0.799605,1.32706,0.799605,1.32706,"{'att': 228, 'def': 19}","{'att': 231, 'def': 25}",4,5,0,4,0.912,l,2023-03-12 13:30:00,0,0,1,0,-0.5274549999999999
h,1.63968,0.548979,1.63968,0.548979,"{'att': 180, 'def': 25}","{'att': 184, 'def': 27}",11,7,0,1,2.2017,l,2023-03-19 13:30:00,0,0,1,0,1.0907010000000001
h,0.983066,0.845083,0.983066,0.845083,"{'att': 215, 'def': 12}","{'att': 188, 'def': 25}",14,3,1,1,1.4462000000000002,d,2023-04-02 11:00:00,0,1,0,1,0.13798299999999997
a,1.06447,1.00689,1.06447,1.00689,"{'att': 320, 'def': 13}","{'att': 195, 'def': 26}",5,13,2,1,1.3965,w,2023-04-09 11:00:00,1,0,0,3,0.057579999999999965
h,1.14783,0.601334,1.14783,0.601334,"{'att': 149, 'def': 8}","{'att': 319, 'def': 29}",7,7,0,0,1.8112,d,2023-04-15 11:00:00,0,1,0,1,0.5464959999999999
a,0.970491,0.802475,0.970491,0.0481994,"{'att': 93, 'def': 12}","{'att': 236, 'def': 14}",13,0,1,2,1.3789,l,2023-04-23 11:00:00,0,0,1,0,0.9222916
h,0.649209,3.14057,0.649209,2.3863,"{'att': 316, 'def': 7}","{'att': 174, 'def': 20}",8,15,1,5,0.1216,l,2023-04-29 11:00:00,0,0,1,0,-1.737091
a,0.225239,2.68782,0.225239,2.68782,"{'att': 190, 'def': 9}","{'att': 131, 'def': 14}",1,19,1,2,0.0795,l,2023-05-07 16:00:00,0,0,1,0,-2.4625809999999997
h,0.745057,0.293047,0.745057,0.293047,"{'att': 259, 'def': 16}","{'att': 169, 'def': 31}",11,4,1,1,1.7589,d,2023-05-14 11:00:00,0,1,0,1,0.45200999999999997
h,1.41049,0.92395,0.656211,0.92395,"{'att': 268, 'def': 14}","{'att': 233, 'def': 17}",7,7,3,0,1.7654,w,2023-05-21 11:00:00,1,0,0,3,-0.26773900000000006
a,0.550495,1.40496,0.550495,1.40496,"{'att': 72, 'def': 15}","{'att': 174, 'def': 22}",4,5,1,2,0.596,l,2023-05-28 13:30:00,0,0,1,0,-0.854465
h,0.940041,1.99049,0.940041,1.21966,"{'att': 311, 'def': 13}","{'att': 114, 'def': 15}",3,9,1,0,0.5888,w,2023-06-03 14:00:00,1,0,0,3,-0.27961899999999995
