match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2014_111_96_2014-08-31 17:00:00,2014-08-31 17:00:00,True,111,AC Milan,w,96,Lazio,2.01129,7.0,3,272,23,5,1.3373,w,1.24999,2.03815,19.0,1,240,35,15,1.27685,2.05,3.51,4.03
Serie_A 2014_111_204_2014-09-14 19:45:00,2014-09-14 19:45:00,False,111,AC Milan,w,204,Parma,3.77794,11.0,5,248,17,2,2.7525000000000004,w,3.01664,1.43019,11.0,4,300,26,8,1.43019,2.56,3.42,2.96
Serie_A 2014_111_98_2014-09-20 19:45:00,2014-09-20 19:45:00,True,111,AC Milan,l,98,Juventus,0.281427,9.0,0,310,29,4,0.3653,l,0.281427,1.44109,14.0,1,214,30,11,1.44109,3.46,3.29,2.34
Serie_A 2014_108_111_2014-09-23 19:45:00,2014-09-23 19:45:00,False,111,AC Milan,d,108,Empoli,0.58264,15.0,2,203,41,4,0.3677,d,0.58264,2.03406,13.0,2,271,28,8,2.03406,1.9,3.58,4.67
Serie_A 2014_111_203_2014-09-28 14:00:00,2014-09-28 14:00:00,False,111,AC Milan,d,203,Cesena,0.876708,11.0,1,177,23,5,1.0364,d,0.876708,1.13049,10.0,1,252,22,1,1.13049,1.61,3.95,6.96
Serie_A 2014_109_111_2014-10-04 19:45:00,2014-10-04 19:45:00,True,111,AC Milan,w,109,Chievo,1.60095,22.0,2,113,24,6,2.1869,w,1.60095,0.552252,10.0,0,291,42,3,0.552252,1.43,4.59,9.75
Serie_A 2014_111_94_2014-10-19 14:00:00,2014-10-19 14:00:00,False,111,AC Milan,w,94,Verona,2.17899,12.0,3,245,26,5,1.9176,w,2.17899,1.52745,22.0,1,246,23,4,1.52745,2.17,3.45,3.72
Serie_A 2014_110_111_2014-10-26 19:45:00,2014-10-26 19:45:00,True,111,AC Milan,d,110,Fiorentina,0.857287,15.0,1,280,24,4,1.8144,d,0.857287,0.359683,12.0,1,261,32,5,0.359683,2.05,3.51,4.04
Serie_A 2014_111_116_2014-10-29 19:45:00,2014-10-29 19:45:00,False,111,AC Milan,d,116,Cagliari,0.499723,13.0,1,230,25,8,0.3755,d,0.499723,1.92852,16.0,1,298,25,12,1.92852,2.24,3.51,3.47
Serie_A 2014_100_111_2014-11-02 19:45:00,2014-11-02 19:45:00,True,111,AC Milan,l,100,Palermo,1.12159,14.0,0,161,27,4,0.9358,l,1.12159,1.65067,13.0,2,351,25,2,1.65067,1.55,4.29,7.13
Serie_A 2014_102_111_2014-11-08 19:45:00,2014-11-08 19:45:00,False,111,AC Milan,d,102,Sampdoria,1.08993,10.0,2,211,24,6,0.4699,d,0.328629,2.20963,19.0,2,247,18,6,2.20963,2.8,3.37,2.74
Serie_A 2014_106_111_2014-11-23 19:45:00,2014-11-23 19:45:00,True,111,AC Milan,d,106,Inter,0.834114,10.0,1,288,29,4,1.3707,d,0.834114,0.75884,8.0,1,215,26,4,0.75884,2.76,3.32,2.81
Serie_A 2014_111_99_2014-11-30 14:00:00,2014-11-30 14:00:00,True,111,AC Milan,w,99,Udinese,2.4423,18.0,2,214,17,7,2.8489,w,1.68109,0.252527,6.0,0,332,14,2,0.252527,1.61,4.06,6.61
Serie_A 2014_101_111_2014-12-07 14:00:00,2014-12-07 14:00:00,False,111,AC Milan,l,101,Genoa,1.74981,15.0,0,186,19,5,2.0033,l,1.74981,0.900312,13.0,1,229,25,8,0.900312,2.53,3.26,3.14
Serie_A 2014_105_111_2014-12-14 19:45:00,2014-12-14 19:45:00,True,111,AC Milan,w,105,Napoli,1.44635,11.0,2,257,16,3,1.6383,w,1.44635,1.10808,14.0,0,288,24,6,1.10808,2.85,3.47,2.63
Serie_A 2014_111_95_2014-12-20 19:45:00,2014-12-20 19:45:00,False,111,AC Milan,d,95,Roma,0.225749,9.0,0,241,26,3,0.5092,d,0.225749,1.05507,16.0,0,173,35,12,1.05507,5.03,3.87,1.78
Serie_A 2014_104_111_2015-01-06 14:00:00,2015-01-06 14:00:00,True,111,AC Milan,l,104,Sassuolo,0.880654,13.0,1,146,33,4,1.6003,l,0.880654,0.626451,8.0,2,279,23,4,0.626451,1.63,4.07,6.17
Serie_A 2014_111_113_2015-01-10 19:45:00,2015-01-10 19:45:00,False,111,AC Milan,d,113,Torino,1.03898,8.0,1,284,22,0,0.3026999999999999,d,0.277679,2.8576,26.0,1,145,28,11,2.8576,2.93,3.11,2.8
Serie_A 2014_107_111_2015-01-18 14:00:00,2015-01-18 14:00:00,True,111,AC Milan,l,107,Atalanta,0.657125,15.0,0,135,20,6,1.0575,l,0.657125,0.927306,15.0,1,273,21,8,0.927306,1.56,4.17,7.07
Serie_A 2014_111_96_2015-01-24 19:45:00,2015-01-24 19:45:00,False,111,AC Milan,l,96,Lazio,0.104831,2.0,1,263,24,1,0.0766999999999999,l,0.104831,2.62355,18.0,3,254,38,10,2.62355,4.35,3.56,1.96
Serie_A 2014_111_204_2015-02-01 19:45:00,2015-02-01 19:45:00,True,111,AC Milan,w,204,Parma,2.0486,17.0,3,217,34,10,1.846,w,1.2873,1.38244,13.0,1,294,28,5,1.38244,1.55,4.25,7.17
