match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2014_109_98_2014-08-30 17:00:00,2014-08-30 17:00:00,True,109,Chievo,l,98,Juventus,0.502227,7.0,0,357,37,1,0.2319,l,0.502227,2.37394,21.0,1,111,29,12,2.37394,7.75,4.12,1.54
Serie_A 2014_105_109_2014-09-14 14:00:00,2014-09-14 14:00:00,False,109,Chievo,w,105,Napoli,0.667533,8.0,1,342,25,6,0.3551999999999999,w,0.667533,2.2055,33.0,0,109,28,13,1.4442,10.3,4.93,1.39
Serie_A 2014_109_204_2014-09-21 11:30:00,2014-09-21 11:30:00,True,109,Chievo,l,204,Parma,1.34921,11.0,2,258,21,3,1.8036,l,1.34921,0.934229,12.0,3,142,28,5,0.934229,3.01,3.16,2.69
Serie_A 2014_102_109_2014-09-24 19:45:00,2014-09-24 19:45:00,False,109,Chievo,l,102,Sampdoria,0.270687,5.0,1,215,36,2,0.2449,l,0.270687,1.78275,16.0,2,133,47,5,1.78275,4.71,3.42,1.94
Serie_A 2014_108_109_2014-09-28 14:00:00,2014-09-28 14:00:00,True,109,Chievo,d,108,Empoli,0.837322,18.0,1,271,50,5,0.6407,d,0.837322,1.67402,6.0,1,164,26,3,1.67402,2.35,3.21,3.54
Serie_A 2014_109_111_2014-10-04 19:45:00,2014-10-04 19:45:00,False,109,Chievo,l,111,AC Milan,0.552252,10.0,0,291,42,3,0.5759,l,0.552252,1.60095,22.0,2,113,24,6,1.60095,9.75,4.59,1.43
Serie_A 2014_109_95_2014-10-18 17:00:00,2014-10-18 17:00:00,False,109,Chievo,l,95,Roma,0.324071,11.0,0,477,28,1,0.3899,l,0.324071,1.39349,14.0,3,150,21,6,0.632193,12.52,5.69,1.31
Serie_A 2014_101_109_2014-10-26 14:00:00,2014-10-26 14:00:00,True,109,Chievo,l,101,Genoa,1.20366,13.0,1,281,29,6,0.5019,l,1.20366,2.38033,13.0,2,133,33,9,1.61903,2.46,3.13,3.39
Serie_A 2014_100_109_2014-10-29 19:45:00,2014-10-29 19:45:00,False,109,Chievo,l,100,Palermo,0.444825,15.0,0,212,31,3,0.5529,l,0.444825,1.42598,16.0,1,184,27,6,1.42598,4.44,3.45,1.98
Serie_A 2014_104_109_2014-11-02 14:00:00,2014-11-02 14:00:00,True,109,Chievo,d,104,Sassuolo,0.415151,12.0,0,252,33,4,1.2201,d,0.415151,0.446127,9.0,0,159,35,2,0.446127,2.45,3.25,3.28
Serie_A 2014_109_203_2014-11-09 14:00:00,2014-11-09 14:00:00,True,109,Chievo,w,203,Cesena,1.26794,19.0,2,211,17,4,1.7125,w,1.26794,0.834337,9.0,1,199,16,8,0.834337,1.94,3.3,4.96
Serie_A 2014_109_99_2014-11-23 14:00:00,2014-11-23 14:00:00,False,109,Chievo,d,99,Udinese,1.38085,14.0,1,277,23,4,2.187,d,1.38085,0.399901,9.0,1,221,17,7,0.399901,4.66,3.41,1.95
Serie_A 2014_109_96_2014-11-29 19:45:00,2014-11-29 19:45:00,True,109,Chievo,d,96,Lazio,0.340276,8.0,0,253,28,5,1.0152,d,0.340276,0.559908,12.0,0,114,18,3,0.559908,4.1,3.35,2.09
Serie_A 2014_109_116_2014-12-08 18:00:00,2014-12-08 18:00:00,False,109,Chievo,w,116,Cagliari,0.980047,10.0,2,248,34,8,1.7313,w,0.980047,0.579955,10.0,0,182,35,5,0.579955,4.55,3.63,1.91
Serie_A 2014_106_109_2014-12-15 20:00:00,2014-12-15 20:00:00,True,109,Chievo,l,106,Inter,0.826912,8.0,0,274,22,3,0.9258,l,0.826912,1.3205,18.0,2,86,34,5,1.3205,4.53,3.39,1.98
Serie_A 2014_109_94_2014-12-21 11:30:00,2014-12-21 11:30:00,False,109,Chievo,w,94,Verona,0.739269,10.0,1,194,28,4,1.1452,w,0.739269,0.964895,12.0,0,169,16,9,0.964895,3.26,3.36,2.41
Serie_A 2014_109_113_2015-01-06 14:00:00,2015-01-06 14:00:00,True,109,Chievo,d,113,Torino,0.790719,18.0,0,275,38,4,1.8544,d,0.790719,0.240292,8.0,0,211,19,1,0.240292,3.09,3.12,2.66
Serie_A 2014_107_109_2015-01-11 14:00:00,2015-01-11 14:00:00,False,109,Chievo,d,107,Atalanta,1.03428,11.0,1,116,25,2,1.4403,d,1.03428,0.940645,16.0,1,173,28,6,0.940645,4.16,3.11,2.18
Serie_A 2014_109_110_2015-01-18 14:00:00,2015-01-18 14:00:00,True,109,Chievo,l,110,Fiorentina,1.53326,18.0,1,204,32,5,1.0367,l,1.53326,1.94521,21.0,2,146,21,14,1.94521,4.35,3.36,2.03
Serie_A 2014_109_98_2015-01-25 14:00:00,2015-01-25 14:00:00,False,109,Chievo,l,98,Juventus,0.633158,8.0,0,297,25,6,0.2972,l,0.633158,2.33621,29.0,2,149,27,8,2.33621,26.0,8.25,1.16
Serie_A 2014_105_109_2015-02-01 14:00:00,2015-02-01 14:00:00,True,109,Chievo,l,105,Napoli,0.590066,16.0,1,236,32,4,0.593,l,0.590066,1.57003,12.0,2,229,23,9,1.57003,5.76,3.82,1.71
Serie_A 2014_109_204_2015-02-11 17:00:00,2015-02-11 17:00:00,False,109,Chievo,w,204,Parma,1.72203,14.0,1,163,45,5,2.1636,w,1.72203,0.742016,10.0,0,186,42,2,0.742016,2.98,3.29,2.63
Serie_A 2014_102_109_2015-02-15 17:00:00,2015-02-15 17:00:00,True,109,Chievo,w,102,Sampdoria,0.745644,8.0,2,364,22,3,1.2444,w,0.745644,0.839752,13.0,1,139,26,5,0.839752,2.82,3.11,2.9
Serie_A 2014_108_109_2015-02-22 14:00:00,2015-02-22 14:00:00,False,109,Chievo,l,108,Empoli,0.286685,10.0,0,297,23,3,0.1635,l,0.286685,2.17179,15.0,3,143,17,9,2.17179,4.64,3.28,2.0
