match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2014_100_102_2014-08-31 19:45:00,2014-08-31 19:45:00,False,102,Sampdoria,d,100,Palermo,0.803464,10.0,1,180,27,4,1.2027,d,0.803464,0.922943,8.0,1,243,19,5,0.922943,3.7,3.29,2.24
Serie_A 2014_102_113_2014-09-14 11:30:00,2014-09-14 11:30:00,True,102,Sampdoria,w,113,Torino,0.421195,8.0,2,300,28,3,1.2762,w,0.421195,0.389513,10.0,0,207,20,3,0.389513,2.5,3.22,3.24
Serie_A 2014_102_104_2014-09-21 14:00:00,2014-09-21 14:00:00,False,102,Sampdoria,d,104,Sassuolo,0.654804,12.0,0,192,27,6,1.2961,d,0.654804,0.656603,14.0,0,185,20,2,0.656603,2.88,3.31,2.7
Serie_A 2014_102_109_2014-09-24 19:45:00,2014-09-24 19:45:00,True,102,Sampdoria,w,109,Chievo,1.78275,16.0,2,133,47,5,2.5969,w,1.78275,0.270687,5.0,1,215,36,2,0.270687,1.94,3.42,4.71
Serie_A 2014_101_102_2014-09-28 19:45:00,2014-09-28 19:45:00,False,102,Sampdoria,w,101,Genoa,0.252545,10.0,1,132,39,1,1.2334,w,0.252545,0.203654,7.0,0,181,26,4,0.203654,2.71,3.17,2.98
Serie_A 2014_102_107_2014-10-05 14:00:00,2014-10-05 14:00:00,True,102,Sampdoria,w,107,Atalanta,1.31389,16.0,1,293,25,4,1.9776,w,1.31389,0.586952,8.0,0,203,25,12,0.586952,1.93,3.51,4.62
Serie_A 2014_102_116_2014-10-19 14:00:00,2014-10-19 14:00:00,False,102,Sampdoria,d,116,Cagliari,2.72172,13.0,2,229,18,3,2.3491,d,2.72172,1.51712,13.0,2,186,27,3,0.755825,2.98,3.27,2.64
Serie_A 2014_102_95_2014-10-25 19:45:00,2014-10-25 19:45:00,True,102,Sampdoria,d,95,Roma,1.22488,9.0,0,306,20,4,1.3801,d,1.22488,1.23266,20.0,0,161,20,5,1.23266,4.22,3.4,2.04
Serie_A 2014_102_106_2014-10-29 19:45:00,2014-10-29 19:45:00,False,102,Sampdoria,l,106,Inter,0.529139,10.0,0,325,32,2,0.2464,l,0.529139,2.31775,17.0,1,181,27,10,1.55645,5.09,3.69,1.81
Serie_A 2014_102_110_2014-11-02 14:00:00,2014-11-02 14:00:00,True,102,Sampdoria,w,110,Fiorentina,1.8671,12.0,3,231,21,4,1.7214,w,1.1058,1.44975,16.0,1,119,31,13,0.688447,3.04,3.27,2.59
Serie_A 2014_102_111_2014-11-08 19:45:00,2014-11-08 19:45:00,True,102,Sampdoria,d,111,AC Milan,2.20963,19.0,2,247,18,6,2.3041,d,2.20963,1.08993,10.0,2,211,24,6,0.328629,2.74,3.37,2.8
Serie_A 2014_102_203_2014-11-23 14:00:00,2014-11-23 14:00:00,False,102,Sampdoria,d,203,Cesena,1.41176,19.0,1,189,28,13,1.6573000000000002,d,1.41176,1.01428,8.0,1,204,22,1,1.01428,1.98,3.33,4.64
Serie_A 2014_102_105_2014-12-01 20:00:00,2014-12-01 20:00:00,True,102,Sampdoria,d,105,Napoli,0.858518,14.0,1,219,28,3,1.3037999999999998,d,0.858518,0.902433,14.0,1,150,25,4,0.902433,3.73,3.42,2.18
Serie_A 2014_102_94_2014-12-08 20:00:00,2014-12-08 20:00:00,False,102,Sampdoria,w,94,Verona,2.97687,13.0,3,151,24,6,2.3424,w,2.21557,1.57373,15.0,1,272,23,5,1.57373,2.81,3.28,2.78
Serie_A 2014_102_98_2014-12-14 11:30:00,2014-12-14 11:30:00,False,102,Sampdoria,d,98,Juventus,0.247506,10.0,1,315,21,3,0.3448,d,0.247506,1.63876,19.0,1,166,34,12,1.63876,12.3,5.33,1.33
Serie_A 2014_102_99_2014-12-21 14:00:00,2014-12-21 14:00:00,True,102,Sampdoria,d,99,Udinese,1.18398,20.0,2,93,24,11,1.1036,d,1.18398,1.48755,8.0,2,237,22,5,1.48755,1.88,3.57,4.82
