match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2017_102_222_2017-08-20 19:45:00,2017-08-20 19:45:00,False,222,Benevento,l,102,Sampdoria,1.05409,18.0,1,402,22,3,0.2611,l,1.05409,2.84573,16.0,2,198,30,11,2.84573,5.63,3.96,1.69
Serie_A 2017_222_97_2017-08-26 17:00:00,2017-08-26 17:00:00,True,222,Benevento,l,97,Bologna,0.798588,15.0,0,270,30,11,0.5646,l,0.798588,1.79492,14.0,1,220,19,1,1.79492,2.83,3.26,2.78
Serie_A 2017_113_222_2017-09-10 17:00:00,2017-09-10 17:00:00,True,222,Benevento,l,113,Torino,1.20053,15.0,0,298,25,4,1.5228000000000002,l,1.20053,0.999531,16.0,1,138,24,10,0.999531,4.62,3.89,1.83
Serie_A 2017_105_222_2017-09-17 14:00:00,2017-09-17 14:00:00,False,222,Benevento,l,105,Napoli,0.211585,6.0,0,569,7,1,0.0018,l,0.211585,5.46073,27.0,6,245,31,13,3.93814,23.39,10.76,1.13
Serie_A 2017_222_95_2017-09-20 17:00:00,2017-09-20 17:00:00,True,222,Benevento,l,95,Roma,0.717607,16.0,0,350,18,5,0.3501999999999999,l,0.717607,2.23834,21.0,4,219,36,10,2.23834,10.33,5.62,1.34
Serie_A 2017_115_222_2017-09-24 14:00:00,2017-09-24 14:00:00,False,222,Benevento,l,115,Crotone,1.97551,16.0,0,189,20,3,1.7546999999999997,l,1.21421,1.48495,17.0,2,224,31,4,1.48495,4.21,3.46,2.03
Serie_A 2017_106_222_2017-10-01 14:00:00,2017-10-01 14:00:00,True,222,Benevento,l,106,Inter,1.28824,11.0,1,331,16,2,0.9188,l,1.28824,1.95792,22.0,2,226,20,11,1.95792,11.86,6.24,1.29
Serie_A 2017_222_94_2017-10-16 19:45:00,2017-10-16 19:45:00,False,222,Benevento,l,94,Verona,0.262024,8.0,0,273,20,3,0.4629999999999999,l,0.262024,1.23201,13.0,1,229,30,3,1.23201,4.35,3.6,1.95
Serie_A 2017_110_222_2017-10-22 14:00:00,2017-10-22 14:00:00,True,222,Benevento,l,110,Fiorentina,0.182665,9.0,0,269,32,1,0.0685,l,0.182665,2.49371,14.0,3,277,30,9,1.73241,5.88,4.18,1.64
Serie_A 2017_116_222_2017-10-25 19:45:00,2017-10-25 19:45:00,False,222,Benevento,l,116,Cagliari,1.30579,9.0,1,216,22,1,0.8728,l,0.544493,1.89299,13.0,2,388,34,2,1.13169,6.94,4.6,1.52
Serie_A 2017_222_96_2017-10-29 11:30:00,2017-10-29 11:30:00,True,222,Benevento,l,96,Lazio,0.603107,19.0,1,338,17,3,0.1049,l,0.603107,2.92387,12.0,5,309,23,11,2.92387,13.66,6.14,1.28
Serie_A 2017_222_98_2017-11-05 14:00:00,2017-11-05 14:00:00,False,222,Benevento,l,98,Juventus,0.114939,3.0,1,295,11,0,0.0457,l,0.114939,3.09066,27.0,2,204,22,10,3.09066,41.0,19.0,1.06
Serie_A 2017_104_222_2017-11-19 14:00:00,2017-11-19 14:00:00,True,222,Benevento,l,104,Sassuolo,1.11066,13.0,1,199,23,4,0.3764,l,1.11066,2.70254,15.0,2,245,19,3,1.94124,3.63,3.53,2.17
Serie_A 2017_107_222_2017-11-27 19:45:00,2017-11-27 19:45:00,False,222,Benevento,l,107,Atalanta,0.501253,6.0,0,258,16,2,0.5337000000000001,l,0.501253,1.56055,14.0,1,112,23,16,1.56055,16.24,6.76,1.23
Serie_A 2017_111_222_2017-12-03 11:30:00,2017-12-03 11:30:00,True,222,Benevento,d,111,AC Milan,1.20398,17.0,2,252,16,11,0.903,d,1.20398,1.74779,12.0,2,210,16,9,1.74779,9.18,5.3,1.38
