match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2017_116_98_2017-08-19 17:00:00,2017-08-19 17:00:00,False,116,Cagliari,l,98,Juventus,1.39829,5.0,0,433,26,5,1.5366,l,0.636992,1.27155,17.0,3,239,24,9,1.27155,24.44,8.29,1.16
Serie_A 2017_111_116_2017-08-27 19:45:00,2017-08-27 19:45:00,False,116,Cagliari,l,111,AC Milan,0.559323,14.0,1,232,22,8,0.5979,l,0.559323,1.42114,15.0,2,266,27,2,1.42114,14.02,6.76,1.25
Serie_A 2017_115_116_2017-09-10 14:00:00,2017-09-10 14:00:00,True,116,Cagliari,w,115,Crotone,1.22886,13.0,1,167,29,9,2.1768,w,1.22886,0.316314,9.0,0,285,28,3,0.316314,1.69,3.87,5.83
Serie_A 2017_116_221_2017-09-17 14:00:00,2017-09-17 14:00:00,False,116,Cagliari,w,221,SPAL 2013,1.09462,11.0,2,226,24,7,1.8298,w,1.09462,0.551736,12.0,0,245,21,9,0.551736,3.15,3.45,2.43
Serie_A 2017_104_116_2017-09-20 19:45:00,2017-09-20 19:45:00,True,116,Cagliari,l,104,Sassuolo,2.25874,17.0,0,193,33,8,1.1065999999999998,l,2.25874,2.62921,14.0,1,253,27,3,1.10661,2.17,3.53,3.64
Serie_A 2017_109_116_2017-09-24 14:00:00,2017-09-24 14:00:00,True,116,Cagliari,l,109,Chievo,1.01627,15.0,0,165,29,7,1.0364,l,1.01627,1.41724,16.0,2,259,35,12,1.41724,2.28,3.43,3.46
Serie_A 2017_105_116_2017-10-01 11:30:00,2017-10-01 11:30:00,False,116,Cagliari,l,105,Napoli,0.10693,4.0,0,525,9,1,0.0414,l,0.10693,2.97407,25.0,3,226,19,15,2.21277,21.97,10.55,1.14
Serie_A 2017_101_116_2017-10-15 14:00:00,2017-10-15 14:00:00,True,116,Cagliari,l,101,Genoa,1.2394,12.0,2,172,16,2,0.8266,l,0.478097,1.97903,18.0,3,287,17,10,1.97903,2.37,3.33,3.35
Serie_A 2017_116_96_2017-10-22 19:45:00,2017-10-22 19:45:00,False,116,Cagliari,l,96,Lazio,0.637448,12.0,0,331,24,3,0.367,l,0.637448,2.06641,10.0,3,297,16,4,1.30524,11.97,6.28,1.29
Serie_A 2017_116_222_2017-10-25 19:45:00,2017-10-25 19:45:00,True,116,Cagliari,w,222,Benevento,1.89299,13.0,2,388,34,2,1.8424,w,1.13169,1.30579,9.0,1,216,22,1,0.544493,1.52,4.6,6.94
Serie_A 2017_113_116_2017-10-29 19:45:00,2017-10-29 19:45:00,False,116,Cagliari,l,113,Torino,0.685883,7.0,1,232,25,4,0.2460999999999999,l,0.685883,2.64656,19.0,2,220,15,8,2.64656,5.25,4.44,1.65
Serie_A 2017_116_94_2017-11-05 14:00:00,2017-11-05 14:00:00,True,116,Cagliari,w,94,Verona,2.37656,22.0,2,140,15,14,2.4981,w,1.61542,0.773273,9.0,1,268,15,2,0.773273,1.9,3.67,4.53
Serie_A 2017_116_99_2017-11-19 14:00:00,2017-11-19 14:00:00,False,116,Cagliari,w,99,Udinese,1.14946,12.0,1,261,18,5,1.7741,w,1.14946,0.677196,14.0,0,229,13,11,0.677196,4.12,3.57,2.01
Serie_A 2017_106_116_2017-11-25 19:45:00,2017-11-25 19:45:00,True,116,Cagliari,l,106,Inter,1.1677,15.0,1,330,32,3,1.2798,l,1.1677,1.21177,10.0,3,227,25,7,1.21177,5.46,4.16,1.68
Serie_A 2017_116_97_2017-12-03 14:00:00,2017-12-03 14:00:00,False,116,Cagliari,d,97,Bologna,1.13076,8.0,1,332,27,6,1.2975,d,1.13076,1.20764,13.0,1,156,32,8,1.20764,4.07,3.47,2.06
Serie_A 2017_102_116_2017-12-09 17:00:00,2017-12-09 17:00:00,True,116,Cagliari,d,102,Sampdoria,1.24898,14.0,2,222,20,7,1.0504,d,1.24898,1.65409,16.0,2,220,22,8,1.65409,2.62,3.56,2.8
