match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2017_111_115_2017-08-20 19:45:00,2017-08-20 19:45:00,True,115,Crotone,l,111,AC Milan,0.302867,6.0,0,420,11,3,0.1951,l,0.302867,2.0921,19.0,3,76,18,18,1.3308,6.04,4.2,1.62
Serie_A 2017_115_94_2017-08-27 19:45:00,2017-08-27 19:45:00,True,115,Crotone,d,94,Verona,0.74833,13.0,0,306,28,5,1.8067,d,0.74833,0.227079,5.0,0,130,15,3,0.227079,2.55,3.22,3.15
Serie_A 2017_115_116_2017-09-10 14:00:00,2017-09-10 14:00:00,False,115,Crotone,l,116,Cagliari,0.316314,9.0,0,285,28,3,0.5397,l,0.316314,1.22886,13.0,1,167,29,9,1.22886,5.83,3.87,1.69
Serie_A 2017_106_115_2017-09-16 14:00:00,2017-09-16 14:00:00,True,115,Crotone,l,106,Inter,1.01223,12.0,0,375,21,1,1.5585,l,1.01223,0.736631,7.0,2,112,15,7,0.736631,10.12,5.36,1.36
Serie_A 2017_107_115_2017-09-20 19:45:00,2017-09-20 19:45:00,False,115,Crotone,l,107,Atalanta,0.333622,7.0,1,420,23,5,0.0865,l,0.333622,2.78559,14.0,5,283,21,6,2.02429,11.46,5.05,1.36
Serie_A 2017_115_222_2017-09-24 14:00:00,2017-09-24 14:00:00,True,115,Crotone,w,222,Benevento,1.48495,17.0,2,224,31,4,0.9921,w,1.48495,1.97551,16.0,0,189,20,3,1.21421,2.03,3.46,4.21
Serie_A 2017_115_221_2017-10-01 14:00:00,2017-10-01 14:00:00,False,115,Crotone,d,221,SPAL 2013,0.539744,13.0,1,290,24,4,0.1108,d,0.539744,2.51356,17.0,1,145,26,11,2.51356,4.52,3.46,1.95
Serie_A 2017_113_115_2017-10-15 14:00:00,2017-10-15 14:00:00,True,115,Crotone,d,113,Torino,0.389049,9.0,2,303,23,5,0.2745,d,0.389049,2.00671,21.0,2,121,24,10,2.00671,4.07,3.54,2.03
Serie_A 2017_102_115_2017-10-21 17:00:00,2017-10-21 17:00:00,False,115,Crotone,l,102,Sampdoria,0.589592,8.0,0,577,37,7,0.2261,l,0.589592,2.28786,6.0,5,196,26,5,1.52656,6.86,4.32,1.56
Serie_A 2017_115_95_2017-10-25 19:45:00,2017-10-25 19:45:00,False,115,Crotone,l,95,Roma,0.435674,3.0,0,426,13,2,0.1829,l,0.435674,2.40967,20.0,1,136,20,9,1.64837,18.0,8.3,1.18
Serie_A 2017_110_115_2017-10-29 14:00:00,2017-10-29 14:00:00,True,115,Crotone,w,110,Fiorentina,0.985009,11.0,2,259,27,4,1.5493,w,0.985009,0.764825,17.0,1,107,17,6,0.764825,5.6,3.95,1.7
Serie_A 2017_115_97_2017-11-04 17:00:00,2017-11-04 17:00:00,False,115,Crotone,w,97,Bologna,2.02039,10.0,3,313,15,5,2.2724,w,1.25909,0.953537,15.0,2,129,23,9,0.953537,5.7,3.5,1.79
