match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2018_107_112_2018-08-20 21:30:00,2018-08-20 21:30:00,True,107,Atalanta,w,112,Frosinone,2.66879,16.0,4,238,28,10,2.8011,w,2.66879,0.348766,6.0,0,282,12,5,0.348766,1.35,5.01,10.76
Serie_A 2018_107_95_2018-08-27 21:30:00,2018-08-27 21:30:00,False,107,Atalanta,d,95,Roma,2.35383,17.0,3,277,21,8,1.4601,d,2.35383,2.22995,21.0,3,189,23,6,2.22995,4.98,4.13,1.72
Serie_A 2018_107_116_2018-09-02 18:30:00,2018-09-02 18:30:00,True,107,Atalanta,l,116,Cagliari,0.323806,8.0,0,257,21,10,1.2873,l,0.323806,0.250446,4.0,1,252,21,1,0.250446,1.55,4.24,6.91
Serie_A 2018_107_221_2018-09-17 18:30:00,2018-09-17 18:30:00,False,107,Atalanta,l,221,SPAL 2013,0.789043,13.0,0,172,34,9,0.5551999999999999,l,0.789043,1.79209,13.0,2,255,24,5,1.79209,1.92,3.53,4.51
Serie_A 2018_107_111_2018-09-23 16:00:00,2018-09-23 16:00:00,False,107,Atalanta,d,111,AC Milan,2.08573,13.0,2,336,22,6,1.1984,d,2.08573,2.35124,14.0,2,241,10,4,2.35124,3.94,3.44,2.06
Serie_A 2018_107_113_2018-09-26 19:00:00,2018-09-26 19:00:00,True,107,Atalanta,d,113,Torino,0.672669,11.0,0,162,28,4,1.7373,d,0.672669,0.22405,3.0,0,242,23,1,0.22405,1.83,3.84,4.52
Serie_A 2018_107_110_2018-09-30 13:00:00,2018-09-30 13:00:00,False,107,Atalanta,l,110,Fiorentina,0.681489,11.0,0,128,16,7,0.9187,l,0.681489,1.0206,6.0,2,311,20,1,0.259304,3.3,3.57,2.27
Serie_A 2018_102_107_2018-10-07 13:00:00,2018-10-07 13:00:00,True,107,Atalanta,l,102,Sampdoria,2.18092,15.0,0,250,36,9,2.6324,l,2.18092,0.438067,6.0,1,313,21,4,0.438067,1.66,4.03,5.58
Serie_A 2018_107_109_2018-10-21 13:00:00,2018-10-21 13:00:00,False,107,Atalanta,w,109,Chievo,2.17454,15.0,5,271,24,16,2.4598,w,2.17454,0.856479,3.0,1,343,24,0,0.09518,1.65,4.1,5.61
Serie_A 2018_107_230_2018-10-27 13:00:00,2018-10-27 13:00:00,True,107,Atalanta,w,230,Parma Calcio 1913,2.98455,21.0,3,157,29,10,2.3903,w,2.98455,1.37628,9.0,0,287,13,1,1.37628,1.36,5.37,8.84
Serie_A 2018_107_97_2018-11-04 17:00:00,2018-11-04 17:00:00,False,107,Atalanta,w,97,Bologna,1.85595,12.0,2,132,23,18,1.3668,w,1.85595,1.82444,9.0,1,294,17,9,1.82444,1.75,3.97,4.87
Serie_A 2018_106_107_2018-11-11 11:30:00,2018-11-11 11:30:00,True,107,Atalanta,w,106,Inter,4.13272,16.0,4,271,21,14,2.817,w,4.13272,1.32091,6.0,1,245,27,7,0.55961,2.78,3.46,2.66
Serie_A 2018_107_108_2018-11-25 14:00:00,2018-11-25 14:00:00,False,107,Atalanta,l,108,Empoli,2.02122,8.0,2,200,20,4,1.0923999999999998,l,2.02122,2.43156,12.0,3,307,18,5,1.6703,1.74,4.02,4.89
Serie_A 2018_105_107_2018-12-03 19:30:00,2018-12-03 19:30:00,True,107,Atalanta,l,105,Napoli,1.15743,9.0,1,271,24,6,0.8825000000000001,l,1.15743,1.78405,9.0,2,341,26,9,1.78405,3.44,3.57,2.2
Serie_A 2018_107_99_2018-12-09 14:00:00,2018-12-09 14:00:00,False,107,Atalanta,w,99,Udinese,2.26187,12.0,3,171,15,9,2.3923,w,2.26187,0.901408,5.0,1,417,20,2,0.901408,1.85,3.7,4.57
Serie_A 2018_107_96_2018-12-17 19:30:00,2018-12-17 19:30:00,True,107,Atalanta,w,96,Lazio,0.761338,4.0,1,243,27,1,1.4255,w,0.761338,0.684222,11.0,0,169,32,13,0.684222,2.19,3.64,3.4
Serie_A 2018_101_107_2018-12-22 14:00:00,2018-12-22 14:00:00,False,107,Atalanta,l,101,Genoa,2.66258,10.0,1,116,21,7,2.3117,l,1.13998,1.39715,15.0,3,213,23,7,1.39715,1.96,3.68,4.08
Serie_A 2018_107_98_2018-12-26 14:00:00,2018-12-26 14:00:00,True,107,Atalanta,d,98,Juventus,1.74784,10.0,2,211,27,11,1.9132,d,1.74784,1.05099,10.0,2,246,16,3,1.05099,5.05,3.58,1.82
Serie_A 2018_104_107_2018-12-29 14:00:00,2018-12-29 14:00:00,False,107,Atalanta,w,104,Sassuolo,3.42383,13.0,6,218,27,6,2.6622,w,3.42383,1.07104,13.0,2,288,31,5,1.07104,2.17,3.58,3.5
Serie_A 2018_107_112_2019-01-20 11:30:00,2019-01-20 11:30:00,False,107,Atalanta,w,112,Frosinone,2.5448,14.0,5,184,18,15,2.6416,w,2.5448,0.570805,5.0,0,399,17,1,0.570805,1.44,5.0,7.17
Serie_A 2018_107_95_2019-01-27 14:00:00,2019-01-27 14:00:00,True,107,Atalanta,d,95,Roma,2.35929,14.0,3,215,30,15,1.725,d,1.59799,1.86431,7.0,3,352,24,7,1.86431,2.18,3.75,3.32
Serie_A 2018_107_116_2019-02-04 20:00:00,2019-02-04 20:00:00,False,107,Atalanta,w,116,Cagliari,0.834328,10.0,1,255,22,1,1.1073,w,0.834328,1.00381,8.0,0,372,34,2,1.00381,1.67,4.21,5.16
Serie_A 2018_107_221_2019-02-10 14:00:00,2019-02-10 14:00:00,True,107,Atalanta,w,221,SPAL 2013,2.07366,8.0,2,183,25,15,2.1844,w,2.07366,1.02091,5.0,1,308,20,5,1.02091,1.3,5.88,10.5
Serie_A 2018_107_111_2019-02-16 19:30:00,2019-02-16 19:30:00,True,107,Atalanta,l,111,AC Milan,1.01245,12.0,1,239,42,7,1.4438,l,1.01245,0.880241,6.0,3,324,19,2,0.880241,2.04,3.55,3.92
Serie_A 2018_107_113_2019-02-23 14:00:00,2019-02-23 14:00:00,False,107,Atalanta,l,113,Torino,1.13231,9.0,0,137,26,7,1.0772,l,1.13231,1.50859,11.0,2,276,36,2,1.50859,2.29,3.4,3.38
Serie_A 2018_107_110_2019-03-03 17:00:00,2019-03-03 17:00:00,True,107,Atalanta,w,110,Fiorentina,1.85788,17.0,3,146,22,6,2.4712,w,1.85788,0.412512,7.0,1,224,36,0,0.412512,1.92,3.83,4.11
Serie_A 2018_102_107_2019-03-10 14:00:00,2019-03-10 14:00:00,False,107,Atalanta,w,102,Sampdoria,1.89116,13.0,2,255,18,9,1.3171,w,1.89116,1.95045,11.0,1,255,20,6,1.18915,2.13,3.53,3.66
Serie_A 2018_107_109_2019-03-17 14:00:00,2019-03-17 14:00:00,True,107,Atalanta,d,109,Chievo,1.50473,11.0,1,104,20,10,2.0246,d,1.50473,0.758033,6.0,1,411,31,4,0.758033,1.25,6.16,13.64
Serie_A 2018_107_230_2019-03-31 11:30:00,2019-03-31 11:30:00,False,107,Atalanta,w,230,Parma Calcio 1913,3.88951,18.0,3,146,24,14,2.8466,w,3.88951,0.989022,6.0,1,319,17,2,0.989022,1.57,4.34,6.16
