match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2018_221_97_2018-08-19 21:30:00,2018-08-19 21:30:00,True,97,Bologna,l,221,SPAL 2013,0.906945,8.0,0,296,33,3,1.7178,l,0.906945,0.526925,10.0,1,168,21,3,0.526925,2.32,3.16,3.58
Serie_A 2018_112_97_2018-08-26 21:30:00,2018-08-26 21:30:00,False,97,Bologna,d,112,Frosinone,0.924593,10.0,0,293,30,6,0.6728000000000001,d,0.924593,1.77944,11.0,0,211,23,3,1.77944,2.4,3.38,3.2
Serie_A 2018_106_97_2018-09-01 16:00:00,2018-09-01 16:00:00,True,97,Bologna,l,106,Inter,0.494365,7.0,0,466,14,1,0.2066,l,0.494365,2.45978,10.0,3,159,17,8,2.45978,6.79,3.99,1.59
Serie_A 2018_101_97_2018-09-16 13:00:00,2018-09-16 13:00:00,False,97,Bologna,l,101,Genoa,0.667504,8.0,0,208,20,2,1.4734,l,0.667504,0.488376,10.0,1,216,15,3,0.488376,4.51,3.37,1.97
Serie_A 2018_95_97_2018-09-23 13:00:00,2018-09-23 13:00:00,True,97,Bologna,w,95,Roma,0.885381,7.0,2,295,8,2,0.1732,w,0.885381,3.20497,20.0,0,126,19,7,3.20497,5.57,3.76,1.71
Serie_A 2018_97_98_2018-09-26 19:00:00,2018-09-26 19:00:00,False,97,Bologna,l,98,Juventus,0.325971,5.0,0,497,16,1,0.7918000000000001,l,0.325971,0.851257,15.0,2,126,26,9,0.851257,23.18,8.13,1.16
Serie_A 2018_97_99_2018-09-30 10:30:00,2018-09-30 10:30:00,True,97,Bologna,w,99,Udinese,1.36167,11.0,2,260,23,10,1.6503,w,1.36167,0.997014,10.0,1,221,17,6,0.997014,2.71,3.06,3.03
Serie_A 2018_116_97_2018-10-06 13:00:00,2018-10-06 13:00:00,False,97,Bologna,l,116,Cagliari,0.381595,10.0,0,228,21,4,0.2598,l,0.381595,1.90878,8.0,2,223,14,3,1.90878,4.05,3.3,2.1
Serie_A 2018_113_97_2018-10-21 13:00:00,2018-10-21 13:00:00,True,97,Bologna,d,113,Torino,1.49515,6.0,2,231,20,3,2.1741,d,1.49515,0.697863,12.0,2,202,24,6,0.697863,3.51,3.35,2.26
Serie_A 2018_104_97_2018-10-28 10:30:00,2018-10-28 10:30:00,False,97,Bologna,d,104,Sassuolo,1.50755,10.0,2,339,25,4,0.9953,d,1.50755,1.93718,11.0,2,97,24,9,1.17588,4.57,3.39,1.95
Serie_A 2018_107_97_2018-11-04 17:00:00,2018-11-04 17:00:00,True,97,Bologna,l,107,Atalanta,1.82444,9.0,1,294,17,9,1.3713,l,1.82444,1.85595,12.0,2,132,23,18,1.85595,4.87,3.97,1.75
Serie_A 2018_109_97_2018-11-11 14:00:00,2018-11-11 14:00:00,False,97,Bologna,d,109,Chievo,1.84423,12.0,2,233,33,1,1.0593,d,1.84423,2.24645,12.0,2,221,17,8,1.48515,2.69,3.17,2.96
Serie_A 2018_110_97_2018-11-25 14:00:00,2018-11-25 14:00:00,True,97,Bologna,d,110,Fiorentina,0.327249,8.0,0,238,20,3,0.3707,d,0.327249,1.62497,11.0,0,165,21,8,1.62497,3.95,3.36,2.11
Serie_A 2018_102_97_2018-12-01 19:30:00,2018-12-01 19:30:00,False,97,Bologna,l,102,Sampdoria,0.988383,8.0,1,293,33,6,0.7862,l,0.988383,1.6716,8.0,4,286,24,7,1.6716,4.55,3.34,1.97
Serie_A 2018_108_97_2018-12-09 14:00:00,2018-12-09 14:00:00,False,97,Bologna,l,108,Empoli,2.08455,14.0,1,223,20,6,1.1296,l,2.08455,2.37132,9.0,2,319,16,9,2.37132,4.07,3.58,1.99
Serie_A 2018_111_97_2018-12-18 19:30:00,2018-12-18 19:30:00,True,97,Bologna,d,111,AC Milan,0.372931,7.0,0,403,20,3,0.9807,d,0.372931,0.666236,11.0,0,157,21,5,0.666236,4.26,3.42,2.0
Serie_A 2018_230_97_2018-12-22 14:00:00,2018-12-22 14:00:00,False,97,Bologna,d,230,Parma Calcio 1913,0.265885,5.0,0,305,16,1,0.7394000000000001,d,0.265885,0.777805,7.0,0,178,25,4,0.777805,3.2,3.11,2.56
Serie_A 2018_96_97_2018-12-26 14:00:00,2018-12-26 14:00:00,True,97,Bologna,l,96,Lazio,0.183858,6.0,0,295,22,2,0.3181,l,0.183858,1.47469,11.0,2,221,29,12,1.47469,4.96,3.94,1.75
Serie_A 2018_105_97_2018-12-29 17:00:00,2018-12-29 17:00:00,False,97,Bologna,l,105,Napoli,0.742372,10.0,2,321,10,3,0.5507000000000001,l,0.742372,1.87321,14.0,3,193,31,7,1.87321,12.9,5.97,1.27
Serie_A 2018_221_97_2019-01-20 14:00:00,2019-01-20 14:00:00,False,97,Bologna,d,221,SPAL 2013,1.44041,12.0,1,224,33,6,1.3657,d,1.44041,1.41322,13.0,1,178,24,4,1.41322,3.37,3.03,2.52
Serie_A 2018_112_97_2019-01-27 14:00:00,2019-01-27 14:00:00,True,97,Bologna,l,112,Frosinone,0.817511,8.0,0,345,34,10,0.7223999999999999,l,0.817511,1.58053,4.0,4,232,17,2,1.58053,1.65,3.92,6.0
Serie_A 2018_106_97_2019-02-03 17:00:00,2019-02-03 17:00:00,False,97,Bologna,w,106,Inter,0.632144,8.0,1,301,15,4,1.0255,w,0.632144,0.997676,12.0,0,181,29,5,0.997676,12.58,5.39,1.3
Serie_A 2018_101_97_2019-02-10 11:30:00,2019-02-10 11:30:00,True,97,Bologna,d,101,Genoa,1.35689,7.0,1,159,26,10,1.3676,d,1.35689,1.36058,9.0,1,290,33,4,1.36058,2.28,3.31,3.52
Serie_A 2018_95_97_2019-02-18 19:30:00,2019-02-18 19:30:00,False,97,Bologna,l,95,Roma,2.36382,14.0,1,173,25,5,1.7823,l,2.36382,1.75554,9.0,2,182,26,10,0.994237,7.57,4.8,1.44
Serie_A 2018_97_98_2019-02-24 14:00:00,2019-02-24 14:00:00,True,97,Bologna,l,98,Juventus,1.2656,13.0,0,242,29,9,2.0205,l,1.2656,0.59336,5.0,1,215,27,2,0.59336,7.68,4.34,1.49
Serie_A 2018_97_99_2019-03-03 14:00:00,2019-03-03 14:00:00,False,97,Bologna,l,99,Udinese,1.74101,11.0,1,100,31,8,1.3391,l,1.74101,1.75105,11.0,2,218,34,1,0.989752,2.9,3.01,2.87
Serie_A 2018_116_97_2019-03-10 11:30:00,2019-03-10 11:30:00,True,97,Bologna,w,116,Cagliari,3.33422,17.0,2,245,26,8,2.8725,w,2.57292,0.528818,7.0,0,168,24,7,0.528818,1.95,3.38,4.57
Serie_A 2018_113_97_2019-03-16 19:30:00,2019-03-16 19:30:00,False,97,Bologna,w,113,Torino,1.9758,8.0,3,177,20,4,1.8238,w,1.2145,1.44972,16.0,2,142,28,9,1.44972,4.51,3.22,2.02
Serie_A 2018_104_97_2019-03-31 16:00:00,2019-03-31 16:00:00,True,97,Bologna,w,104,Sassuolo,2.03348,11.0,2,213,23,6,2.4018,w,1.27218,0.712006,5.0,1,132,30,4,0.712006,2.14,3.42,3.77
Serie_A 2018_107_97_2019-04-04 20:00:00,2019-04-04 20:00:00,False,97,Bologna,l,107,Atalanta,1.12985,8.0,1,272,24,5,1.0156,l,1.12985,1.57662,12.0,4,289,40,5,1.57662,6.93,4.48,1.51
Serie_A 2018_109_97_2019-04-08 19:30:00,2019-04-08 19:30:00,True,97,Bologna,w,109,Chievo,3.1019,14.0,3,157,30,6,2.8387,w,1.5793,0.672578,4.0,0,307,21,2,0.672578,1.51,4.2,7.73
Serie_A 2018_110_97_2019-04-14 14:00:00,2019-04-14 14:00:00,False,97,Bologna,d,110,Fiorentina,0.145765,5.0,0,232,15,1,0.5944,d,0.145765,0.792762,14.0,0,192,23,3,0.792762,4.44,3.48,1.94
Serie_A 2018_102_97_2019-04-20 14:00:00,2019-04-20 14:00:00,True,97,Bologna,w,102,Sampdoria,0.999562,12.0,3,272,32,4,1.6912,w,0.999562,0.638254,9.0,0,158,23,7,0.638254,2.25,3.45,3.43
Serie_A 2018_108_97_2019-04-27 14:00:00,2019-04-27 14:00:00,True,97,Bologna,w,108,Empoli,1.55302,17.0,3,237,40,16,2.3318000000000003,w,1.55302,0.353443,4.0,1,182,21,4,0.353443,1.8,3.92,4.6
Serie_A 2018_111_97_2019-05-06 19:30:00,2019-05-06 19:30:00,False,97,Bologna,l,111,AC Milan,1.26196,14.0,1,225,27,3,1.3644999999999998,l,1.26196,1.25154,13.0,2,197,35,5,1.25154,5.81,3.9,1.66
Serie_A 2018_230_97_2019-05-13 18:00:00,2019-05-13 18:00:00,True,97,Bologna,w,230,Parma Calcio 1913,1.84615,15.0,4,143,16,16,2.3171000000000004,w,1.84615,0.572389,3.0,1,294,16,5,0.572389,1.81,3.19,6.11
Serie_A 2018_96_97_2019-05-20 18:30:00,2019-05-20 18:30:00,False,97,Bologna,d,96,Lazio,2.57708,13.0,3,268,26,6,1.8944,d,2.57708,1.84382,10.0,3,231,16,15,1.84382,3.9,3.37,2.12
Serie_A 2018_105_97_2019-05-25 13:00:00,2019-05-25 13:00:00,True,97,Bologna,w,105,Napoli,0.939859,10.0,3,315,11,3,0.7635,w,0.939859,1.7979,15.0,2,126,19,9,1.7979,4.02,4.15,1.86
