match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2018_104_106_2018-08-19 21:30:00,2018-08-19 21:30:00,False,106,Inter,l,104,Sassuolo,1.20466,11.0,0,210,26,7,1.1661,l,1.20466,1.40451,7.0,1,341,24,5,0.643213,1.61,4.19,5.96
Serie_A 2018_106_113_2018-08-26 21:30:00,2018-08-26 21:30:00,True,106,Inter,d,113,Torino,0.789096,9.0,2,268,27,5,1.1959000000000002,d,0.789096,0.921797,10.0,2,327,19,6,0.921797,1.49,4.66,7.15
Serie_A 2018_106_97_2018-09-01 16:00:00,2018-09-01 16:00:00,False,106,Inter,w,97,Bologna,2.45978,10.0,3,159,17,8,2.684,w,2.45978,0.494365,7.0,0,466,14,1,0.494365,1.59,3.99,6.79
Serie_A 2018_106_230_2018-09-15 13:00:00,2018-09-15 13:00:00,True,106,Inter,l,230,Parma Calcio 1913,1.38542,24.0,0,143,18,11,2.2373,l,1.38542,0.297443,8.0,1,340,17,2,0.297443,1.26,6.03,14.48
Serie_A 2018_102_106_2018-09-22 18:30:00,2018-09-22 18:30:00,False,106,Inter,w,102,Sampdoria,0.802538,14.0,1,266,22,6,1.6872,w,0.802538,0.399584,9.0,0,251,18,7,0.399584,1.85,3.91,4.3
Serie_A 2018_106_110_2018-09-25 19:00:00,2018-09-25 19:00:00,True,106,Inter,w,110,Fiorentina,1.85911,11.0,2,223,29,7,1.4151,w,1.09789,1.78872,11.0,1,217,43,11,1.78872,1.66,3.98,5.66
Serie_A 2018_106_116_2018-09-29 18:30:00,2018-09-29 18:30:00,True,106,Inter,w,116,Cagliari,1.05314,12.0,2,313,27,4,2.2369,w,1.05314,0.144417,4.0,0,285,16,7,0.144417,1.33,5.39,10.27
Serie_A 2018_106_221_2018-10-07 18:30:00,2018-10-07 18:30:00,False,106,Inter,w,221,SPAL 2013,1.34105,6.0,2,294,34,10,0.3476,w,1.34105,3.07945,9.0,1,221,25,2,2.31816,1.68,3.77,5.87
Serie_A 2018_106_111_2018-10-21 18:30:00,2018-10-21 18:30:00,True,106,Inter,w,111,AC Milan,2.09049,14.0,1,272,25,3,2.3917,w,2.09049,0.64662,9.0,0,343,22,2,0.64662,2.4,3.37,3.22
Serie_A 2018_106_96_2018-10-29 18:30:00,2018-10-29 18:30:00,False,106,Inter,w,96,Lazio,1.61907,13.0,3,209,18,8,1.6711,w,1.61907,1.23598,11.0,0,440,29,8,1.23598,3.12,3.46,2.41
Serie_A 2018_101_106_2018-11-03 14:00:00,2018-11-03 14:00:00,True,106,Inter,w,101,Genoa,3.36518,17.0,5,160,18,5,2.9377,w,3.36518,0.257795,8.0,0,371,22,4,0.257795,1.37,5.12,9.13
Serie_A 2018_106_107_2018-11-11 11:30:00,2018-11-11 11:30:00,False,106,Inter,l,107,Atalanta,1.32091,6.0,1,245,27,7,0.1194,l,0.55961,4.13272,16.0,4,271,21,14,4.13272,2.66,3.46,2.78
Serie_A 2018_106_112_2018-11-24 19:30:00,2018-11-24 19:30:00,True,106,Inter,w,112,Frosinone,2.90785,25.0,3,196,23,19,2.8845,w,2.90785,0.196243,5.0,0,475,14,1,0.196243,1.24,6.56,13.32
Serie_A 2018_106_95_2018-12-02 19:30:00,2018-12-02 19:30:00,False,106,Inter,d,95,Roma,2.20984,16.0,2,201,19,8,1.7153,d,2.20984,1.71663,15.0,2,307,18,6,0.955367,2.67,3.51,2.73
Serie_A 2018_106_98_2018-12-07 19:30:00,2018-12-07 19:30:00,False,106,Inter,l,98,Juventus,1.04485,8.0,0,237,30,5,0.9632,l,1.04485,1.48282,14.0,1,274,23,7,1.48282,7.13,3.98,1.56
Serie_A 2018_106_99_2018-12-15 17:00:00,2018-12-15 17:00:00,True,106,Inter,w,99,Udinese,2.20046,15.0,1,232,28,10,2.7354000000000003,w,1.43916,0.32005,7.0,0,400,11,4,0.32005,1.34,5.26,10.32
Serie_A 2018_106_109_2018-12-22 17:00:00,2018-12-22 17:00:00,False,106,Inter,d,109,Chievo,2.14287,9.0,1,203,30,13,2.5203999999999995,d,2.14287,0.607055,6.0,1,400,33,8,0.607055,1.43,4.65,8.49
Serie_A 2018_105_106_2018-12-26 19:30:00,2018-12-26 19:30:00,True,106,Inter,w,105,Napoli,1.06904,9.0,1,290,16,10,1.638,w,1.06904,0.759023,9.0,0,336,25,2,0.759023,2.8,3.36,2.71
Serie_A 2018_106_108_2018-12-29 14:00:00,2018-12-29 14:00:00,False,106,Inter,w,108,Empoli,0.925165,7.0,1,206,16,6,1.8198,w,0.925165,0.431477,7.0,0,401,18,3,0.431477,1.55,4.43,6.24
Serie_A 2018_104_106_2019-01-19 19:30:00,2019-01-19 19:30:00,True,106,Inter,d,104,Sassuolo,1.24057,8.0,0,231,33,7,1.2647000000000002,d,1.24057,1.38113,11.0,0,310,20,4,1.38113,1.43,4.86,7.84
Serie_A 2018_106_113_2019-01-27 17:00:00,2019-01-27 17:00:00,False,106,Inter,l,113,Torino,0.771946,9.0,0,100,23,7,1.4916,l,0.771946,0.618747,7.0,1,286,31,2,0.618747,2.12,3.56,3.66
Serie_A 2018_106_97_2019-02-03 17:00:00,2019-02-03 17:00:00,True,106,Inter,l,97,Bologna,0.997676,12.0,0,181,29,5,1.6324,l,0.997676,0.632144,8.0,1,301,15,4,0.632144,1.3,5.39,12.58
Serie_A 2018_106_230_2019-02-09 19:30:00,2019-02-09 19:30:00,False,106,Inter,w,230,Parma Calcio 1913,1.89919,13.0,1,157,25,22,2.4713,w,1.89919,0.466673,6.0,0,280,26,2,0.466673,1.72,4.02,5.02
Serie_A 2018_102_106_2019-02-17 17:00:00,2019-02-17 17:00:00,True,106,Inter,w,102,Sampdoria,1.92524,14.0,2,253,32,6,2.0886,w,1.92524,0.963167,6.0,1,261,25,10,0.963167,1.59,4.02,6.53
Serie_A 2018_106_110_2019-02-24 19:30:00,2019-02-24 19:30:00,False,106,Inter,d,110,Fiorentina,1.57732,7.0,3,171,21,2,1.3817,d,0.816063,1.51786,10.0,3,191,18,10,0.756564,2.76,3.27,2.81
Serie_A 2018_106_116_2019-03-01 19:30:00,2019-03-01 19:30:00,False,106,Inter,l,116,Cagliari,2.08951,19.0,1,182,18,7,1.365,l,2.08951,2.08181,12.0,2,309,28,6,1.32051,1.77,3.63,5.36
Serie_A 2018_106_221_2019-03-10 14:00:00,2019-03-10 14:00:00,True,106,Inter,w,221,SPAL 2013,0.742227,10.0,2,203,24,3,1.8838,w,0.742227,0.167568,2.0,0,258,21,1,0.167568,1.42,4.52,9.28
Serie_A 2018_106_111_2019-03-17 19:30:00,2019-03-17 19:30:00,False,106,Inter,w,111,AC Milan,2.91239,10.0,3,317,22,5,2.6024,w,2.15109,1.06311,9.0,2,244,20,1,1.06311,3.27,3.17,2.47
Serie_A 2018_106_96_2019-03-31 18:30:00,2019-03-31 18:30:00,True,106,Inter,l,96,Lazio,1.53815,11.0,0,193,28,4,1.2841,l,1.53815,1.60065,6.0,1,294,14,2,1.60065,2.36,3.3,3.36
Serie_A 2018_101_106_2019-04-03 20:00:00,2019-04-03 20:00:00,False,106,Inter,w,101,Genoa,2.36256,12.0,4,136,23,14,2.7000999999999995,w,1.60127,0.452482,5.0,0,571,27,2,0.452482,2.04,3.34,4.23
Serie_A 2018_106_107_2019-04-07 17:00:00,2019-04-07 17:00:00,True,106,Inter,d,107,Atalanta,0.93775,8.0,0,244,22,9,1.0442,d,0.93775,1.22931,5.0,0,314,23,7,1.22931,2.13,3.57,3.63
Serie_A 2018_106_112_2019-04-14 19:30:00,2019-04-14 19:30:00,False,106,Inter,w,112,Frosinone,3.70567,10.0,3,134,17,8,2.8576,w,2.94437,0.789702,10.0,1,449,30,3,0.789702,1.6,4.11,6.18
Serie_A 2018_106_95_2019-04-20 19:30:00,2019-04-20 19:30:00,True,106,Inter,d,95,Roma,1.60416,13.0,1,131,16,8,2.2155,d,1.60416,0.528078,9.0,1,403,9,5,0.528078,1.81,3.92,4.56
Serie_A 2018_106_98_2019-04-27 19:30:00,2019-04-27 19:30:00,True,106,Inter,d,98,Juventus,1.35633,10.0,1,252,23,8,2.0333,d,1.35633,0.581189,10.0,1,312,17,5,0.581189,2.43,3.46,3.07
Serie_A 2018_106_99_2019-05-04 19:30:00,2019-05-04 19:30:00,False,106,Inter,d,99,Udinese,2.27962,11.0,0,138,24,7,2.7715,d,2.27962,0.362542,3.0,0,406,23,6,0.362542,1.69,4.1,5.13
Serie_A 2018_106_109_2019-05-13 20:00:00,2019-05-13 20:00:00,True,106,Inter,w,109,Chievo,2.00932,16.0,2,153,17,14,2.7314,w,2.00932,0.13114,3.0,0,350,21,0,0.13114,1.15,8.52,20.38
Serie_A 2018_105_106_2019-05-19 18:30:00,2019-05-19 18:30:00,False,106,Inter,l,105,Napoli,1.99068,10.0,1,275,20,7,1.5345,l,1.22942,1.74459,14.0,4,384,22,10,1.74459,2.96,3.51,2.48
Serie_A 2018_106_108_2019-05-26 18:30:00,2019-05-26 18:30:00,True,106,Inter,w,108,Empoli,2.74302,20.0,2,242,31,16,2.0259,w,1.98176,1.77275,9.0,1,209,14,12,1.77275,1.39,5.35,7.81
