match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2018_104_106_2018-08-19 21:30:00,2018-08-19 21:30:00,True,104,Sassuolo,w,106,Inter,1.40451,7.0,1,341,24,5,1.5219,w,0.643213,1.20466,11.0,0,210,26,7,1.20466,5.96,4.19,1.61
Serie_A 2018_104_116_2018-08-26 21:30:00,2018-08-26 21:30:00,False,104,Sassuolo,d,116,Cagliari,1.78519,12.0,2,175,18,10,1.5801,d,1.02389,1.52233,12.0,2,335,30,4,1.52233,2.93,3.35,2.61
Serie_A 2018_101_104_2018-09-02 18:30:00,2018-09-02 18:30:00,True,104,Sassuolo,w,101,Genoa,2.05648,10.0,5,252,24,3,1.5071,w,2.05648,1.88827,11.0,3,228,33,5,1.88827,2.15,3.3,3.89
Serie_A 2018_104_98_2018-09-16 13:00:00,2018-09-16 13:00:00,False,104,Sassuolo,l,98,Juventus,0.740742,10.0,1,224,27,1,0.1829,l,0.740742,2.8507,16.0,2,322,26,9,2.8507,16.16,7.18,1.21
Serie_A 2018_104_108_2018-09-21 18:30:00,2018-09-21 18:30:00,True,104,Sassuolo,w,108,Empoli,2.09666,20.0,3,196,22,9,2.194,w,2.09666,1.03797,16.0,1,382,18,10,1.03797,2.17,3.47,3.62
Serie_A 2018_104_221_2018-09-27 17:00:00,2018-09-27 17:00:00,False,104,Sassuolo,w,221,SPAL 2013,2.08628,10.0,2,305,17,5,2.289,w,2.08628,1.02425,6.0,0,251,29,1,1.02425,2.88,3.25,2.67
Serie_A 2018_104_111_2018-09-30 18:30:00,2018-09-30 18:30:00,True,104,Sassuolo,l,111,AC Milan,0.704744,8.0,1,199,20,8,0.8159000000000001,l,0.704744,1.30599,10.0,4,342,21,4,1.30599,3.26,3.44,2.33
Serie_A 2018_104_105_2018-10-07 16:00:00,2018-10-07 16:00:00,False,104,Sassuolo,l,105,Napoli,0.926808,10.0,0,342,25,3,0.7589,l,0.926808,1.76818,12.0,2,435,30,6,1.76818,9.19,5.31,1.36
Serie_A 2018_102_104_2018-10-22 18:30:00,2018-10-22 18:30:00,False,104,Sassuolo,d,102,Sampdoria,0.642053,7.0,0,284,26,5,0.7804,d,0.642053,1.2844,7.0,0,261,44,8,1.2844,3.47,3.64,2.16
Serie_A 2018_104_97_2018-10-28 10:30:00,2018-10-28 10:30:00,True,104,Sassuolo,d,97,Bologna,1.93718,11.0,2,97,24,9,1.7312,d,1.17588,1.50755,10.0,2,339,25,4,1.50755,1.95,3.39,4.57
Serie_A 2018_104_109_2018-11-04 14:00:00,2018-11-04 14:00:00,False,104,Sassuolo,w,109,Chievo,1.14513,8.0,2,314,23,4,1.9254,w,1.14513,0.53547,1.0,0,237,30,7,0.53547,2.15,3.45,3.68
Serie_A 2018_104_96_2018-11-11 17:00:00,2018-11-11 17:00:00,True,104,Sassuolo,d,96,Lazio,0.542118,9.0,1,207,28,3,0.4573,d,0.542118,1.48988,7.0,1,345,32,8,1.48988,3.99,3.55,2.02
Serie_A 2018_104_230_2018-11-25 11:30:00,2018-11-25 11:30:00,False,104,Sassuolo,l,230,Parma Calcio 1913,1.51949,12.0,1,88,19,2,0.7395,l,0.758189,2.2135,10.0,2,339,28,1,2.2135,2.47,3.5,2.99
Serie_A 2018_104_99_2018-12-02 14:00:00,2018-12-02 14:00:00,True,104,Sassuolo,d,99,Udinese,1.83072,17.0,0,176,29,13,2.675,d,1.83072,0.143306,3.0,0,331,21,0,0.143306,1.99,3.58,4.09
Serie_A 2018_104_110_2018-12-09 11:30:00,2018-12-09 11:30:00,True,104,Sassuolo,d,110,Fiorentina,1.09546,11.0,3,192,21,7,0.5953,d,1.09546,2.20116,11.0,3,222,19,6,2.20116,2.92,3.23,2.68
Serie_A 2018_104_112_2018-12-16 14:00:00,2018-12-16 14:00:00,False,104,Sassuolo,w,112,Frosinone,1.17748,13.0,2,168,19,6,2.0057,w,1.17748,0.415045,9.0,0,288,19,3,0.415045,2.09,3.37,3.98
Serie_A 2018_104_113_2018-12-22 14:00:00,2018-12-22 14:00:00,True,104,Sassuolo,d,113,Torino,2.51237,11.0,1,139,20,5,2.8287,d,2.51237,0.26404,4.0,1,232,33,8,0.26404,2.62,3.22,3.0
Serie_A 2018_104_95_2018-12-26 17:00:00,2018-12-26 17:00:00,False,104,Sassuolo,l,95,Roma,0.591453,8.0,1,209,22,1,0.0399,l,0.591453,4.11791,16.0,3,236,26,10,3.35665,5.36,3.92,1.7
Serie_A 2018_104_107_2018-12-29 14:00:00,2018-12-29 14:00:00,True,104,Sassuolo,l,107,Atalanta,1.07104,13.0,2,288,31,5,0.2412,l,1.07104,3.42383,13.0,6,218,27,6,3.42383,3.5,3.58,2.17
Serie_A 2018_104_106_2019-01-19 19:30:00,2019-01-19 19:30:00,False,104,Sassuolo,d,106,Inter,1.38113,11.0,0,310,20,4,1.4456,d,1.38113,1.24057,8.0,0,231,33,7,1.24057,7.84,4.86,1.43
Serie_A 2018_104_116_2019-01-26 14:00:00,2019-01-26 14:00:00,True,104,Sassuolo,w,116,Cagliari,4.30729,11.0,3,297,14,3,2.9703,w,3.54603,0.418768,7.0,0,228,35,3,0.418768,2.09,3.35,4.0
Serie_A 2018_101_104_2019-02-03 14:00:00,2019-02-03 14:00:00,False,104,Sassuolo,d,101,Genoa,0.7039,11.0,1,125,21,6,1.1313,d,0.7039,0.864604,4.0,1,339,29,6,0.864604,2.86,3.3,2.68
Serie_A 2018_104_98_2019-02-10 17:00:00,2019-02-10 17:00:00,True,104,Sassuolo,l,98,Juventus,0.437975,9.0,0,320,22,5,0.2601,l,0.437975,2.10953,10.0,3,303,26,6,2.10953,6.31,4.22,1.57
Serie_A 2018_104_108_2019-02-17 14:00:00,2019-02-17 14:00:00,False,104,Sassuolo,l,108,Empoli,0.623544,5.0,0,173,21,8,0.6205,l,0.623544,1.50789,7.0,3,457,18,8,1.50789,2.73,3.39,2.76
Serie_A 2018_104_221_2019-02-24 14:00:00,2019-02-24 14:00:00,True,104,Sassuolo,d,221,SPAL 2013,0.317935,6.0,1,252,30,6,0.5187,d,0.317935,1.0065,5.0,1,297,22,3,0.245323,2.03,3.51,4.01
Serie_A 2018_104_111_2019-03-02 17:00:00,2019-03-02 17:00:00,False,104,Sassuolo,l,111,AC Milan,0.833481,11.0,0,253,13,4,0.9199,l,0.833481,1.31933,7.0,1,278,22,4,1.31933,6.91,4.22,1.54
Serie_A 2018_104_105_2019-03-10 17:00:00,2019-03-10 17:00:00,True,104,Sassuolo,d,105,Napoli,1.02736,7.0,1,321,17,5,1.6562,d,1.02736,0.720283,9.0,1,231,18,2,0.720283,6.25,3.96,1.62
Serie_A 2018_102_104_2019-03-16 14:00:00,2019-03-16 14:00:00,True,104,Sassuolo,l,102,Sampdoria,1.81004,12.0,3,373,14,5,0.9104,l,1.81004,2.5003,17.0,5,239,29,8,2.5003,2.42,3.38,3.16
Serie_A 2018_104_97_2019-03-31 16:00:00,2019-03-31 16:00:00,False,104,Sassuolo,l,97,Bologna,0.712006,5.0,1,132,30,4,0.4182,l,0.712006,2.03348,11.0,2,213,23,6,1.27218,3.77,3.42,2.14
Serie_A 2018_104_109_2019-04-04 18:00:00,2019-04-04 18:00:00,True,104,Sassuolo,w,109,Chievo,2.1616,13.0,4,230,13,4,1.8924,w,2.1616,1.46618,9.0,0,325,31,2,0.704876,1.68,3.85,5.67
Serie_A 2018_104_96_2019-04-07 17:00:00,2019-04-07 17:00:00,False,104,Sassuolo,d,96,Lazio,1.20864,3.0,2,221,10,2,0.1366,d,1.20864,3.36273,18.0,2,222,25,17,2.60143,9.15,5.12,1.37
Serie_A 2018_104_230_2019-04-14 14:00:00,2019-04-14 14:00:00,True,104,Sassuolo,d,230,Parma Calcio 1913,1.25421,16.0,0,107,18,11,1.6700000000000002,d,1.25421,0.828516,3.0,0,352,17,1,0.0672574,1.72,3.74,5.55
Serie_A 2018_104_99_2019-04-20 14:00:00,2019-04-20 14:00:00,False,104,Sassuolo,d,99,Udinese,0.747252,6.0,1,173,24,1,1.1515,d,0.747252,0.907616,10.0,1,243,35,4,0.907616,3.26,3.35,2.39
Serie_A 2018_104_110_2019-04-29 20:00:00,2019-04-29 20:00:00,False,104,Sassuolo,w,110,Fiorentina,1.77025,9.0,1,227,24,4,1.9042000000000003,w,1.77025,1.14177,7.0,0,262,29,2,0.380471,4.88,3.93,1.76
Serie_A 2018_104_112_2019-05-05 14:00:00,2019-05-05 14:00:00,True,104,Sassuolo,d,112,Frosinone,2.06277,14.0,2,114,22,4,2.4346,d,2.06277,0.624983,5.0,2,319,30,2,0.624983,1.64,4.23,5.43
Serie_A 2018_104_113_2019-05-12 11:30:00,2019-05-12 11:30:00,False,104,Sassuolo,l,113,Torino,0.846402,7.0,2,258,16,2,0.0717,l,0.846402,3.93173,17.0,3,165,35,11,3.17055,6.2,4.43,1.56
Serie_A 2018_104_95_2019-05-18 18:30:00,2019-05-18 18:30:00,True,104,Sassuolo,d,95,Roma,1.12474,9.0,0,243,22,5,0.4535,d,1.12474,2.76568,17.0,0,297,20,10,2.76568,5.92,4.69,1.54
Serie_A 2018_104_107_2019-05-26 18:30:00,2019-05-26 18:30:00,False,104,Sassuolo,l,107,Atalanta,0.55839,4.0,1,324,18,4,0.2047,l,0.55839,2.15843,13.0,3,156,29,11,2.15843,11.97,6.61,1.25
