match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2019_116_242_2019-08-25 19:45:00,2019-08-25 19:45:00,False,242,Brescia,w,116,Cagliari,1.32688,8.0,1,264,18,5,1.6983,w,0.565578,0.998907,9.0,0,153,27,6,0.998907,4.57,3.77,1.83
Serie_A 2019_111_242_2019-08-31 17:00:00,2019-08-31 17:00:00,False,242,Brescia,l,111,AC Milan,0.860645,4.0,0,306,27,1,0.563,l,0.860645,1.9308,11.0,1,169,30,6,1.9308,8.04,4.14,1.5
Serie_A 2019_242_97_2019-09-15 13:00:00,2019-09-15 13:00:00,True,242,Brescia,l,97,Bologna,1.14311,9.0,3,311,21,5,0.1345,l,1.14311,3.68503,17.0,4,101,24,10,3.68503,3.12,3.34,2.44
Serie_A 2019_242_99_2019-09-21 13:00:00,2019-09-21 13:00:00,False,242,Brescia,w,99,Udinese,0.810849,5.0,1,238,28,6,1.6722,w,0.810849,0.505205,6.0,0,165,38,3,0.505205,4.41,3.64,1.89
Serie_A 2019_242_98_2019-09-24 19:00:00,2019-09-24 19:00:00,True,242,Brescia,l,98,Juventus,0.686153,13.0,1,403,20,4,0.5177,l,0.686153,1.88191,15.0,2,162,28,11,1.88191,6.44,4.06,1.58
Serie_A 2019_105_242_2019-09-29 10:30:00,2019-09-29 10:30:00,False,242,Brescia,l,105,Napoli,1.14541,7.0,1,339,18,5,0.4903,l,1.14541,2.50124,16.0,2,247,28,14,2.50124,10.88,6.19,1.28
Serie_A 2019_110_242_2019-10-21 20:00:00,2019-10-21 20:00:00,True,242,Brescia,d,110,Fiorentina,0.543738,3.0,0,244,17,3,1.0858,d,0.543738,0.82628,10.0,0,191,22,7,0.82628,3.86,3.7,2.01
Serie_A 2019_101_242_2019-10-26 19:45:00,2019-10-26 19:45:00,False,242,Brescia,l,101,Genoa,1.16628,4.0,1,353,25,4,1.436,l,1.16628,1.12256,12.0,3,144,31,8,1.12256,4.1,3.95,1.88
Serie_A 2019_106_242_2019-10-29 20:00:00,2019-10-29 20:00:00,True,242,Brescia,l,106,Inter,1.63039,6.0,1,295,18,8,2.1602,l,1.63039,0.769551,6.0,2,162,24,7,0.769551,6.85,4.37,1.52
Serie_A 2019_242_94_2019-11-03 14:00:00,2019-11-03 14:00:00,False,242,Brescia,l,94,Verona,0.975463,11.0,1,228,20,11,1.1947,l,0.975463,1.14031,11.0,2,188,24,5,1.14031,3.87,3.26,2.15
Serie_A 2019_113_242_2019-11-09 14:00:00,2019-11-09 14:00:00,True,242,Brescia,l,113,Torino,0.59465,5.0,0,270,28,4,0.12,l,0.59465,3.11135,12.0,4,179,23,10,1.58876,2.85,3.3,2.66
Serie_A 2019_242_95_2019-11-24 14:00:00,2019-11-24 14:00:00,False,242,Brescia,l,95,Roma,0.31479,5.0,0,253,16,4,0.1204,l,0.31479,2.51584,14.0,3,199,27,14,2.51584,9.29,5.27,1.36
Serie_A 2019_107_242_2019-11-30 14:00:00,2019-11-30 14:00:00,True,242,Brescia,l,107,Atalanta,1.2071,9.0,0,282,24,4,0.5273,l,1.2071,2.66863,19.0,3,139,27,12,2.66863,6.6,4.83,1.48
Serie_A 2019_221_242_2019-12-08 14:00:00,2019-12-08 14:00:00,False,242,Brescia,w,221,SPAL 2013,1.91478,12.0,1,310,23,4,1.3958,w,1.91478,1.91592,18.0,0,171,22,7,1.15462,3.79,3.52,2.08
Serie_A 2019_242_243_2019-12-14 14:00:00,2019-12-14 14:00:00,True,242,Brescia,w,243,Lecce,3.67148,13.0,3,240,20,8,2.8543000000000003,w,3.67148,0.90603,11.0,0,150,33,4,0.90603,2.02,3.89,3.62
Serie_A 2019_104_242_2019-12-18 19:45:00,2019-12-18 19:45:00,True,242,Brescia,l,104,Sassuolo,1.17578,15.0,0,400,35,8,1.7240000000000002,l,1.17578,0.702205,11.0,2,174,24,5,0.702205,2.39,3.72,2.92
Serie_A 2019_230_242_2019-12-22 14:00:00,2019-12-22 14:00:00,False,242,Brescia,d,230,Parma Calcio 1913,1.9905,11.0,1,228,30,5,2.3011,d,1.9905,0.820014,13.0,1,194,29,2,0.820014,3.72,3.36,2.14
Serie_A 2019_242_96_2020-01-05 11:30:00,2020-01-05 11:30:00,True,242,Brescia,l,96,Lazio,0.31406,4.0,1,269,18,3,0.2552999999999999,l,0.31406,1.75165,15.0,2,190,35,20,0.990347,5.57,4.33,1.6
Serie_A 2019_102_242_2020-01-12 14:00:00,2020-01-12 14:00:00,False,242,Brescia,l,102,Sampdoria,1.00697,9.0,1,221,14,2,0.2399,l,1.00697,3.22026,22.0,5,235,20,6,2.45896,4.05,3.42,2.03
Serie_A 2019_116_242_2020-01-19 14:00:00,2020-01-19 14:00:00,True,242,Brescia,d,116,Cagliari,1.36518,9.0,2,251,19,8,0.2798,d,1.36518,3.55238,18.0,2,199,26,14,2.79108,2.5,3.6,2.81
Serie_A 2019_111_242_2020-01-24 19:45:00,2020-01-24 19:45:00,True,242,Brescia,l,111,AC Milan,1.21977,13.0,0,215,26,7,0.728,l,1.21977,2.15393,10.0,1,216,25,12,2.15393,4.98,4.26,1.67
Serie_A 2019_242_97_2020-02-01 14:00:00,2020-02-01 14:00:00,False,242,Brescia,l,97,Bologna,0.835919,3.0,1,278,21,1,0.4014,l,0.0746207,2.17197,17.0,2,151,25,12,2.17197,4.92,4.13,1.7
Serie_A 2019_242_99_2020-02-09 14:00:00,2020-02-09 14:00:00,True,242,Brescia,d,99,Udinese,0.712227,9.0,1,228,22,2,0.3517,d,0.712227,2.40665,16.0,1,134,29,23,2.40665,2.76,3.32,2.7
Serie_A 2019_242_98_2020-02-16 14:00:00,2020-02-16 14:00:00,False,242,Brescia,l,98,Juventus,0.242874,5.0,0,314,16,0,0.0857,l,0.242874,2.89308,20.0,2,179,34,14,2.89308,18.11,7.46,1.17
Serie_A 2019_105_242_2020-02-21 19:45:00,2020-02-21 19:45:00,True,242,Brescia,l,105,Napoli,1.28069,8.0,1,485,17,7,1.2197999999999998,l,1.28069,1.42319,7.0,2,151,21,4,0.661932,6.45,4.49,1.54
Serie_A 2019_104_242_2020-03-09 17:30:00,2020-03-09 17:30:00,False,242,Brescia,l,104,Sassuolo,0.469272,6.0,0,469,25,2,0.3021,l,0.469272,2.12473,13.0,3,186,28,12,2.12473,4.97,3.94,1.73
Serie_A 2019_110_242_2020-06-22 17:30:00,2020-06-22 17:30:00,False,242,Brescia,d,110,Fiorentina,1.24254,5.0,1,210,32,2,0.7221,d,0.481242,2.16709,15.0,1,143,23,12,2.16709,6.59,4.45,1.52
Serie_A 2019_101_242_2020-06-27 15:15:00,2020-06-27 15:15:00,True,242,Brescia,d,101,Genoa,1.49842,6.0,2,226,15,7,0.7128,d,1.49842,2.3274,11.0,2,183,22,8,0.804843,3.1,3.5,2.35
Serie_A 2019_106_242_2020-07-01 17:30:00,2020-07-01 17:30:00,False,242,Brescia,l,106,Inter,0.328274,3.0,0,339,13,6,0.0083,l,0.328274,4.23395,20.0,6,179,30,21,3.47265,19.59,7.7,1.18
Serie_A 2019_242_94_2020-07-05 17:30:00,2020-07-05 17:30:00,True,242,Brescia,w,94,Verona,1.11957,7.0,2,290,10,8,1.7483,w,1.11957,0.673728,14.0,0,129,23,5,0.673728,5.51,4.13,1.65
Serie_A 2019_113_242_2020-07-08 19:45:00,2020-07-08 19:45:00,False,242,Brescia,l,113,Torino,1.43951,13.0,1,281,25,3,1.0367,l,1.43951,1.88812,14.0,3,192,31,13,1.88812,6.08,3.93,1.63
Serie_A 2019_242_95_2020-07-11 17:30:00,2020-07-11 17:30:00,True,242,Brescia,l,95,Roma,1.42387,8.0,0,301,26,3,0.4042,l,1.42387,3.13472,16.0,3,171,22,10,3.13472,6.9,4.79,1.47
Serie_A 2019_107_242_2020-07-14 19:45:00,2020-07-14 19:45:00,False,242,Brescia,l,107,Atalanta,0.867428,6.0,2,425,18,1,0.3931,l,0.867428,2.44363,13.0,6,198,27,13,2.44363,19.13,8.74,1.14
Serie_A 2019_221_242_2020-07-19 17:30:00,2020-07-19 17:30:00,True,242,Brescia,w,221,SPAL 2013,1.62366,15.0,2,179,14,11,1.3622,w,1.62366,1.58437,13.0,1,197,18,9,1.58437,2.33,3.63,3.04
Serie_A 2019_242_243_2020-07-22 19:45:00,2020-07-22 19:45:00,False,242,Brescia,l,243,Lecce,0.9591,10.0,1,348,27,7,0.4198,l,0.9591,2.53511,13.0,3,248,18,5,2.53511,4.11,4.05,1.84
