match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2019_106_243_2019-08-26 19:45:00,2019-08-26 19:45:00,False,243,Lecce,l,106,Inter,0.408768,10.0,0,332,16,5,0.2782,l,0.408768,2.14366,16.0,4,197,26,11,2.14366,15.59,6.39,1.23
Serie_A 2019_243_94_2019-09-01 19:45:00,2019-09-01 19:45:00,True,243,Lecce,l,94,Verona,0.994717,9.0,0,275,20,9,0.7586999999999999,l,0.994717,1.824,11.0,1,241,19,14,1.824,1.93,3.73,4.1
Serie_A 2019_113_243_2019-09-16 18:45:00,2019-09-16 18:45:00,False,243,Lecce,w,113,Torino,1.25479,12.0,2,291,28,6,1.0872,w,1.25479,1.5512,12.0,1,155,24,4,0.789902,7.27,4.42,1.49
Serie_A 2019_105_243_2019-09-22 13:00:00,2019-09-22 13:00:00,True,243,Lecce,l,105,Napoli,1.37591,8.0,1,395,18,6,0.2882,l,0.614611,3.0665,12.0,4,243,20,7,2.3052,9.35,5.37,1.35
Serie_A 2019_221_243_2019-09-25 19:00:00,2019-09-25 19:00:00,False,243,Lecce,w,221,SPAL 2013,1.89438,9.0,3,251,10,3,2.234,w,0.371781,0.924939,14.0,1,207,19,5,0.924939,3.94,3.53,2.04
Serie_A 2019_243_95_2019-09-29 13:00:00,2019-09-29 13:00:00,True,243,Lecce,l,95,Roma,0.793718,10.0,0,307,15,4,0.2131,l,0.793718,2.99876,13.0,1,228,34,15,2.23746,4.58,4.07,1.76
Serie_A 2019_107_243_2019-10-06 14:00:00,2019-10-06 14:00:00,False,243,Lecce,l,107,Atalanta,0.999184,5.0,1,291,14,6,0.0939,l,0.999184,4.39219,26.0,3,205,32,12,4.39219,9.66,6.29,1.29
Serie_A 2019_111_243_2019-10-20 19:45:00,2019-10-20 19:45:00,False,243,Lecce,d,111,AC Milan,1.29111,11.0,2,323,23,3,1.0151,d,0.353509,1.7835,18.0,2,184,27,11,1.7835,8.18,5.09,1.4
Serie_A 2019_243_98_2019-10-26 14:00:00,2019-10-26 14:00:00,True,243,Lecce,d,98,Juventus,1.05543,9.0,1,299,18,3,0.1394,d,0.294135,3.57172,16.0,1,113,22,14,2.81042,9.68,5.32,1.34
Serie_A 2019_102_243_2019-10-30 20:00:00,2019-10-30 20:00:00,False,243,Lecce,d,102,Sampdoria,1.06001,9.0,1,215,21,9,0.9109,d,1.06001,1.64236,15.0,1,260,39,6,1.64236,4.89,3.95,1.75
Serie_A 2019_104_243_2019-11-03 14:00:00,2019-11-03 14:00:00,True,243,Lecce,d,104,Sassuolo,0.483324,7.0,2,346,26,7,0.2455,d,0.483324,2.17105,12.0,2,218,23,7,2.17105,2.85,3.37,2.62
Serie_A 2019_243_96_2019-11-10 14:00:00,2019-11-10 14:00:00,False,243,Lecce,l,96,Lazio,2.55559,18.0,2,237,16,10,0.7641,l,1.79429,3.65287,17.0,4,224,13,12,2.89157,11.8,6.36,1.26
Serie_A 2019_116_243_2019-11-25 15:00:00,2019-11-25 15:00:00,True,243,Lecce,d,116,Cagliari,4.09277,17.0,2,205,29,15,2.9203,d,3.33147,0.959475,6.0,2,269,28,0,0.198176,3.18,3.64,2.27
Serie_A 2019_110_243_2019-11-30 19:45:00,2019-11-30 19:45:00,False,243,Lecce,w,110,Fiorentina,1.11878,6.0,1,281,30,5,1.1468,w,1.11878,1.43717,13.0,0,189,24,12,1.43717,7.5,4.84,1.44
Serie_A 2019_101_243_2019-12-08 11:30:00,2019-12-08 11:30:00,True,243,Lecce,d,101,Genoa,0.85727,22.0,2,207,32,9,0.3372,d,0.85727,2.55768,14.0,2,214,37,10,1.79638,2.72,3.68,2.56
Serie_A 2019_242_243_2019-12-14 14:00:00,2019-12-14 14:00:00,False,243,Lecce,l,242,Brescia,0.90603,11.0,0,150,33,4,0.0943,l,0.90603,3.67148,13.0,3,240,20,8,3.67148,3.62,3.89,2.02
Serie_A 2019_243_97_2019-12-22 14:00:00,2019-12-22 14:00:00,True,243,Lecce,l,97,Bologna,1.19573,7.0,2,243,20,2,0.0996,l,1.19573,4.46396,19.0,3,252,25,6,4.46396,3.3,3.73,2.16
Serie_A 2019_243_99_2020-01-06 17:00:00,2020-01-06 17:00:00,True,243,Lecce,l,99,Udinese,0.752631,10.0,0,258,28,6,1.2653,l,0.752631,0.795554,7.0,1,247,21,8,0.795554,2.72,3.59,2.59
Serie_A 2019_230_243_2020-01-13 19:45:00,2020-01-13 19:45:00,False,243,Lecce,l,230,Parma Calcio 1913,0.803732,11.0,0,275,25,10,0.4311,l,0.803732,2.14614,9.0,2,273,31,6,2.14614,3.96,3.94,1.9
Serie_A 2019_106_243_2020-01-19 14:00:00,2020-01-19 14:00:00,True,243,Lecce,d,106,Inter,1.01391,8.0,1,322,6,2,0.6018,d,1.01391,2.1611,16.0,1,203,29,12,2.1611,9.69,5.85,1.31
Serie_A 2019_243_94_2020-01-26 14:00:00,2020-01-26 14:00:00,False,243,Lecce,l,94,Verona,0.460325,3.0,0,373,15,4,0.0545,l,0.460325,3.25786,9.0,3,210,35,11,2.49668,5.51,4.33,1.61
Serie_A 2019_113_243_2020-02-02 17:00:00,2020-02-02 17:00:00,True,243,Lecce,w,113,Torino,2.39622,14.0,4,263,30,3,2.3908,w,1.63492,0.960359,11.0,0,245,30,7,0.960359,3.34,3.53,2.22
