match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2019_107_221_2019-08-25 19:45:00,2019-08-25 19:45:00,True,221,SPAL 2013,l,107,Atalanta,1.48495,8.0,2,283,22,4,1.2173,l,1.48495,1.70129,18.0,3,182,30,5,1.70129,5.13,3.74,1.76
Serie_A 2019_221_97_2019-08-30 19:45:00,2019-08-30 19:45:00,False,221,SPAL 2013,l,97,Bologna,0.850525,7.0,0,217,26,6,0.1006,l,0.850525,3.76497,18.0,1,134,26,5,3.76497,4.77,3.62,1.84
Serie_A 2019_221_96_2019-09-15 13:00:00,2019-09-15 13:00:00,True,221,SPAL 2013,w,96,Lazio,1.10476,9.0,2,262,12,8,1.0344,w,1.10476,1.46024,11.0,1,239,17,12,0.698943,5.75,4.21,1.61
Serie_A 2019_104_221_2019-09-22 10:30:00,2019-09-22 10:30:00,False,221,SPAL 2013,l,104,Sassuolo,0.923321,8.0,0,295,23,7,0.6223,l,0.923321,2.01353,17.0,3,271,24,9,2.01353,4.06,3.69,1.96
Serie_A 2019_221_243_2019-09-25 19:00:00,2019-09-25 19:00:00,True,221,SPAL 2013,l,243,Lecce,0.924939,14.0,1,207,19,5,0.5522,l,0.924939,1.89438,9.0,3,251,10,3,0.371781,2.04,3.53,3.94
Serie_A 2019_221_98_2019-09-28 13:00:00,2019-09-28 13:00:00,False,221,SPAL 2013,l,98,Juventus,0.160279,4.0,0,352,16,2,0.1148,l,0.160279,2.36566,17.0,2,190,34,8,2.36566,15.05,6.28,1.24
Serie_A 2019_221_230_2019-10-05 14:00:00,2019-10-05 14:00:00,True,221,SPAL 2013,w,230,Parma Calcio 1913,1.30807,12.0,1,217,18,4,2.3405,w,1.30807,0.238942,5.0,0,157,15,0,0.238942,2.52,3.27,3.06
Serie_A 2019_116_221_2019-10-20 14:00:00,2019-10-20 14:00:00,False,221,SPAL 2013,l,116,Cagliari,0.917756,8.0,0,168,17,4,1.1417,l,0.917756,1.14716,13.0,2,250,25,3,1.14716,3.63,3.43,2.16
Serie_A 2019_105_221_2019-10-27 14:00:00,2019-10-27 14:00:00,True,221,SPAL 2013,d,105,Napoli,0.470344,5.0,1,323,22,2,0.8665,d,0.470344,0.898916,9.0,1,165,21,8,0.898916,7.61,4.89,1.43
Serie_A 2019_111_221_2019-10-31 20:00:00,2019-10-31 20:00:00,False,221,SPAL 2013,l,111,AC Milan,0.335973,5.0,0,249,32,1,0.2249,l,0.335973,1.90677,10.0,1,152,24,8,1.90677,7.69,4.26,1.5
Serie_A 2019_102_221_2019-11-04 19:45:00,2019-11-04 19:45:00,True,221,SPAL 2013,l,102,Sampdoria,0.501251,7.0,0,125,17,1,0.914,l,0.501251,0.857291,9.0,1,216,23,3,0.857291,2.65,3.31,2.86
Serie_A 2019_221_99_2019-11-10 14:00:00,2019-11-10 14:00:00,False,221,SPAL 2013,d,99,Udinese,1.95747,10.0,0,256,21,3,1.6578,d,1.19617,1.60289,11.0,0,195,20,10,1.60289,3.87,3.31,2.13
Serie_A 2019_101_221_2019-11-25 19:45:00,2019-11-25 19:45:00,True,221,SPAL 2013,d,101,Genoa,2.44472,13.0,1,300,22,2,1.9534,d,1.68342,1.71849,13.0,1,161,19,8,1.71849,2.55,3.32,2.98
Serie_A 2019_106_221_2019-12-01 14:00:00,2019-12-01 14:00:00,False,221,SPAL 2013,l,106,Inter,1.15284,8.0,1,317,16,4,0.7011999999999999,l,1.15284,2.136,16.0,2,260,30,9,2.136,14.22,6.07,1.25
Serie_A 2019_221_242_2019-12-08 14:00:00,2019-12-08 14:00:00,True,221,SPAL 2013,l,242,Brescia,1.91592,18.0,0,171,22,7,1.3076,l,1.15462,1.91478,12.0,1,310,23,4,1.91478,2.08,3.52,3.79
Serie_A 2019_221_95_2019-12-15 17:00:00,2019-12-15 17:00:00,False,221,SPAL 2013,l,95,Roma,1.11044,5.0,1,374,23,1,0.1106999999999999,l,0.34914,3.697,18.0,3,197,20,12,2.93571,12.36,5.48,1.3
Serie_A 2019_113_221_2019-12-21 19:45:00,2019-12-21 19:45:00,False,221,SPAL 2013,w,113,Torino,0.948561,7.0,2,161,32,6,1.0912,w,0.948561,1.24219,7.0,1,195,35,9,1.24219,5.49,3.79,1.7
Serie_A 2019_221_94_2020-01-05 14:00:00,2020-01-05 14:00:00,True,221,SPAL 2013,l,94,Verona,1.60395,12.0,0,187,19,4,0.8031,l,1.60395,2.52979,14.0,2,266,33,10,2.52979,2.46,3.27,3.12
Serie_A 2019_110_221_2020-01-12 14:00:00,2020-01-12 14:00:00,False,221,SPAL 2013,l,110,Fiorentina,1.29075,9.0,0,185,13,2,0.8218,l,1.29075,2.0568,11.0,1,327,25,4,2.0568,7.19,4.63,1.47
Serie_A 2019_107_221_2020-01-20 19:45:00,2020-01-20 19:45:00,False,221,SPAL 2013,w,107,Atalanta,1.21091,13.0,2,282,26,4,0.5803,w,1.21091,2.45221,14.0,1,193,31,13,2.45221,14.91,7.24,1.19
Serie_A 2019_221_97_2020-01-25 14:00:00,2020-01-25 14:00:00,True,221,SPAL 2013,l,97,Bologna,1.66537,9.0,1,164,28,5,0.8732,l,0.90407,2.38713,12.0,3,204,23,6,2.38713,3.08,3.36,2.43
Serie_A 2019_221_96_2020-02-02 14:00:00,2020-02-02 14:00:00,False,221,SPAL 2013,l,96,Lazio,0.830374,10.0,1,335,26,7,0.2685,l,0.830374,2.74294,12.0,5,297,28,15,2.74294,13.89,6.68,1.23
Serie_A 2019_104_221_2020-02-09 11:30:00,2020-02-09 11:30:00,True,221,SPAL 2013,l,104,Sassuolo,1.59421,10.0,1,278,21,6,0.9121,l,1.59421,2.22596,16.0,2,218,24,9,1.46466,2.78,3.53,2.56
Serie_A 2019_221_243_2020-02-15 14:00:00,2020-02-15 14:00:00,False,221,SPAL 2013,l,243,Lecce,1.36497,13.0,1,228,32,7,1.1491,l,1.36497,1.59786,8.0,2,224,18,2,0.83656,3.31,3.59,2.21
Serie_A 2019_221_98_2020-02-22 17:00:00,2020-02-22 17:00:00,True,221,SPAL 2013,l,98,Juventus,1.09171,10.0,1,341,35,5,0.768,l,0.330412,1.86761,17.0,2,265,30,5,1.86761,8.03,5.1,1.4
Serie_A 2019_221_230_2020-03-08 12:45:00,2020-03-08 12:45:00,False,221,SPAL 2013,w,230,Parma Calcio 1913,1.13444,6.0,1,214,21,3,1.1171,w,0.373141,1.38981,11.0,0,223,37,6,1.38981,3.87,3.45,2.07
Serie_A 2019_116_221_2020-06-23 17:30:00,2020-06-23 17:30:00,True,221,SPAL 2013,l,116,Cagliari,1.09631,6.0,0,223,33,5,0.8775,l,1.09631,1.53512,9.0,1,239,14,2,1.53512,2.79,3.31,2.75
Serie_A 2019_105_221_2020-06-28 17:30:00,2020-06-28 17:30:00,False,221,SPAL 2013,l,105,Napoli,0.530265,5.0,1,472,21,2,0.3885,l,0.530265,1.95132,17.0,3,239,22,7,1.95132,11.21,5.82,1.29
Serie_A 2019_111_221_2020-07-01 19:45:00,2020-07-01 19:45:00,True,221,SPAL 2013,d,111,AC Milan,0.624702,4.0,2,237,10,2,0.6399999999999999,d,0.624702,1.59634,25.0,2,125,19,20,1.59634,6.04,4.16,1.61
Serie_A 2019_102_221_2020-07-05 17:30:00,2020-07-05 17:30:00,False,221,SPAL 2013,l,102,Sampdoria,1.27013,8.0,0,233,22,19,1.4632,l,1.27013,1.1329,9.0,3,249,16,3,1.1329,4.25,3.64,1.93
Serie_A 2019_221_99_2020-07-09 17:30:00,2020-07-09 17:30:00,True,221,SPAL 2013,l,99,Udinese,0.325928,11.0,0,309,22,4,0.4433,l,0.325928,1.34662,7.0,3,298,20,5,1.34662,3.42,3.48,2.2
Serie_A 2019_101_221_2020-07-12 15:15:00,2020-07-12 15:15:00,False,221,SPAL 2013,l,101,Genoa,0.0436239,3.0,0,262,24,4,0.023,l,0.0436239,2.81026,12.0,2,208,26,11,2.04896,5.14,4.05,1.68
Serie_A 2019_106_221_2020-07-16 19:45:00,2020-07-16 19:45:00,True,221,SPAL 2013,l,106,Inter,0.811137,8.0,0,345,22,7,0.2875999999999999,l,0.811137,2.53043,13.0,4,155,16,8,2.53043,9.26,5.69,1.33
Serie_A 2019_221_242_2020-07-19 17:30:00,2020-07-19 17:30:00,False,221,SPAL 2013,l,242,Brescia,1.58437,13.0,1,197,18,9,1.3622,l,1.58437,1.62366,15.0,2,179,14,11,1.62366,3.04,3.63,2.33
Serie_A 2019_221_95_2020-07-22 19:45:00,2020-07-22 19:45:00,True,221,SPAL 2013,l,95,Roma,0.511748,9.0,1,269,31,5,0.4226,l,0.511748,1.78955,13.0,6,265,19,7,1.78955,8.24,5.44,1.37
Serie_A 2019_113_221_2020-07-26 17:30:00,2020-07-26 17:30:00,True,221,SPAL 2013,d,113,Torino,0.376682,3.0,1,189,17,7,0.4347,d,0.376682,1.55546,14.0,1,245,26,10,1.55546,5.95,4.3,1.58
Serie_A 2019_221_94_2020-07-29 17:30:00,2020-07-29 17:30:00,False,221,SPAL 2013,l,94,Verona,0.737187,12.0,0,212,13,4,0.4507,l,0.737187,2.03906,14.0,3,257,21,18,2.03906,6.01,4.42,1.56
Serie_A 2019_110_221_2020-08-02 16:00:00,2020-08-02 16:00:00,True,221,SPAL 2013,l,110,Fiorentina,0.861493,7.0,1,252,13,2,0.4531999999999999,l,0.861493,2.24878,20.0,3,284,17,12,1.48748,6.48,4.93,1.47
