match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2019_111_99_2019-08-25 17:00:00,2019-08-25 17:00:00,True,99,Udinese,w,111,AC Milan,0.777545,11.0,1,350,18,2,1.4322,w,0.777545,0.633654,6.0,0,210,21,3,0.633654,3.95,3.4,2.08
Serie_A 2019_230_99_2019-09-01 19:45:00,2019-09-01 19:45:00,True,99,Udinese,l,230,Parma Calcio 1913,1.69727,17.0,1,279,21,5,1.6936,l,1.69727,1.21449,6.0,3,289,29,6,1.21449,2.04,3.38,4.12
Serie_A 2019_106_99_2019-09-14 18:45:00,2019-09-14 18:45:00,False,99,Udinese,l,106,Inter,0.250925,6.0,0,387,14,2,0.3157999999999999,l,0.250925,1.56746,15.0,1,217,22,6,1.56746,9.84,5.43,1.34
Serie_A 2019_242_99_2019-09-21 13:00:00,2019-09-21 13:00:00,True,99,Udinese,l,242,Brescia,0.505205,6.0,0,165,38,3,0.9429,l,0.505205,0.810849,5.0,1,238,28,6,0.810849,1.89,3.64,4.41
Serie_A 2019_94_99_2019-09-24 17:00:00,2019-09-24 17:00:00,False,99,Udinese,d,94,Verona,0.814274,5.0,0,281,27,3,1.1926,d,0.814274,0.973188,8.0,0,182,18,6,0.973188,2.99,3.24,2.59
Serie_A 2019_97_99_2019-09-29 13:00:00,2019-09-29 13:00:00,True,99,Udinese,w,97,Bologna,0.838641,9.0,1,267,23,6,1.3883,w,0.838641,0.759433,10.0,0,133,28,7,0.759433,2.93,3.34,2.57
Serie_A 2019_110_99_2019-10-06 11:30:00,2019-10-06 11:30:00,False,99,Udinese,l,110,Fiorentina,0.77254,5.0,0,233,16,6,0.9962,l,0.77254,1.15966,8.0,1,225,17,12,1.15966,6.26,4.25,1.57
Serie_A 2019_113_99_2019-10-20 14:00:00,2019-10-20 14:00:00,True,99,Udinese,w,113,Torino,1.87593,10.0,1,294,23,8,2.4748,w,1.87593,0.603538,8.0,0,146,36,3,0.603538,2.91,3.23,2.66
Serie_A 2019_107_99_2019-10-27 14:00:00,2019-10-27 14:00:00,False,99,Udinese,l,107,Atalanta,0.477769,6.0,1,262,11,2,0.0018,l,0.477769,5.83297,23.0,7,198,31,16,4.31038,7.87,4.73,1.44
Serie_A 2019_95_99_2019-10-30 20:00:00,2019-10-30 20:00:00,True,99,Udinese,l,95,Roma,0.557164,8.0,0,235,27,6,0.0884,l,0.557164,3.28214,10.0,4,336,23,5,2.52084,4.07,3.72,1.95
