match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2020_105_230_2020-09-20 10:30:00,2020-09-20 10:30:00,False,105,Napoli,w,230,Parma Calcio 1913,1.54079,12.0,2,280,23,7,2.7168,w,1.54079,0.160985,4.0,0,369,19,7,0.160985,1.64,4.29,5.22
Serie_A 2020_101_105_2020-09-27 16:00:00,2020-09-27 16:00:00,True,105,Napoli,w,101,Genoa,2.34102,18.0,6,321,25,6,2.7379,w,2.34102,0.265594,3.0,0,455,12,2,0.265594,1.3,5.8,10.97
Serie_A 2020_105_107_2020-10-17 13:00:00,2020-10-17 13:00:00,True,105,Napoli,w,107,Atalanta,1.17201,18.0,4,307,19,7,1.7872,w,1.17201,0.640405,11.0,1,271,36,1,0.640405,2.53,3.93,2.69
Serie_A 2020_105_222_2020-10-25 14:00:00,2020-10-25 14:00:00,False,105,Napoli,w,222,Benevento,2.26936,14.0,2,164,26,11,2.4903,w,2.26936,0.650046,6.0,1,346,20,4,0.650046,1.37,5.64,8.36
Serie_A 2020_104_105_2020-11-01 17:00:00,2020-11-01 17:00:00,True,105,Napoli,l,104,Sassuolo,2.14387,18.0,0,453,28,9,1.7971,l,2.14387,1.52493,8.0,2,227,9,2,0.763631,1.55,4.85,5.73
Serie_A 2020_105_97_2020-11-08 17:00:00,2020-11-08 17:00:00,False,105,Napoli,w,97,Bologna,1.40583,8.0,1,265,16,5,1.9296,w,1.40583,0.729048,6.0,0,226,21,5,0.729048,1.7,4.28,4.93
Serie_A 2020_105_111_2020-11-22 19:45:00,2020-11-22 19:45:00,True,105,Napoli,l,111,AC Milan,1.8847,16.0,1,205,24,14,1.4014,l,1.8847,1.83664,11.0,3,325,33,9,1.83664,2.33,3.67,3.11
Serie_A 2020_105_95_2020-11-29 19:45:00,2020-11-29 19:45:00,True,105,Napoli,w,95,Roma,2.05867,13.0,4,302,16,4,2.7763,w,2.05867,0.314633,4.0,0,359,21,5,0.314633,2.24,3.82,3.18
Serie_A 2020_105_115_2020-12-06 17:00:00,2020-12-06 17:00:00,False,105,Napoli,w,115,Crotone,1.93801,11.0,4,312,30,7,2.4712,w,1.93801,0.508882,4.0,0,455,17,0,0.508882,1.36,5.57,8.87
Serie_A 2020_102_105_2020-12-13 14:00:00,2020-12-13 14:00:00,True,105,Napoli,w,102,Sampdoria,1.51835,13.0,2,238,21,8,2.0121,w,1.51835,0.713804,4.0,1,437,21,2,0.713804,1.44,4.98,7.66
