match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2020_94_95_2020-09-19 18:45:00,2020-09-19 18:45:00,False,95,Roma,d,94,Verona,1.77959,15.0,0,162,32,9,2.0327,d,1.77959,0.910773,9.0,0,278,33,3,0.910773,1.94,3.81,3.95
Serie_A 2020_95_98_2020-09-27 18:45:00,2020-09-27 18:45:00,True,95,Roma,d,98,Juventus,2.81817,7.0,2,388,29,6,2.0465,d,2.05687,1.90728,6.0,2,231,25,3,1.14598,3.74,3.58,2.06
Serie_A 2020_95_99_2020-10-03 18:45:00,2020-10-03 18:45:00,False,95,Roma,w,99,Udinese,0.762958,8.0,1,251,31,4,0.6487,w,0.762958,1.66689,9.0,0,290,18,2,1.66689,1.68,4.1,5.33
Serie_A 2020_222_95_2020-10-18 18:45:00,2020-10-18 18:45:00,True,95,Roma,w,222,Benevento,4.18819,16.0,5,263,35,13,2.8048,w,3.42693,1.55972,8.0,2,285,22,4,0.650065,1.33,5.66,10.09
Serie_A 2020_111_95_2020-10-26 19:45:00,2020-10-26 19:45:00,False,95,Roma,d,111,AC Milan,2.35903,11.0,3,340,20,7,1.0807,d,1.59777,2.81817,13.0,3,255,19,11,2.05687,3.4,3.74,2.17
Serie_A 2020_110_95_2020-11-01 17:00:00,2020-11-01 17:00:00,True,95,Roma,w,110,Fiorentina,3.6279,11.0,2,339,35,9,2.9419,w,3.6279,0.37308,3.0,0,201,28,3,0.37308,1.86,4.07,4.16
Serie_A 2020_101_95_2020-11-08 14:00:00,2020-11-08 14:00:00,False,95,Roma,w,101,Genoa,3.49225,18.0,3,345,33,10,2.8449,w,3.49225,0.64745,7.0,1,308,17,5,0.64745,1.57,4.6,5.81
Serie_A 2020_230_95_2020-11-22 14:00:00,2020-11-22 14:00:00,True,95,Roma,w,230,Parma Calcio 1913,3.20915,12.0,3,371,30,20,2.9690000000000003,w,3.20915,0.0318982,1.0,0,438,16,1,0.0318982,1.52,5.02,5.98
Serie_A 2020_105_95_2020-11-29 19:45:00,2020-11-29 19:45:00,False,95,Roma,l,105,Napoli,0.314633,4.0,0,359,21,5,0.1326999999999999,l,0.314633,2.05867,13.0,4,302,16,4,2.05867,3.18,3.82,2.24
Serie_A 2020_104_95_2020-12-06 14:00:00,2020-12-06 14:00:00,True,95,Roma,d,104,Sassuolo,1.27993,14.0,0,326,11,3,2.3958,d,1.27993,0.209882,7.0,0,266,25,6,0.209882,1.74,4.3,4.61
Serie_A 2020_95_97_2020-12-13 14:00:00,2020-12-13 14:00:00,False,95,Roma,w,97,Bologna,4.03543,13.0,5,301,20,12,2.9436,w,4.03543,0.354826,4.0,1,229,28,7,0.354826,2.04,3.9,3.62
Serie_A 2020_113_95_2020-12-17 19:45:00,2020-12-17 19:45:00,True,95,Roma,w,113,Torino,3.04581,10.0,3,243,30,13,2.6478,w,2.28451,0.975058,12.0,1,325,25,4,0.975058,1.44,5.28,7.14
Serie_A 2020_107_95_2020-12-20 17:00:00,2020-12-20 17:00:00,False,95,Roma,l,107,Atalanta,0.712758,5.0,1,329,23,7,0.4881999999999999,l,0.712758,1.91426,9.0,4,294,25,8,1.91426,3.09,3.84,2.28
Serie_A 2020_116_95_2020-12-23 19:45:00,2020-12-23 19:45:00,True,95,Roma,w,116,Cagliari,3.36165,13.0,3,192,32,6,2.698,w,3.36165,1.19646,6.0,2,337,43,6,0.435161,1.33,5.69,10.05
Serie_A 2020_102_95_2021-01-03 14:00:00,2021-01-03 14:00:00,True,95,Roma,w,102,Sampdoria,2.40692,12.0,1,144,31,8,2.7738,w,2.40692,0.229603,2.0,0,381,28,3,0.229603,1.49,4.91,6.68
Serie_A 2020_115_95_2021-01-06 14:00:00,2021-01-06 14:00:00,False,95,Roma,w,115,Crotone,1.89996,10.0,3,353,48,7,2.5518,w,1.13866,0.498045,12.0,1,255,33,6,0.498045,1.44,5.0,7.5
Serie_A 2020_106_95_2021-01-10 11:30:00,2021-01-10 11:30:00,True,95,Roma,d,106,Inter,0.904251,14.0,2,360,31,4,0.6601,d,0.904251,1.9311,16.0,2,321,22,13,1.9311,3.06,3.56,2.41
Serie_A 2020_95_96_2021-01-15 19:45:00,2021-01-15 19:45:00,False,95,Roma,l,96,Lazio,0.639638,5.0,0,230,30,4,1.0154,l,0.639638,0.941571,9.0,3,379,19,6,0.941571,2.59,3.48,2.87
Serie_A 2020_260_95_2021-01-23 14:00:00,2021-01-23 14:00:00,True,95,Roma,w,260,Spezia,2.59451,13.0,4,334,33,6,2.1925,w,2.59451,1.46005,5.0,3,305,21,4,1.46005,1.48,4.88,7.0
Serie_A 2020_94_95_2021-01-31 19:45:00,2021-01-31 19:45:00,True,95,Roma,w,94,Verona,2.18476,15.0,3,257,25,7,2.4338,w,2.18476,0.728479,6.0,1,256,30,8,0.728479,1.67,4.1,5.47
Serie_A 2020_95_98_2021-02-06 17:00:00,2021-02-06 17:00:00,False,95,Roma,l,98,Juventus,0.652535,14.0,0,394,30,5,1.6652,l,0.652535,0.251055,3.0,2,282,9,6,0.251055,4.55,4.13,1.78
Serie_A 2020_95_99_2021-02-14 11:30:00,2021-02-14 11:30:00,True,95,Roma,w,99,Udinese,2.98143,12.0,3,318,36,12,2.9073,w,2.22013,0.310308,6.0,0,321,28,4,0.310308,1.73,4.0,5.1
Serie_A 2020_222_95_2021-02-21 19:45:00,2021-02-21 19:45:00,False,95,Roma,d,222,Benevento,0.917367,14.0,0,116,30,8,2.0338,d,0.917367,0.24834,6.0,0,302,13,0,0.24834,1.56,4.66,5.89
Serie_A 2020_111_95_2021-02-28 19:45:00,2021-02-28 19:45:00,True,95,Roma,l,111,AC Milan,1.198,17.0,1,269,28,10,0.3061,l,1.198,3.2493,20.0,2,287,24,5,2.488,2.41,3.52,3.1
Serie_A 2020_110_95_2021-03-03 19:45:00,2021-03-03 19:45:00,False,95,Roma,w,110,Fiorentina,1.38176,12.0,2,180,24,7,2.2301,w,1.38176,0.44021,6.0,1,290,17,2,0.44021,2.07,3.56,3.88
Serie_A 2020_101_95_2021-03-07 11:30:00,2021-03-07 11:30:00,True,95,Roma,w,101,Genoa,1.11292,18.0,1,344,27,11,2.1617,w,1.11292,0.22588,7.0,0,360,25,1,0.22588,1.53,4.48,6.81
Serie_A 2020_230_95_2021-03-14 14:00:00,2021-03-14 14:00:00,False,95,Roma,l,230,Parma Calcio 1913,1.6811,20.0,0,246,32,19,1.0116,l,1.6811,2.09688,5.0,2,272,23,3,1.33566,1.68,3.99,5.52
Serie_A 2020_105_95_2021-03-21 19:45:00,2021-03-21 19:45:00,True,95,Roma,l,105,Napoli,0.733296,7.0,0,332,21,8,1.034,l,0.733296,1.07404,10.0,2,328,27,6,1.07404,2.73,3.63,2.63
Serie_A 2020_104_95_2021-04-03 13:00:00,2021-04-03 13:00:00,False,95,Roma,d,104,Sassuolo,1.55499,12.0,2,556,28,4,0.3314,d,0.793688,3.38116,12.0,2,221,20,8,3.38116,1.64,4.45,4.69
Serie_A 2020_95_97_2021-04-11 16:00:00,2021-04-11 16:00:00,True,95,Roma,w,97,Bologna,1.3735,14.0,1,349,18,9,0.8718,w,1.3735,2.0125,11.0,0,228,17,7,2.0125,1.78,4.17,4.48
Serie_A 2020_113_95_2021-04-18 16:00:00,2021-04-18 16:00:00,False,95,Roma,l,113,Torino,1.507,9.0,1,203,20,6,0.4022,l,1.507,3.37014,23.0,3,278,30,9,3.37014,2.16,3.75,3.42
Serie_A 2020_107_95_2021-04-22 16:30:00,2021-04-22 16:30:00,True,95,Roma,d,107,Atalanta,1.11253,14.0,1,193,29,5,0.5935,d,1.11253,2.39045,22.0,1,349,21,20,2.39045,3.73,4.02,1.97
Serie_A 2020_116_95_2021-04-25 16:00:00,2021-04-25 16:00:00,False,95,Roma,l,116,Cagliari,1.58437,12.0,2,114,19,3,1.6237,l,1.58437,1.26292,10.0,3,362,19,4,1.26292,2.68,3.79,2.6
Serie_A 2020_102_95_2021-05-02 18:45:00,2021-05-02 18:45:00,False,95,Roma,l,102,Sampdoria,1.63837,10.0,0,246,19,10,1.6178,l,0.877067,1.37262,12.0,2,236,27,8,1.37262,2.41,3.83,2.89
Serie_A 2020_115_95_2021-05-09 16:00:00,2021-05-09 16:00:00,True,95,Roma,w,115,Crotone,2.34234,20.0,5,234,22,8,2.7169,w,2.34234,0.285602,7.0,0,353,25,4,0.285602,1.4,5.39,7.66
Serie_A 2020_106_95_2021-05-12 18:45:00,2021-05-12 18:45:00,False,95,Roma,l,106,Inter,0.961595,17.0,1,410,15,11,0.5321,l,0.961595,2.30537,13.0,3,294,5,11,2.30537,5.06,4.16,1.7
Serie_A 2020_95_96_2021-05-15 18:45:00,2021-05-15 18:45:00,True,95,Roma,w,96,Lazio,1.03543,13.0,2,345,19,6,1.5815,w,1.03543,0.765258,10.0,0,265,15,3,0.765258,3.19,3.59,2.28
Serie_A 2020_260_95_2021-05-23 18:45:00,2021-05-23 18:45:00,False,95,Roma,d,260,Spezia,2.72274,14.0,2,272,30,9,1.2807,d,2.72274,2.87459,18.0,2,361,21,11,2.87459,1.59,4.88,5.1
