match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2020_104_260_2020-09-27 10:30:00,2020-09-27 10:30:00,True,260,Spezia,l,104,Sassuolo,1.29116,11.0,1,447,16,6,0.5337,l,1.29116,2.6497,10.0,4,196,27,16,1.8884,4.92,3.98,1.68
Serie_A 2020_260_99_2020-09-30 16:00:00,2020-09-30 16:00:00,False,260,Spezia,w,99,Udinese,0.812849,4.0,2,233,18,0,0.5579,w,0.812849,1.86648,10.0,0,325,23,11,1.86648,6.05,3.95,1.63
Serie_A 2020_111_260_2020-10-04 16:00:00,2020-10-04 16:00:00,False,260,Spezia,l,111,AC Milan,0.152433,3.0,0,366,25,1,0.0363,l,0.152433,2.64977,10.0,3,196,31,11,2.64977,11.87,6.01,1.28
Serie_A 2020_110_260_2020-10-18 13:00:00,2020-10-18 13:00:00,True,260,Spezia,d,110,Fiorentina,0.925627,6.0,2,289,37,2,1.2132999999999998,d,0.925627,1.08362,7.0,2,251,31,6,1.08362,5.84,4.1,1.64
Serie_A 2020_230_260_2020-10-25 14:00:00,2020-10-25 14:00:00,False,260,Spezia,d,230,Parma Calcio 1913,0.965076,13.0,2,221,25,6,0.1464,d,0.965076,3.67014,15.0,2,284,22,6,2.90884,3.55,3.47,2.11
Serie_A 2020_260_98_2020-11-01 14:00:00,2020-11-01 14:00:00,True,260,Spezia,l,98,Juventus,0.546346,11.0,1,392,26,4,0.1237,l,0.546346,2.88171,8.0,4,253,22,11,2.12041,9.16,5.37,1.37
Serie_A 2020_222_260_2020-11-07 17:00:00,2020-11-07 17:00:00,False,260,Spezia,w,222,Benevento,1.45194,13.0,3,211,27,4,2.3984,w,1.45194,0.251291,4.0,0,342,24,4,0.251291,3.81,3.77,2.02
Serie_A 2020_107_260_2020-11-21 17:00:00,2020-11-21 17:00:00,True,260,Spezia,d,107,Atalanta,0.594898,6.0,0,225,28,10,0.3147999999999999,d,0.594898,2.20038,9.0,0,325,38,8,2.20038,6.62,5.24,1.46
Serie_A 2020_116_260_2020-11-29 17:00:00,2020-11-29 17:00:00,False,260,Spezia,d,116,Cagliari,2.7383,12.0,2,158,32,8,2.2911,d,1.977,1.44548,9.0,2,289,28,8,1.44548,3.61,3.49,2.18
Serie_A 2020_260_96_2020-12-05 14:00:00,2020-12-05 14:00:00,True,260,Spezia,l,96,Lazio,1.7297,11.0,1,198,28,6,2.3852999999999995,l,1.7297,0.437896,3.0,2,388,16,1,0.437896,5.39,3.85,1.72
Serie_A 2020_115_260_2020-12-12 14:00:00,2020-12-12 14:00:00,False,260,Spezia,l,115,Crotone,0.824038,9.0,1,184,27,6,0.6298,l,0.824038,1.69279,7.0,4,254,15,2,1.69279,2.78,3.49,2.66
Serie_A 2020_260_97_2020-12-16 19:45:00,2020-12-16 19:45:00,True,260,Spezia,d,97,Bologna,2.66532,7.0,2,242,25,10,2.2059,d,2.66532,1.61165,9.0,2,152,25,4,0.751235,3.27,3.64,2.26
Serie_A 2020_106_260_2020-12-20 14:00:00,2020-12-20 14:00:00,False,260,Spezia,l,106,Inter,0.779401,7.0,1,343,21,3,0.804,l,0.779401,1.26331,10.0,2,389,17,2,0.502013,12.28,6.81,1.25
Serie_A 2020_101_260_2020-12-23 19:45:00,2020-12-23 19:45:00,True,260,Spezia,l,101,Genoa,0.530442,7.0,1,156,25,7,0.625,l,0.530442,1.24789,7.0,2,410,25,3,0.486592,2.29,3.5,3.33
Serie_A 2020_260_94_2021-01-03 14:00:00,2021-01-03 14:00:00,True,260,Spezia,l,94,Verona,0.450318,6.0,0,171,29,7,0.4629,l,0.450318,1.5461,9.0,1,187,23,7,1.5461,3.03,3.51,2.46
Serie_A 2020_105_260_2021-01-06 17:00:00,2021-01-06 17:00:00,False,260,Spezia,w,105,Napoli,1.92698,8.0,2,346,21,1,0.3062,w,1.16568,4.01311,27.0,1,238,25,19,4.01311,14.42,7.34,1.21
