match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2021_105_265_2021-08-22 18:45:00,2021-08-22 18:45:00,False,265,Venezia,l,105,Napoli,0.60988,8.0,0,361,22,5,0.198,l,0.60988,2.39159,13.0,2,266,17,4,0.868994,12.08,6.67,1.25
Serie_A 2021_265_99_2021-08-27 16:30:00,2021-08-27 16:30:00,False,265,Venezia,l,99,Udinese,0.908926,8.0,0,227,28,7,0.2382,l,0.908926,3.01783,18.0,3,363,12,9,3.01783,5.24,3.82,1.75
Serie_A 2021_108_265_2021-09-11 13:00:00,2021-09-11 13:00:00,False,265,Venezia,w,108,Empoli,2.43118,10.0,2,291,22,2,1.7748000000000002,w,2.43118,1.88537,17.0,1,143,26,13,1.12407,4.27,4.05,1.84
Serie_A 2021_260_265_2021-09-19 13:00:00,2021-09-19 13:00:00,True,265,Venezia,l,260,Spezia,0.805717,14.0,1,248,26,4,1.6082999999999998,l,0.805717,0.478482,12.0,2,239,15,5,0.478482,2.47,3.59,2.95
Serie_A 2021_111_265_2021-09-22 18:45:00,2021-09-22 18:45:00,False,265,Venezia,l,111,AC Milan,0.581225,8.0,0,372,24,2,0.2983,l,0.581225,2.11409,15.0,2,184,28,12,2.11409,12.36,6.55,1.25
Serie_A 2021_113_265_2021-09-27 18:45:00,2021-09-27 18:45:00,True,265,Venezia,d,113,Torino,1.5265,8.0,1,281,21,4,1.9818,d,0.765196,0.8526,8.0,1,204,27,4,0.8526,3.67,3.57,2.13
Serie_A 2021_116_265_2021-10-01 18:45:00,2021-10-01 18:45:00,False,265,Venezia,d,116,Cagliari,0.486148,10.0,1,207,15,8,1.0667,d,0.486148,0.658426,9.0,1,343,30,1,0.658426,4.54,3.6,1.9
Serie_A 2021_110_265_2021-10-18 18:45:00,2021-10-18 18:45:00,True,265,Venezia,w,110,Fiorentina,0.794394,4.0,1,373,20,3,1.7543000000000002,w,0.794394,0.42719,10.0,0,223,25,6,0.42719,4.09,3.81,1.93
Serie_A 2021_104_265_2021-10-23 16:00:00,2021-10-23 16:00:00,False,265,Venezia,l,104,Sassuolo,0.506648,8.0,1,395,21,2,0.326,l,0.506648,2.13069,14.0,3,250,25,10,2.13069,5.98,4.32,1.6
Serie_A 2021_264_265_2021-10-26 16:30:00,2021-10-26 16:30:00,True,265,Venezia,l,264,Salernitana,0.62413,8.0,1,264,26,2,0.6508,l,0.62413,1.52483,21.0,2,247,17,13,1.52483,1.98,3.55,4.21
