match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2022_104_98_2022-08-15 18:45:00,2022-08-15 18:45:00,True,98,Juventus,w,104,Sassuolo,2.24204,14.0,3,268,13,5,2.3737,w,1.48074,0.878583,19.0,0,270,17,4,0.878583,1.5,4.83,6.61
Serie_A 2022_102_98_2022-08-22 18:45:00,2022-08-22 18:45:00,False,98,Juventus,d,102,Sampdoria,0.807606,10.0,0,243,20,4,1.1756,d,0.807606,0.948831,10.0,0,314,14,8,0.948831,1.62,4.1,6.12
Serie_A 2022_95_98_2022-08-27 16:30:00,2022-08-27 16:30:00,True,98,Juventus,d,95,Roma,0.633345,14.0,1,209,27,2,0.9311,d,0.633345,0.963959,8.0,1,315,17,1,0.963959,2.49,3.23,3.22
Serie_A 2022_260_98_2022-08-31 18:45:00,2022-08-31 18:45:00,True,98,Juventus,w,260,Spezia,1.76503,15.0,2,269,22,2,2.6268,w,1.76503,0.175145,9.0,0,320,23,1,0.175145,1.29,5.91,11.23
Serie_A 2022_110_98_2022-09-03 13:00:00,2022-09-03 13:00:00,False,98,Juventus,d,110,Fiorentina,1.07522,4.0,1,205,12,2,0.6365000000000001,d,1.07522,1.83258,17.0,1,242,34,9,1.07128,2.49,3.27,3.17
Serie_A 2022_264_98_2022-09-11 18:45:00,2022-09-11 18:45:00,True,98,Juventus,d,264,Salernitana,1.83929,22.0,2,194,18,7,1.0844,d,0.962135,2.07448,11.0,2,350,21,6,1.31318,1.44,4.86,8.08
Serie_A 2022_271_98_2022-09-18 13:00:00,2022-09-18 13:00:00,False,98,Juventus,l,271,Monza,1.20518,10.0,0,265,22,5,0.5268,l,1.20518,2.52643,17.0,1,172,24,6,2.52643,1.85,3.73,4.62
Serie_A 2022_97_98_2022-10-02 18:45:00,2022-10-02 18:45:00,True,98,Juventus,w,97,Bologna,2.51162,17.0,3,291,15,6,2.7688,w,2.51162,0.330255,9.0,0,231,23,0,0.330255,1.53,4.43,6.79
Serie_A 2022_111_98_2022-10-08 16:00:00,2022-10-08 16:00:00,False,98,Juventus,l,111,AC Milan,0.673421,10.0,0,155,17,9,0.3146,l,0.673421,2.30469,21.0,2,339,25,7,2.30469,3.84,3.46,2.11
Serie_A 2022_113_98_2022-10-15 16:00:00,2022-10-15 16:00:00,False,98,Juventus,w,113,Torino,2.34335,14.0,1,248,25,5,2.6848,w,2.34335,0.517644,15.0,0,226,16,1,0.517644,2.57,3.19,3.13
Serie_A 2022_108_98_2022-10-21 18:45:00,2022-10-21 18:45:00,True,98,Juventus,w,108,Empoli,3.78986,21.0,4,327,22,10,2.9284,w,3.78986,0.507227,12.0,0,204,18,6,0.507227,1.42,5.12,7.81
Serie_A 2022_243_98_2022-10-29 16:00:00,2022-10-29 16:00:00,False,98,Juventus,w,243,Lecce,0.512337,13.0,1,143,17,7,1.6312,w,0.512337,0.166187,5.0,0,294,14,1,0.166187,1.92,3.42,4.75
Serie_A 2022_106_98_2022-11-06 19:45:00,2022-11-06 19:45:00,True,98,Juventus,w,106,Inter,1.55487,8.0,2,284,25,7,1.3972000000000002,w,1.55487,1.51619,14.0,0,281,23,10,1.51619,3.19,3.34,2.44
Serie_A 2022_94_98_2022-11-10 17:30:00,2022-11-10 17:30:00,False,98,Juventus,w,94,Verona,0.877959,11.0,1,152,13,5,1.073,w,0.877959,1.14515,15.0,0,250,18,4,1.14515,1.71,3.82,5.63
Serie_A 2022_96_98_2022-11-13 19:45:00,2022-11-13 19:45:00,True,98,Juventus,w,96,Lazio,1.70269,13.0,3,382,22,1,2.4569,w,1.70269,0.38627,10.0,0,303,23,5,0.38627,2.03,3.48,4.11
Serie_A 2022_272_98_2023-01-04 17:30:00,2023-01-04 17:30:00,False,98,Juventus,w,272,Cremonese,1.61459,19.0,1,150,16,1,2.1207000000000003,w,1.61459,0.698907,13.0,0,254,15,9,0.698907,1.74,3.85,5.28
Serie_A 2022_98_99_2023-01-07 17:00:00,2023-01-07 17:00:00,True,98,Juventus,w,99,Udinese,2.59304,14.0,1,245,21,12,2.8385,w,2.59304,0.306949,11.0,0,254,19,3,0.306949,1.78,3.84,4.99
Serie_A 2022_105_98_2023-01-13 19:45:00,2023-01-13 19:45:00,False,98,Juventus,l,105,Napoli,0.962617,11.0,1,330,32,6,0.5003,l,0.962617,2.23581,14.0,5,208,22,12,2.23581,4.2,3.54,1.99
Serie_A 2022_107_98_2023-01-22 19:45:00,2023-01-22 19:45:00,True,98,Juventus,d,107,Atalanta,1.91809,15.0,3,281,20,4,2.0057,d,1.15679,1.16585,14.0,3,282,23,5,1.16585,2.2,3.47,3.57
Serie_A 2022_271_98_2023-01-29 14:00:00,2023-01-29 14:00:00,True,98,Juventus,l,271,Monza,1.37709,22.0,0,376,21,9,1.2745000000000002,l,1.37709,1.37396,3.0,2,256,10,3,1.37396,1.56,4.12,7.16
Serie_A 2022_264_98_2023-02-07 19:45:00,2023-02-07 19:45:00,False,98,Juventus,w,264,Salernitana,2.89699,17.0,3,313,19,6,2.8128,w,2.13569,0.516144,10.0,0,300,28,1,0.516144,1.52,4.32,7.38
Serie_A 2022_110_98_2023-02-12 17:00:00,2023-02-12 17:00:00,True,98,Juventus,w,110,Fiorentina,1.48805,7.0,1,238,14,3,2.0786999999999995,w,1.48805,0.664528,11.0,0,229,32,3,0.664528,1.88,3.65,4.55
Serie_A 2022_260_98_2023-02-19 17:00:00,2023-02-19 17:00:00,False,98,Juventus,w,260,Spezia,1.414,15.0,2,253,18,5,1.8392,w,1.414,0.836135,18.0,0,207,32,12,0.836135,1.64,3.99,6.09
Serie_A 2022_113_98_2023-02-28 19:45:00,2023-02-28 19:45:00,True,98,Juventus,w,113,Torino,1.52038,13.0,4,345,13,1,1.8086,w,1.52038,0.972144,8.0,2,237,21,4,0.972144,1.8,3.49,5.47
Serie_A 2022_95_98_2023-03-05 19:45:00,2023-03-05 19:45:00,False,98,Juventus,l,95,Roma,0.722595,14.0,0,230,24,4,1.4811,l,0.722595,0.534608,6.0,1,363,20,3,0.534608,2.92,3.15,2.72
Serie_A 2022_102_98_2023-03-12 19:45:00,2023-03-12 19:45:00,True,98,Juventus,w,102,Sampdoria,2.83726,24.0,4,252,21,7,2.8131,w,2.07596,0.487533,9.0,2,316,27,3,0.487533,1.36,4.99,10.48
Serie_A 2022_106_98_2023-03-19 19:45:00,2023-03-19 19:45:00,False,98,Juventus,w,106,Inter,0.460517,7.0,1,341,21,5,0.7773000000000001,w,0.460517,1.07278,18.0,0,139,17,14,1.07278,4.07,3.52,2.0
Serie_A 2022_94_98_2023-04-01 18:45:00,2023-04-01 18:45:00,True,98,Juventus,w,94,Verona,1.62901,10.0,1,203,23,4,2.4191,w,1.62901,0.406105,9.0,0,288,32,4,0.406105,1.43,4.42,9.42
Serie_A 2022_96_98_2023-04-08 18:45:00,2023-04-08 18:45:00,False,98,Juventus,l,96,Lazio,2.18145,11.0,1,227,19,5,2.1878,l,2.18145,1.1873,9.0,2,302,19,7,1.1873,2.94,3.03,2.8
Serie_A 2022_104_98_2023-04-16 16:00:00,2023-04-16 16:00:00,False,98,Juventus,l,104,Sassuolo,0.652728,13.0,0,201,15,8,0.8884000000000001,l,0.652728,1.13145,11.0,1,352,20,4,1.13145,2.08,3.54,3.77
Serie_A 2022_105_98_2023-04-23 18:45:00,2023-04-23 18:45:00,True,98,Juventus,l,105,Napoli,0.276119,7.0,0,322,14,5,0.3193,l,0.276119,1.73457,17.0,1,194,29,9,1.73457,2.9,3.25,2.66
Serie_A 2022_97_98_2023-04-30 18:45:00,2023-04-30 18:45:00,False,98,Juventus,d,97,Bologna,2.45408,14.0,1,313,14,12,1.8016,d,1.69278,1.94769,16.0,1,203,21,3,1.18639,2.26,3.26,3.6
Serie_A 2022_243_98_2023-05-03 16:00:00,2023-05-03 16:00:00,True,98,Juventus,w,243,Lecce,1.71206,16.0,2,225,16,6,1.6828,w,1.71206,1.3193,14.0,1,307,20,0,0.558001,1.6,3.9,6.74
Serie_A 2022_107_98_2023-05-07 10:30:00,2023-05-07 10:30:00,False,98,Juventus,w,107,Atalanta,1.43164,10.0,2,240,21,5,1.8416,w,1.43164,0.898943,24.0,0,224,42,17,0.898943,3.17,3.39,2.43
Serie_A 2022_272_98_2023-05-14 18:45:00,2023-05-14 18:45:00,True,98,Juventus,w,272,Cremonese,1.80205,24.0,2,166,25,8,2.763,w,1.80205,0.0587152,3.0,0,383,16,0,0.0587152,1.38,5.11,9.0
Serie_A 2022_108_98_2023-05-22 18:45:00,2023-05-22 18:45:00,False,98,Juventus,l,108,Empoli,2.20387,19.0,1,185,38,6,0.5583,l,2.20387,3.54313,14.0,4,274,41,4,2.78183,1.7,3.95,5.26
Serie_A 2022_111_98_2023-05-28 18:45:00,2023-05-28 18:45:00,True,98,Juventus,l,111,AC Milan,0.585437,16.0,0,289,22,5,1.2161,l,0.585437,0.662594,9.0,1,211,17,5,0.662594,2.41,3.48,3.08
Serie_A 2022_98_99_2023-06-04 19:00:00,2023-06-04 19:00:00,False,98,Juventus,w,99,Udinese,1.47447,20.0,1,196,21,10,1.7458,w,1.47447,0.955695,13.0,0,271,13,3,0.955695,1.98,3.7,3.86
