match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2023_243_96_2023-08-20 18:45:00,2023-08-20 18:45:00,False,96,Lazio,l,243,Lecce,2.22215,10.0,1,249,25,9,1.7201,l,2.22215,1.75411,23.0,2,330,21,13,1.75411,2.14,3.31,3.87
Serie_A 2023_101_96_2023-08-27 18:45:00,2023-08-27 18:45:00,True,96,Lazio,l,101,Genoa,0.937895,16.0,0,170,22,11,1.5094,l,0.937895,0.69511,5.0,1,369,14,3,0.69511,1.61,4.23,5.75
Serie_A 2023_105_96_2023-09-02 18:45:00,2023-09-02 18:45:00,False,96,Lazio,w,105,Napoli,1.04826,6.0,2,368,15,3,1.4016,w,1.04826,1.04344,22.0,1,251,25,10,1.04344,5.73,4.19,1.62
Serie_A 2023_96_98_2023-09-16 13:00:00,2023-09-16 13:00:00,False,96,Lazio,l,98,Juventus,0.704843,16.0,1,203,22,14,0.2125,l,0.704843,2.6734,17.0,3,331,13,12,2.6734,4.41,3.47,1.94
Serie_A 2023_271_96_2023-09-23 18:45:00,2023-09-23 18:45:00,True,96,Lazio,d,271,Monza,1.02354,8.0,1,338,24,10,0.6851,d,0.262245,1.80956,16.0,1,254,12,6,1.80956,1.8,3.94,4.52
Serie_A 2023_113_96_2023-09-27 18:45:00,2023-09-27 18:45:00,True,96,Lazio,w,113,Torino,0.773684,6.0,2,346,26,9,1.9042,w,0.773684,0.213455,7.0,0,314,20,0,0.213455,2.17,3.37,3.7
Serie_A 2023_111_96_2023-09-30 16:00:00,2023-09-30 16:00:00,False,96,Lazio,l,111,AC Milan,0.502537,13.0,0,287,19,0,0.1232999999999999,l,0.502537,2.69178,14.0,2,289,34,5,2.69178,5.04,3.72,1.78
Serie_A 2023_107_96_2023-10-08 13:00:00,2023-10-08 13:00:00,True,96,Lazio,w,107,Atalanta,1.65045,12.0,3,387,27,3,1.9108,w,1.65045,1.0016,12.0,2,286,15,2,1.0016,2.93,3.26,2.63
Serie_A 2023_104_96_2023-10-21 18:45:00,2023-10-21 18:45:00,False,96,Lazio,w,104,Sassuolo,2.93562,18.0,2,328,23,10,2.8607,w,2.93562,0.319165,9.0,0,344,19,0,0.319165,2.57,3.72,2.71
Serie_A 2023_110_96_2023-10-30 19:45:00,2023-10-30 19:45:00,True,96,Lazio,w,110,Fiorentina,2.36178,11.0,1,315,19,5,2.7439,w,1.60048,0.389451,9.0,0,307,28,5,0.389451,2.31,3.48,3.24
Serie_A 2023_96_97_2023-11-03 19:45:00,2023-11-03 19:45:00,False,96,Lazio,l,97,Bologna,0.462021,11.0,0,386,31,4,1.0145,l,0.462021,0.698258,6.0,1,306,19,4,0.698258,2.86,3.17,2.76
Serie_A 2023_95_96_2023-11-12 17:00:00,2023-11-12 17:00:00,True,96,Lazio,d,95,Roma,0.398131,7.0,0,337,17,5,1.3207,d,0.398131,0.320262,8.0,0,318,28,6,0.320262,3.0,3.16,2.61
Serie_A 2023_264_96_2023-11-25 14:00:00,2023-11-25 14:00:00,False,96,Lazio,l,264,Salernitana,1.83536,13.0,1,156,35,5,1.7346,l,1.07406,1.40102,13.0,2,300,15,4,1.40102,1.79,3.69,4.82
Serie_A 2023_116_96_2023-12-02 17:00:00,2023-12-02 17:00:00,True,96,Lazio,w,116,Cagliari,2.50417,10.0,1,229,24,6,2.702,w,2.50417,0.613719,9.0,0,378,21,2,0.613719,1.65,4.02,5.56
Serie_A 2023_94_96_2023-12-09 14:00:00,2023-12-09 14:00:00,False,96,Lazio,d,94,Verona,1.01398,14.0,1,119,13,7,1.4741,d,1.01398,0.792676,5.0,1,400,25,0,0.792676,2.01,3.45,4.04
Serie_A 2023_106_96_2023-12-17 19:45:00,2023-12-17 19:45:00,True,96,Lazio,l,106,Inter,1.63799,13.0,0,386,25,6,1.336,l,1.63799,1.69409,12.0,2,253,20,9,1.69409,4.91,3.73,1.78
Serie_A 2023_108_96_2023-12-22 17:30:00,2023-12-22 17:30:00,False,96,Lazio,w,108,Empoli,1.95383,14.0,2,242,26,13,2.406,w,1.95383,0.659249,21.0,0,209,17,8,0.659249,1.98,3.46,4.27
Serie_A 2023_112_96_2023-12-29 19:45:00,2023-12-29 19:45:00,True,96,Lazio,w,112,Frosinone,1.74892,13.0,3,226,29,4,1.9018,w,1.74892,1.13132,11.0,1,272,29,4,0.370023,1.67,3.93,5.5
