match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2023_106_271_2023-08-19 18:45:00,2023-08-19 18:45:00,False,271,Monza,l,106,Inter,0.581247,12.0,0,254,18,10,0.19,l,0.581247,2.49549,22.0,2,318,18,9,2.49549,8.76,5.1,1.39
Serie_A 2023_108_271_2023-08-26 16:30:00,2023-08-26 16:30:00,True,271,Monza,w,108,Empoli,2.0469,20.0,2,234,25,8,2.0187,w,2.0469,1.13824,18.0,0,255,14,6,1.13824,1.95,3.59,4.18
Serie_A 2023_107_271_2023-09-02 18:45:00,2023-09-02 18:45:00,False,271,Monza,l,107,Atalanta,0.37036,8.0,0,239,18,3,0.2824,l,0.37036,1.96499,18.0,3,400,20,13,1.96499,5.32,4.27,1.64
Serie_A 2023_243_271_2023-09-17 13:00:00,2023-09-17 13:00:00,True,271,Monza,d,243,Lecce,3.29559,25.0,1,201,25,14,2.7618,d,3.29559,0.895727,4.0,1,227,18,2,0.134428,2.13,3.5,3.66
Serie_A 2023_271_96_2023-09-23 18:45:00,2023-09-23 18:45:00,False,271,Monza,d,96,Lazio,1.80956,16.0,1,254,12,6,2.0417,d,1.80956,1.02354,8.0,1,338,24,10,0.262245,4.52,3.94,1.8
Serie_A 2023_271_97_2023-09-28 16:30:00,2023-09-28 16:30:00,True,271,Monza,d,97,Bologna,1.02777,12.0,0,300,17,3,1.2878,d,1.02777,1.04179,7.0,0,264,25,2,1.04179,2.49,3.35,3.06
Serie_A 2023_104_271_2023-10-02 16:30:00,2023-10-02 16:30:00,False,271,Monza,w,104,Sassuolo,1.84951,13.0,1,205,14,10,1.6787,w,1.84951,1.49022,19.0,0,318,16,10,1.49022,3.04,3.87,2.16
Serie_A 2023_264_271_2023-10-08 10:30:00,2023-10-08 10:30:00,True,271,Monza,w,264,Salernitana,3.73783,16.0,3,170,16,7,2.8099,w,2.97653,0.999628,8.0,0,361,23,3,0.999628,1.68,3.97,5.48
Serie_A 2023_271_95_2023-10-22 10:30:00,2023-10-22 10:30:00,False,271,Monza,l,95,Roma,0.423669,11.0,0,201,15,4,0.1851,l,0.423669,2.53278,21.0,1,253,23,15,2.53278,5.08,3.87,1.74
Serie_A 2023_271_99_2023-10-29 14:00:00,2023-10-29 14:00:00,True,271,Monza,d,99,Udinese,0.40283,10.0,1,236,22,7,0.6766,d,0.40283,1.05616,10.0,1,337,20,2,1.05616,2.14,3.54,3.58
Serie_A 2023_271_94_2023-11-05 11:30:00,2023-11-05 11:30:00,False,271,Monza,w,94,Verona,1.39014,12.0,3,205,16,3,1.5920999999999998,w,1.39014,1.12724,16.0,1,329,8,8,1.12724,2.39,3.29,3.22
Serie_A 2023_113_271_2023-11-11 19:45:00,2023-11-11 19:45:00,True,271,Monza,d,113,Torino,1.16628,12.0,1,312,15,1,1.6712,d,1.16628,0.819686,12.0,1,238,32,15,0.819686,2.51,3.17,3.13
Serie_A 2023_116_271_2023-11-26 11:30:00,2023-11-26 11:30:00,False,271,Monza,d,116,Cagliari,0.802396,12.0,1,168,22,3,0.7557,d,0.802396,1.58663,17.0,1,322,17,3,1.58663,2.63,3.25,2.9
Serie_A 2023_271_98_2023-12-01 18:45:00,2023-12-01 18:45:00,True,271,Monza,l,98,Juventus,0.656513,16.0,1,219,24,6,0.0982,l,0.656513,2.95935,18.0,2,322,10,2,2.07226,4.12,3.42,2.03
Serie_A 2023_101_271_2023-12-10 14:00:00,2023-12-10 14:00:00,True,271,Monza,w,101,Genoa,0.67177,6.0,1,255,13,4,0.4811999999999999,w,0.67177,1.74997,16.0,0,298,25,8,1.74997,2.21,3.2,3.72
Serie_A 2023_111_271_2023-12-17 11:30:00,2023-12-17 11:30:00,False,271,Monza,l,111,AC Milan,1.42821,21.0,0,262,21,10,0.8159000000000001,l,1.42821,2.26584,17.0,3,292,10,9,2.26584,5.41,4.18,1.63
Serie_A 2023_110_271_2023-12-22 19:45:00,2023-12-22 19:45:00,True,271,Monza,l,110,Fiorentina,0.659021,7.0,0,216,12,0,0.3418,l,0.659021,1.95676,14.0,1,307,24,12,1.95676,2.96,3.26,2.61
Serie_A 2023_105_271_2023-12-29 17:30:00,2023-12-29 17:30:00,False,271,Monza,d,105,Napoli,1.09674,8.0,0,250,21,0,0.5278,d,0.33544,2.37308,25.0,0,240,16,13,2.37308,5.52,4.18,1.62
Serie_A 2023_112_271_2024-01-06 14:00:00,2024-01-06 14:00:00,False,271,Monza,w,112,Frosinone,1.45289,7.0,3,253,22,4,1.6431999999999998,w,1.45289,1.14998,10.0,2,185,23,7,0.388678,2.73,3.36,2.71
