match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2023_264_95_2023-08-20 16:30:00,2023-08-20 16:30:00,False,264,Salernitana,d,95,Roma,0.364297,3.0,2,267,12,1,0.1698,d,0.364297,2.00607,13.0,2,171,24,6,2.00607,7.16,4.18,1.53
Serie_A 2023_264_99_2023-08-28 16:30:00,2023-08-28 16:30:00,True,264,Salernitana,d,99,Udinese,0.559371,9.0,1,171,19,6,1.3158,d,0.559371,0.548425,14.0,1,226,30,2,0.548425,2.8,3.34,2.69
Serie_A 2023_243_264_2023-09-03 18:45:00,2023-09-03 18:45:00,False,264,Salernitana,l,243,Lecce,1.05367,11.0,0,159,19,7,0.7563,l,1.05367,1.83665,20.0,2,234,36,4,1.07536,4.0,3.4,2.06
Serie_A 2023_113_264_2023-09-18 16:30:00,2023-09-18 16:30:00,True,264,Salernitana,l,113,Torino,0.694683,14.0,0,198,22,3,0.6535,l,0.694683,1.54562,11.0,3,261,22,4,1.54562,3.73,3.27,2.2
Serie_A 2023_112_264_2023-09-22 16:30:00,2023-09-22 16:30:00,True,264,Salernitana,d,112,Frosinone,0.834621,19.0,1,222,21,9,1.1597,d,0.834621,0.98737,9.0,1,184,27,6,0.98737,2.59,3.3,3.01
Serie_A 2023_108_264_2023-09-27 16:30:00,2023-09-27 16:30:00,False,264,Salernitana,l,108,Empoli,0.477434,14.0,0,143,22,3,0.201,l,0.477434,2.29107,13.0,1,246,35,6,2.29107,3.31,3.22,2.41
Serie_A 2023_106_264_2023-09-30 18:45:00,2023-09-30 18:45:00,True,264,Salernitana,l,106,Inter,0.620122,12.0,0,391,19,4,0.2309,l,0.620122,2.5554,16.0,4,130,19,14,1.7941,8.16,4.81,1.43
Serie_A 2023_264_271_2023-10-08 10:30:00,2023-10-08 10:30:00,False,264,Salernitana,l,271,Monza,0.999628,8.0,0,361,23,3,0.1261,l,0.999628,3.73783,16.0,3,170,16,7,2.97653,5.48,3.97,1.68
Serie_A 2023_116_264_2023-10-22 13:00:00,2023-10-22 13:00:00,True,264,Salernitana,d,116,Cagliari,1.33333,13.0,2,194,17,8,1.2166,d,0.572035,1.4958,13.0,2,166,19,7,1.4958,2.35,3.18,3.46
Serie_A 2023_101_264_2023-10-27 18:45:00,2023-10-27 18:45:00,False,264,Salernitana,l,101,Genoa,0.778619,7.0,0,258,26,2,1.7563,l,0.778619,0.40726,8.0,1,211,24,2,0.40726,5.17,3.72,1.76
