match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2023_108_94_2023-08-19 16:30:00,2023-08-19 16:30:00,False,94,Verona,w,108,Empoli,0.690842,10.0,1,154,23,6,1.1689,w,0.690842,0.844727,10.0,0,183,18,3,0.844727,3.44,3.3,2.3
Serie_A 2023_94_95_2023-08-26 18:45:00,2023-08-26 18:45:00,True,94,Verona,w,95,Roma,0.904461,5.0,2,325,19,2,0.5685,w,0.904461,2.00413,23.0,1,90,18,14,2.00413,4.83,3.49,1.87
Serie_A 2023_104_94_2023-09-01 16:30:00,2023-09-01 16:30:00,False,94,Verona,l,104,Sassuolo,0.555465,11.0,1,172,22,1,0.1909,l,0.555465,2.62139,16.0,3,297,13,10,1.86009,3.84,3.66,2.04
Serie_A 2023_94_97_2023-09-18 18:45:00,2023-09-18 18:45:00,True,94,Verona,d,97,Bologna,0.408446,9.0,0,380,29,3,0.8084,d,0.408446,0.896605,11.0,0,199,19,7,0.896605,3.15,3.39,2.41
Serie_A 2023_111_94_2023-09-23 13:00:00,2023-09-23 13:00:00,False,94,Verona,l,111,AC Milan,0.845815,10.0,0,276,24,4,1.2685000000000002,l,0.845815,0.916672,9.0,1,200,19,3,0.916672,9.16,4.95,1.39
Serie_A 2023_107_94_2023-09-27 16:30:00,2023-09-27 16:30:00,True,94,Verona,l,107,Atalanta,0.325267,11.0,0,200,16,3,0.3528,l,0.325267,1.38356,8.0,1,189,28,6,1.38356,4.63,3.78,1.82
Serie_A 2023_113_94_2023-10-02 16:30:00,2023-10-02 16:30:00,False,94,Verona,d,113,Torino,0.273624,5.0,0,238,21,2,0.877,d,0.273624,0.617691,8.0,0,187,16,5,0.617691,4.73,3.37,1.83
Serie_A 2023_112_94_2023-10-08 13:00:00,2023-10-08 13:00:00,False,94,Verona,l,112,Frosinone,0.506291,16.0,1,272,22,9,0.3348,l,0.506291,1.91977,11.0,2,187,17,5,1.91977,3.23,3.22,2.45
Serie_A 2023_105_94_2023-10-21 13:00:00,2023-10-21 13:00:00,True,94,Verona,l,105,Napoli,0.87241,15.0,1,293,10,5,0.3636,l,0.87241,2.65531,22.0,3,179,24,14,2.65531,5.71,3.96,1.66
Serie_A 2023_94_98_2023-10-28 18:45:00,2023-10-28 18:45:00,False,94,Verona,l,98,Juventus,0.318759,7.0,0,291,17,0,0.0228999999999999,l,0.318759,3.64831,30.0,1,289,19,10,3.64831,9.54,5.17,1.36
Serie_A 2023_271_94_2023-11-05 11:30:00,2023-11-05 11:30:00,True,94,Verona,l,271,Monza,1.12724,16.0,1,329,8,8,1.1214,l,1.12724,1.39014,12.0,3,205,16,3,1.39014,3.22,3.29,2.39
Serie_A 2023_101_94_2023-11-10 19:45:00,2023-11-10 19:45:00,False,94,Verona,l,101,Genoa,0.2458,7.0,0,197,19,2,0.1861,l,0.2458,2.04226,16.0,1,232,23,5,2.04226,4.74,3.32,1.93
Serie_A 2023_243_94_2023-11-27 17:30:00,2023-11-27 17:30:00,True,94,Verona,d,243,Lecce,1.94683,19.0,2,212,22,4,1.6699000000000002,d,1.94683,1.52186,14.0,2,169,23,5,1.52186,2.76,3.0,2.97
Serie_A 2023_94_99_2023-12-03 14:00:00,2023-12-03 14:00:00,False,94,Verona,d,99,Udinese,1.56674,13.0,3,144,28,5,0.9498,d,0.805443,2.14774,12.0,3,222,23,0,2.14774,5.38,3.69,1.72
Serie_A 2023_94_96_2023-12-09 14:00:00,2023-12-09 14:00:00,True,94,Verona,d,96,Lazio,0.792676,5.0,1,400,25,0,1.1324,d,0.792676,1.01398,14.0,1,119,13,7,1.01398,4.04,3.45,2.01
Serie_A 2023_110_94_2023-12-17 14:00:00,2023-12-17 14:00:00,False,94,Verona,l,110,Fiorentina,2.92504,19.0,0,239,22,2,2.9095,l,2.06048,0.330363,5.0,1,102,22,8,0.330363,7.67,4.83,1.43
Serie_A 2023_116_94_2023-12-23 17:00:00,2023-12-23 17:00:00,True,94,Verona,w,116,Cagliari,0.986759,13.0,2,186,17,5,1.1502,w,0.986759,1.20911,12.0,0,289,23,5,1.20911,2.4,3.29,3.2
Serie_A 2023_264_94_2023-12-30 17:00:00,2023-12-30 17:00:00,True,94,Verona,l,264,Salernitana,0.812164,11.0,0,145,20,2,1.3428,l,0.812164,0.768493,9.0,1,192,19,4,0.768493,1.96,3.47,4.22
Serie_A 2023_106_94_2024-01-06 11:30:00,2024-01-06 11:30:00,False,94,Verona,l,106,Inter,1.36479,8.0,1,328,22,4,0.7651,l,0.566071,2.12311,15.0,2,160,18,10,2.12311,16.21,7.94,1.17
Serie_A 2023_108_94_2024-01-13 17:00:00,2024-01-13 17:00:00,True,94,Verona,w,108,Empoli,1.25066,12.0,2,267,28,1,1.8307,w,1.25066,0.720625,14.0,1,131,25,4,0.720625,2.26,3.2,3.58
Serie_A 2023_94_95_2024-01-20 17:00:00,2024-01-20 17:00:00,False,94,Verona,l,95,Roma,1.09599,12.0,1,407,25,4,1.0715,l,0.334693,1.4542,9.0,2,189,22,11,1.4542,8.03,4.34,1.46
Serie_A 2023_112_94_2024-01-28 14:00:00,2024-01-28 14:00:00,True,94,Verona,d,112,Frosinone,2.29871,15.0,1,236,21,4,1.8624,d,0.697917,1.66579,11.0,1,213,17,6,1.66579,2.44,3.44,3.01
Serie_A 2023_105_94_2024-02-04 14:00:00,2024-02-04 14:00:00,False,94,Verona,l,105,Napoli,1.18484,12.0,1,358,20,1,0.7734,l,1.18484,1.97716,19.0,2,136,18,7,1.97716,8.48,4.82,1.4
Serie_A 2023_271_94_2024-02-11 14:00:00,2024-02-11 14:00:00,False,94,Verona,d,271,Monza,0.576842,10.0,0,266,17,1,1.0473,d,0.576842,0.831924,11.0,0,213,20,0,0.831924,3.88,3.24,2.14
Serie_A 2023_94_98_2024-02-17 17:00:00,2024-02-17 17:00:00,True,94,Verona,d,98,Juventus,0.617246,14.0,2,286,18,1,0.4687,d,0.617246,1.80606,18.0,2,199,16,10,1.04476,5.84,3.64,1.69
Serie_A 2023_94_97_2024-02-23 19:45:00,2024-02-23 19:45:00,False,94,Verona,l,97,Bologna,0.701896,7.0,0,284,23,2,0.2602,l,0.701896,2.33279,12.0,2,177,16,7,2.33279,6.83,3.9,1.59
