match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2024_101_106_2024-08-17 16:30:00,2024-08-17 16:30:00,True,101,Genoa,d,106,Inter,2.31286,10.0,2,281,15,2,1.6357,d,1.40418,2.00656,14.0,2,136,18,7,2.00656,6.6,4.18,1.55
Serie_A 2024_101_271_2024-08-24 18:45:00,2024-08-24 18:45:00,False,101,Genoa,w,271,Monza,0.660299,11.0,1,382,24,2,1.5867,w,0.660299,0.401371,9.0,0,162,9,5,0.401371,2.96,3.11,2.68
Serie_A 2024_101_94_2024-09-01 16:30:00,2024-09-01 16:30:00,True,101,Genoa,l,94,Verona,1.34735,11.0,0,173,14,4,0.7913,l,1.34735,2.09653,10.0,2,286,21,3,1.33524,2.02,3.29,4.25
Serie_A 2024_101_95_2024-09-15 10:30:00,2024-09-15 10:30:00,True,101,Genoa,d,95,Roma,1.59603,20.0,1,240,28,4,0.7283999999999999,d,1.59603,2.65805,16.0,1,214,13,10,2.65805,3.37,3.28,2.29
Serie_A 2024_101_265_2024-09-21 13:00:00,2024-09-21 13:00:00,False,101,Genoa,l,265,Venezia,0.388857,9.0,0,197,24,2,0.1533,l,0.388857,2.33503,12.0,2,241,18,9,1.57373,2.39,3.26,3.24
Serie_A 2024_101_98_2024-09-28 16:00:00,2024-09-28 16:00:00,True,101,Genoa,l,98,Juventus,0.385259,7.0,0,389,19,3,0.0766,l,0.385259,2.91803,12.0,3,198,21,8,2.15673,5.56,3.6,1.73
Serie_A 2024_101_107_2024-10-05 16:00:00,2024-10-05 16:00:00,False,101,Genoa,l,107,Atalanta,0.543171,7.0,1,281,18,3,0.0394,l,0.543171,4.0137,23.0,5,222,19,18,3.2524,7.16,4.63,1.47
Serie_A 2024_101_97_2024-10-19 13:00:00,2024-10-19 13:00:00,True,101,Genoa,d,97,Bologna,0.450285,10.0,2,274,28,4,0.6214,d,0.450285,1.15682,12.0,2,133,13,5,1.15682,3.85,3.16,2.19
Serie_A 2024_101_96_2024-10-27 14:00:00,2024-10-27 14:00:00,False,101,Genoa,l,96,Lazio,0.261739,6.0,0,348,14,2,0.0583999999999999,l,0.261739,2.9799,18.0,3,220,26,9,2.9799,6.57,4.36,1.52
Serie_A 2024_101_110_2024-10-31 17:30:00,2024-10-31 17:30:00,True,101,Genoa,l,110,Fiorentina,0.848655,14.0,0,301,22,5,1.2398,l,0.848655,0.909048,12.0,1,112,8,8,0.909048,4.64,3.74,1.81
Serie_A 2024_101_230_2024-11-04 17:30:00,2024-11-04 17:30:00,False,101,Genoa,w,230,Parma Calcio 1913,1.15243,15.0,1,231,26,5,1.6051,w,1.15243,0.883705,13.0,0,187,11,5,0.883705,4.31,3.55,1.85
