match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_107_291_2025-08-24 18:45:00,2025-08-24 18:45:00,False,291,Pisa,d,107,Atalanta,1.02901,11.0,1,305,27,4,0.6422,,1.02901,2.04697,21.0,1,156,11,13,2.04697,7.54,4.94,1.42
Serie_A 2025_291_95_2025-08-30 18:45:00,2025-08-30 18:45:00,True,291,Pisa,l,95,Roma,0.6627,7.0,0,296,12,3,1.0417,,0.6627,0.953921,10.0,1,133,29,12,0.953921,5.15,3.76,1.74
Serie_A 2025_291_99_2025-09-14 13:00:00,2025-09-14 13:00:00,True,291,Pisa,l,99,Udinese,1.27587,12.0,0,202,19,4,1.0306,,1.27587,1.72902,13.0,1,225,20,6,1.72902,2.85,3.11,2.77
Serie_A 2025_105_291_2025-09-22 18:45:00,2025-09-22 18:45:00,False,291,Pisa,l,105,Napoli,2.51985,15.0,2,361,25,2,2.3296,,1.75855,1.18611,18.0,3,194,25,7,1.18611,12.94,6.13,1.26
Serie_A 2025_110_291_2025-09-28 13:00:00,2025-09-28 13:00:00,True,291,Pisa,d,110,Fiorentina,0.580471,11.0,0,244,28,4,1.0752,,0.580471,0.840093,14.0,0,114,28,4,0.840093,3.47,3.33,2.25
Serie_A 2025_291_97_2025-10-05 13:00:00,2025-10-05 13:00:00,False,291,Pisa,l,97,Bologna,0.0265067,2.0,0,287,22,1,0.0107999999999999,,0.0265067,3.69928,24.0,4,98,21,14,3.69928,6.17,3.83,1.63
Serie_A 2025_291_94_2025-10-18 13:00:00,2025-10-18 13:00:00,True,291,Pisa,d,94,Verona,0.572009,7.0,0,131,13,5,0.5225,,0.572009,1.65491,15.0,0,295,28,9,1.65491,2.64,3.15,2.97
Serie_A 2025_111_291_2025-10-24 18:45:00,2025-10-24 18:45:00,False,291,Pisa,d,111,AC Milan,1.22514,8.0,2,326,24,4,0.7895000000000001,,0.463839,1.97232,20.0,2,170,16,15,1.97232,10.97,5.66,1.3
Serie_A 2025_291_96_2025-10-30 18:45:00,2025-10-30 18:45:00,True,291,Pisa,d,96,Lazio,0.780185,10.0,0,371,30,3,1.4263,,0.780185,0.657914,11.0,0,225,20,3,0.657914,3.78,3.24,2.17
Serie_A 2025_113_291_2025-11-02 14:00:00,2025-11-02 14:00:00,False,291,Pisa,d,113,Torino,1.90329,11.0,2,298,14,7,1.9794,,1.14199,1.22388,15.0,2,159,17,8,1.22388,4.26,3.32,2.01
Serie_A 2025_272_291_2025-11-07 19:45:00,2025-11-07 19:45:00,True,291,Pisa,w,272,Cremonese,1.45109,14.0,1,280,22,6,1.5475,,1.45109,1.23118,13.0,0,174,26,8,1.23118,2.34,3.05,3.68
Serie_A 2025_104_291_2025-11-24 19:45:00,2025-11-24 19:45:00,False,291,Pisa,d,104,Sassuolo,1.38602,10.0,2,241,18,2,0.7575000000000001,,0.624718,2.21345,22.0,2,185,19,15,2.21345,4.01,3.24,2.1
Serie_A 2025_106_291_2025-11-30 14:00:00,2025-11-30 14:00:00,True,291,Pisa,l,106,Inter,1.80715,10.0,0,252,10,7,1.1711999999999998,,1.80715,2.04777,14.0,2,194,22,12,2.04777,9.18,5.73,1.32
Serie_A 2025_230_291_2025-12-08 14:00:00,2025-12-08 14:00:00,True,291,Pisa,l,230,Parma Calcio 1913,1.56873,14.0,0,174,23,5,1.4076,,1.56873,1.49837,9.0,1,214,8,1,0.737068,2.5,2.97,3.38
Serie_A 2025_243_291_2025-12-12 19:45:00,2025-12-12 19:45:00,False,291,Pisa,l,243,Lecce,0.303651,5.0,0,206,7,3,0.0928,,0.303651,2.79987,21.0,1,218,24,7,2.79987,3.45,2.9,2.54
Serie_A 2025_116_291_2025-12-21 11:30:00,2025-12-21 11:30:00,False,291,Pisa,d,116,Cagliari,2.02532,15.0,2,233,28,8,1.992,,1.26402,1.20171,14.0,2,132,17,2,1.20171,3.77,3.19,2.2
Serie_A 2025_291_98_2025-12-27 19:45:00,2025-12-27 19:45:00,True,291,Pisa,l,98,Juventus,0.64162,8.0,0,239,18,5,0.7555000000000001,,0.64162,1.2875,15.0,2,173,19,19,1.2875,7.05,4.61,1.47
Serie_A 2025_101_291_2026-01-03 14:00:00,2026-01-03 14:00:00,False,291,Pisa,d,101,Genoa,1.5538,10.0,1,228,29,5,2.239,,1.5538,0.569456,12.0,1,115,13,4,0.569456,5.05,3.2,1.91
Serie_A 2025_286_291_2026-01-06 14:00:00,2026-01-06 14:00:00,True,291,Pisa,l,286,Como,1.71183,10.0,0,339,14,3,1.0564,,0.950532,2.10363,15.0,3,97,28,7,1.34233,5.45,3.5,1.78
Serie_A 2025_291_99_2026-01-10 14:00:00,2026-01-10 14:00:00,False,291,Pisa,d,99,Udinese,1.42671,14.0,2,187,27,3,0.6934,,1.42671,2.18018,11.0,2,142,15,8,1.41888,4.91,3.41,1.85
Serie_A 2025_107_291_2026-01-16 19:45:00,2026-01-16 19:45:00,True,291,Pisa,d,107,Atalanta,1.63695,14.0,1,255,23,15,1.2322000000000002,,1.63695,1.77359,9.0,1,117,14,7,1.77359,6.5,3.9,1.55
Serie_A 2025_106_291_2026-01-23 19:45:00,2026-01-23 19:45:00,False,291,Pisa,l,106,Inter,0.453549,8.0,2,256,33,0,0.0019,,0.453549,6.24369,34.0,6,165,16,24,5.4824,15.0,7.5,1.18
Serie_A 2025_104_291_2026-01-31 14:00:00,2026-01-31 14:00:00,True,291,Pisa,l,104,Sassuolo,0.773575,15.0,1,191,19,8,0.4670999999999999,,0.773575,2.20331,21.0,3,252,18,11,2.20331,2.9,3.1,2.55
Serie_A 2025_291_94_2026-02-06 19:45:00,2026-02-06 19:45:00,False,291,Pisa,d,94,Verona,1.26143,11.0,0,287,22,6,2.5029,,1.26143,0.0783843,4.0,0,149,21,1,0.0783843,3.0,3.0,2.55
Serie_A 2025_111_291_2026-02-13 19:45:00,2026-02-13 19:45:00,True,291,Pisa,l,111,AC Milan,0.937275,7.0,1,464,17,2,0.4555,,0.937275,2.15769,7.0,2,186,16,2,1.39639,6.5,4.2,1.5
Serie_A 2025_110_291_2026-02-23 17:30:00,2026-02-23 17:30:00,False,291,Pisa,l,110,Fiorentina,0.43212,7.0,0,319,24,5,0.3445,,0.43212,1.77825,15.0,1,278,11,1,1.77825,5.0,4.0,1.67
Serie_A 2025_291_97_2026-03-02 17:30:00,2026-03-02 17:30:00,True,291,Pisa,l,97,Bologna,0.743118,6.0,0,279,22,4,1.2063,,0.743118,0.871649,8.0,1,172,14,2,0.871649,4.2,3.2,2.0
Serie_A 2025_291_98_2026-03-07 19:45:00,2026-03-07 19:45:00,False,291,Pisa,l,98,Juventus,0.319971,7.0,0,303,15,5,0.0752,,0.319971,3.16811,25.0,4,196,17,14,3.16811,11.0,6.25,1.25
