CHAMP,Equipe1,cote,Equipe2
ES1,GIRONA,"['1.55', '3.45', '4.10']",VALENCE
IT1,GENOA,"['1.75', '3.10', '3.50']",EMPOLI
AL1,BAYERN,"['1.07', '5.75', '11.00']",UNION BERLIN
AL1,BOCHUM,"['2.40', '3.15', '2.15']",WOLFSBURG
AL1,GLADBACH,"['2.00', '3.45', '2.45']",HOFFENHEIM
AL1,RB LEIPZIG,"['1.15', '5.00', '7.75']",HEIDENHEIM
ANP,ARSENAL,"['1.20', '4.50', '8.25']",WOLVES
ANP,BRENTFORD,"['1.35', '3.90', '5.50']",LUTON
ANP,BURNLEY,"['1.65', '3.20', '3.75']",SHEFFIELD UTD
ES1,ATHLETIC BILBAO,"['1.45', '3.50', '4.75']",RAYO VALLECANO
FR1,LENS,"['1.52', '3.40', '4.00']",LYON
IT1,LAZIO,"['1.48', '3.50', '4.75']",CAGLIARI
AL1,STUTTGART,"['1.28', '4.10', '5.50']",WERDER BREMEN
ANP,NOTTINGHAM FOREST,"['2.45', '2.95', '2.30']",EVERTON
ES1,REAL MADRID,"['1.05', '6.50', '13.00']",GRANADA
IT1,MILAN,"['1.32', '4.00', '5.50']",FROSINONE
ANP,NEWCASTLE,"['1.85', '3.50', '3.35']",MANCHESTER UTD
ES1,OSASUNA,"['2.95', '2.85', '2.05']",SOCIEDAD
FR1,NANTES,"['3.25', '2.95', '1.80']",NICE
