h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.42041,2.27733,1.42041,2.27733,"{'att': 203, 'def': 24}","{'att': 213, 'def': 18}",5,15,2,3,0.8247,l,2023-07-23 14:30:00,0,0,1,0,-0.8569200000000001
a,1.4868,1.18168,1.4868,1.18168,"{'att': 147, 'def': 13}","{'att': 308, 'def': 24}",9,8,1,1,1.6306000000000003,d,2023-07-30 12:00:00,0,1,0,1,0.30511999999999984
h,0.479396,1.44884,0.479396,0.694561,"{'att': 179, 'def': 18}","{'att': 294, 'def': 28}",6,8,0,2,0.4829,l,2023-08-05 14:30:00,0,0,1,0,-0.215165
h,2.49711,2.60061,2.49711,1.84633,"{'att': 184, 'def': 16}","{'att': 273, 'def': 29}",4,8,0,2,1.2955999999999999,l,2023-08-12 14:30:00,0,0,1,0,0.6507800000000001
a,0.927345,3.78832,0.927345,3.78832,"{'att': 113, 'def': 25}","{'att': 284, 'def': 18}",3,8,0,4,0.1054,l,2023-08-20 17:00:00,0,0,1,0,-2.8609750000000003
h,1.39838,0.223588,1.39838,0.223588,"{'att': 158, 'def': 16}","{'att': 304, 'def': 32}",5,8,1,1,2.458,d,2023-08-25 14:30:00,0,1,0,1,1.174792
h,2.51853,0.261489,1.00998,0.261489,"{'att': 161, 'def': 10}","{'att': 215, 'def': 23}",12,9,3,0,2.8562000000000003,w,2023-09-03 10:00:00,1,0,0,3,0.748491
a,0.401128,0.554112,0.401128,0.554112,"{'att': 179, 'def': 21}","{'att': 254, 'def': 17}",3,6,2,0,1.0902,w,2023-09-17 16:00:00,1,0,0,3,-0.15298400000000006
a,1.13211,1.97409,1.13211,1.97409,"{'att': 176, 'def': 18}","{'att': 213, 'def': 15}",3,14,1,3,0.7561,l,2023-09-24 11:00:00,0,0,1,0,-0.84198
h,1.21107,2.3045,1.21107,2.3045,"{'att': 258, 'def': 7}","{'att': 131, 'def': 19}",8,20,3,1,0.6892,w,2023-09-30 09:00:00,1,0,0,3,-1.09343
a,0.778175,0.796724,0.778175,0.796724,"{'att': 117, 'def': 11}","{'att': 344, 'def': 23}",17,3,0,1,1.2777,l,2023-10-07 13:30:00,0,0,1,0,-0.018549000000000038
h,1.10208,1.58575,1.10208,0.728712,"{'att': 54, 'def': 11}","{'att': 314, 'def': 28}",4,4,1,2,0.909,l,2023-10-21 09:00:00,0,0,1,0,0.3733679999999999
a,1.23471,1.21854,1.23471,1.21854,"{'att': 154, 'def': 20}","{'att': 252, 'def': 14}",8,11,1,1,1.4053,d,2023-10-28 13:30:00,0,1,0,1,0.016170000000000018
h,1.83385,2.14531,1.83385,1.39103,"{'att': 244, 'def': 19}","{'att': 139, 'def': 20}",8,4,1,1,1.1459,d,2023-11-06 11:00:00,0,1,0,1,0.44282
a,1.01905,4.18509,1.01905,4.18509,"{'att': 215, 'def': 8}","{'att': 230, 'def': 30}",5,14,0,2,0.09559999999999999,l,2023-11-12 13:30:00,0,0,1,0,-3.1660399999999997
h,0.874041,1.41401,0.874041,0.659733,"{'att': 83, 'def': 15}","{'att': 265, 'def': 25}",9,16,1,1,0.8393999999999999,d,2023-11-26 09:00:00,0,1,0,1,0.21430799999999994
a,0.821448,1.58825,0.821448,0.833971,"{'att': 251, 'def': 26}","{'att': 232, 'def': 21}",2,6,1,2,0.691,l,2023-12-03 13:30:00,0,0,1,0,-0.012523000000000062
