h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.64952,0.904152,0.89524,0.904152,"{'att': 132, 'def': 20}","{'att': 240, 'def': 11}",14,9,1,2,1.9792999999999998,l,2023-07-22 17:00:00,0,0,1,0,-0.00891199999999992
h,2.31726,3.84095,0.808712,1.57813,"{'att': 240, 'def': 24}","{'att': 145, 'def': 20}",11,12,2,3,0.48050000000000004,l,2023-07-30 17:00:00,0,0,1,0,-0.769418
a,0.491819,1.75987,0.491819,1.0056,"{'att': 249, 'def': 13}","{'att': 115, 'def': 18}",2,6,2,1,0.3851,w,2023-08-06 17:00:00,1,0,0,3,-0.513781
a,0.977118,1.526,0.977118,1.526,"{'att': 130, 'def': 13}","{'att': 221, 'def': 19}",8,2,0,2,0.8985000000000001,l,2023-08-14 16:30:00,0,0,1,0,-0.548882
h,3.78832,0.927345,3.78832,0.927345,"{'att': 284, 'def': 18}","{'att': 113, 'def': 25}",8,3,4,0,2.8434999999999997,w,2023-08-20 17:00:00,1,0,0,3,2.8609750000000003
a,0.835763,0.770893,0.835763,0.770893,"{'att': 255, 'def': 26}","{'att': 104, 'def': 19}",6,8,0,0,1.3893,d,2023-08-26 16:30:00,0,1,0,1,0.06486999999999998
a,1.02319,1.538,0.268912,1.538,"{'att': 206, 'def': 17}","{'att': 188, 'def': 20}",4,19,1,0,0.9611999999999999,w,2023-09-02 10:00:00,1,0,0,3,-1.269088
h,1.17358,0.860924,1.17358,0.860924,"{'att': 264, 'def': 13}","{'att': 150, 'def': 19}",11,9,1,1,1.602,d,2023-09-16 13:30:00,0,1,0,1,0.31265600000000004
a,1.32285,0.395964,1.32285,0.395964,"{'att': 117, 'def': 8}","{'att': 291, 'def': 24}",9,2,0,1,2.1671,l,2023-09-23 13:30:00,0,0,1,0,0.9268860000000001
h,0.762043,1.56389,0.762043,1.56389,"{'att': 220, 'def': 22}","{'att': 215, 'def': 34}",5,14,1,1,0.7503,d,2023-10-01 16:00:00,0,1,0,1,-0.801847
h,0.951423,2.10479,0.951423,2.10479,"{'att': 127, 'def': 24}","{'att': 228, 'def': 17}",11,6,0,1,0.5455,l,2023-10-08 16:00:00,0,0,1,0,-1.1533669999999998
a,0.768504,3.13051,0.768504,2.37623,"{'att': 137, 'def': 7}","{'att': 137, 'def': 12}",6,14,0,3,0.1506,l,2023-10-22 16:00:00,0,0,1,0,-1.607726
a,0.806333,1.77432,0.806333,1.77432,"{'att': 414, 'def': 20}","{'att': 182, 'def': 15}",3,4,1,2,0.6126,l,2023-10-28 16:00:00,0,0,1,0,-0.9679869999999999
h,1.14007,0.384117,1.14007,0.384117,"{'att': 111, 'def': 17}","{'att': 182, 'def': 20}",13,8,1,2,2.037,l,2023-11-04 13:30:00,0,0,1,0,0.7559529999999999
a,1.77816,3.23697,1.02388,3.23697,"{'att': 352, 'def': 24}","{'att': 170, 'def': 34}",8,17,1,2,0.5425,l,2023-11-11 13:30:00,0,0,1,0,-2.2130900000000002
a,1.41401,0.874041,0.659733,0.874041,"{'att': 265, 'def': 25}","{'att': 83, 'def': 15}",16,9,1,1,1.8413999999999997,d,2023-11-26 09:00:00,0,1,0,1,-0.21430799999999994
h,0.522078,0.549239,0.522078,0.549239,"{'att': 281, 'def': 16}","{'att': 153, 'def': 26}",3,13,2,1,1.2688000000000001,w,2023-12-03 16:00:00,1,0,0,3,-0.02716099999999999
