h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.36974,1.15121,1.61547,1.15121,"{'att': 310, 'def': 16}","{'att': 130, 'def': 14}",9,5,2,1,2.3232,w,2023-07-22 10:00:00,1,0,0,3,0.4642599999999999
h,0.380888,0.664242,0.380888,0.664242,"{'att': 297, 'def': 18}","{'att': 234, 'def': 11}",6,0,0,0,0.978,d,2023-07-29 14:30:00,0,1,0,1,-0.283354
a,1.44884,0.479396,0.694561,0.479396,"{'att': 294, 'def': 28}","{'att': 179, 'def': 18}",8,6,2,0,2.2856,w,2023-08-05 14:30:00,1,0,0,3,0.215165
h,2.63275,1.09612,1.87847,1.09612,"{'att': 269, 'def': 15}","{'att': 140, 'def': 16}",12,8,3,2,2.402,w,2023-08-11 15:00:00,1,0,0,3,0.7823500000000001
a,1.4149,1.38957,0.660624,1.38957,"{'att': 221, 'def': 12}","{'att': 229, 'def': 20}",6,8,1,0,1.368,w,2023-08-19 14:30:00,1,0,0,3,-0.728946
a,0.109253,2.93382,0.109253,2.93382,"{'att': 450, 'def': 26}","{'att': 206, 'def': 26}",3,14,0,4,0.014499999999999999,l,2023-08-26 12:00:00,0,0,1,0,-2.824567
h,1.538,1.02319,1.538,0.268912,"{'att': 188, 'def': 20}","{'att': 206, 'def': 17}",19,4,0,1,1.7414999999999998,l,2023-09-02 10:00:00,0,0,1,0,1.269088
h,1.01715,0.352835,1.01715,0.352835,"{'att': 108, 'def': 10}","{'att': 155, 'def': 19}",10,6,0,0,1.9251,d,2023-09-17 11:00:00,0,1,0,1,0.664315
a,1.25681,0.566704,1.25681,0.566704,"{'att': 251, 'def': 11}","{'att': 166, 'def': 12}",4,3,0,2,1.9881,l,2023-09-24 16:00:00,0,0,1,0,0.690106
a,1.40455,2.35328,1.40455,1.59901,"{'att': 230, 'def': 15}","{'att': 146, 'def': 14}",10,11,2,2,0.7232,d,2023-09-29 16:00:00,0,1,0,1,-0.19446000000000008
h,2.46057,1.64317,0.952016,1.64317,"{'att': 243, 'def': 11}","{'att': 119, 'def': 17}",4,18,2,2,2.0108,d,2023-10-07 09:00:00,0,1,0,1,-0.691154
h,0.767507,1.27552,0.767507,0.521246,"{'att': 157, 'def': 15}","{'att': 207, 'def': 16}",5,7,1,4,0.8369,l,2023-10-22 09:00:00,0,0,1,0,0.24626100000000006
a,1.65562,1.27861,1.65562,1.27861,"{'att': 259, 'def': 27}","{'att': 241, 'def': 29}",11,10,1,2,1.6716,l,2023-10-29 13:30:00,0,0,1,0,0.37701000000000007
h,1.17346,0.863569,1.17346,0.863569,"{'att': 131, 'def': 12}","{'att': 353, 'def': 19}",9,8,0,1,1.5722,l,2023-11-06 13:30:00,0,0,1,0,0.3098909999999999
a,0.686918,4.11679,0.686918,2.60824,"{'att': 203, 'def': 18}","{'att': 195, 'def': 23}",7,15,1,3,0.047,l,2023-11-11 11:00:00,0,0,1,0,-1.921322
h,1.39369,0.634559,1.39369,0.634559,"{'att': 352, 'def': 23}","{'att': 177, 'def': 28}",8,3,3,1,1.9819,w,2023-11-26 11:00:00,1,0,0,3,0.7591310000000001
a,0.522592,0.806434,0.522592,0.806434,"{'att': 224, 'def': 17}","{'att': 216, 'def': 18}",7,5,0,1,0.9324999999999999,l,2023-12-02 16:30:00,0,0,1,0,-0.28384200000000004
